Район;участок;год;горизонт литорали;число повторностей;учетная площадь;N;SEM;D;B;SEM
;;1998;нижний пляж;5;1/30;1182;239;20;174,8;17,02
;;1999;верхний пляж;3;1/30;7240;5833,7;81;14,5;11,84
;;1999;пояс фукоидов;6;1/30;3895;1354,6;35;88,8;29,72
;;1999;пояс зостеры;6;1/30;2405;498,8;21;95,7;12,27
;;1999;нижний пляж;5;1/30;2328;623,8;27;140,1;19,60
;;2000;верхний пляж;2;1/30;2640;870;33;71,3;6,22
;;2000;пояс фукоидов;4;1/30;2760;373,1;14;91,8;20,69
;;2000;пояс зостеры;5;1/30;2562;721;28;117,7;11,30
;;2000;нижний пляж;4;1/30;2018;394,3;20;133,6;30,76
;;2002;верхний пляж;3;1/30;1360;401,5;30;63,3;12,48
;;2002;пояс фукоидов;3;1/30;3250;337,8;10;150,0;36,88
;;2002;пояс зостеры;4;1/30;2498;952,6;38;140,2;43,61
;;2002;нижний пляж;2;1/30;810;240;30;76,7;27,47
;;2004;верхний пляж;3;1/30;2800;1066,6;38;62,5;26,54
;;2004;пояс фукоидов;4;1/30;3090;889;29;151,9;23,16
;;2004;пояс зостеры;5;1/30;1818;302,6;17;117,0;10,28
;о. Горелый;1992;ВГЛ;7;1/30;73;23,7;32;11,8;2,64
;;1992;СГЛ;5;1/30;108;9,7;9;9,3;1,10
;;1992;НГЛ;2;1/30;50;20;40;3,2;2,42
;;1992;ноль глубин;3;1/30;13;3,3;25;1,3;0,58
;;1993;ВГЛ;3;1/30;143;29,1;20;7,8;3,59
;;1993;СГЛ;3;1/30;480;11,5;2;25,8;5,33
;;1993;НГЛ;4;1/30;183;34,5;19;10,9;2,65
;;1993;ноль глубин;3;1/30;97;43,7;45;9,8;5,04
;;2004;ВГЛ;3;1/30;2620;219,3;8;70,4;11,71
;;2004;СГЛ;3;1/30;1700;208,8;12;91,3;8,00
;;2004;НГЛ;3;1/30;1040;176,9;17;85,5;3,09
;;2004;ноль глубин;3;1/30;1540;60,8;4;177,9;16,77
;;2006;ВГЛ;3;1/30;2200;353,4;16;86,7;23,82
;;2006;СГЛ;3;1/30;1910;342,2;18;74,0;16,22
;;2006;НГЛ;3;1/30;650;87,2;13;66,2;9,79
;;2006;ноль глубин;3;1/30;760;160,9;21;88,2;18,32
;;2007;ВГЛ;3;1/30;1940;341,8;18;61,0;6,55
;;2007;СГЛ;3;1/30;1990;449,8;23;50,1;3,74
;;2007;НГЛ;3;1/30;540;195,2;36;45,9;16,56
;;2007;ноль глубин;3;1/30;660;45,8;7;85,9;4,57
;;2008;ВГЛ;3;1/30;1100;98,5;9;50,2;6,27
;;2008;СГЛ;3;1/30;2740;125,3;5;50,9;2,57
;;2008;НГЛ;3;1/30;1030;404,5;39;45,6;15,77
;;2008;ноль глубин;3;1/30;740;147,3;20;81,3;44,67
;;2011;ВГЛ;3;1/30;2000;926;46;23,9;10,41
;;2011;СГЛ;3;1/30;1210;216,6;18;54,6;21,70
;;2011;НГЛ;3;1/30;1590;199,7;13;77,2;16,54
;;2011;ноль глубин;3;1/30;1100;208,8;19;69,5;9,22
;Эстуарий р.Лувеньги;1992;НГЛ;6;1/30;55;14,8;27;13,7;3,33
;;1993;НГЛ;6;1/30;202;31,3;16;12,2;2,98
;;1994;НГЛ;3 и;3/30;777;129,9;17;73,7;13,23
;;1995;НГЛ;3 и;3/30;473;44,8;9;47,7;7,62
;;1996;НГЛ;3 и;3/30;337;29,1;9;45,1;5,10
;;1997;НГЛ;3 и;3/30;213;14,5;7;38,1;8,15
;;1998;НГЛ;3 и;3/30;750;15,3;2;54,6;5,50
;;1999;НГЛ;3 и;3/30;2073;633,3;31;18,2;3,38
;;2000;НГЛ;3 и;3/30;1913;86,5;5;54,1;4,83
;;2001;НГЛ;3 и;3/30;2607;139,6;5;109,0;8,74
;;2002;НГЛ;3 и;3/30;1917;209;11;90,6;11,61
;;2003;НГЛ;3 и;3/30;2220;235,4;11;120,5;11,27
;;2004;НГЛ;3 и;3/30;3330;315;9;141,4;7,73
;;2005;НГЛ;3 и;3/30;1623;161,8;10;90,3;5,88
;;2006;НГЛ;3 и;3/30;993;131,3;13;86,4;6,71
;;2007;НГЛ;9;1/30;2547;341,8;13;111,0;13,18
;;2008;НГЛ;3 и;3/30;1683;343,5;20;113,8;14,63
;;2009;НГЛ;3 и;3/30;1860;146,4;8;95,1;26,69
;;2010;НГЛ;3 и;3/30;2057;231,5;11;125,1;2,97
;;2011;НГЛ;9;1/30;1637;60,2;4;159,5;8,50
;;2012;НГЛ;3 и;3/30;1170;23,1;2;111,0;9,20
Северный архипелаг;Западная Ряшкова салма;1994;СГЛ;2 и;3/30;450;100;22;58,3;5,38
;;1995;СГЛ;2 и;3/30;490;10;2;74,1;6,42
;;1996;СГЛ;2 и;3/30;260;130;50;45,7;14,62
;;1997;СГЛ;2 и;3/30;220;90;41;37,1;15,07
;;1998;СГЛ;2 и;3/30;755;185;25;101,7;13,83
;;1999;СГЛ;2 и;3/30;8530;800;9;134,4;59,88
;;2000;СГЛ;2 и;3/30;2910;440;15;58,8;28,01
;;2001;СГЛ;2 и;3/30;2515;295;12;130,5;29,17
;;2002;СГЛ;2 и;3/30;2690;570;21;165,6;24,94
;;2003;СГЛ;2 и;3/30;1930;300;16;139,2;25,66
;;2004;СГЛ;2 и;3/30;2355;55;2;133,0;16,36
;;2005;СГЛ;2 и;3/30;1825;115;6;137,4;2,63
;;2006;СГЛ;2 и;3/30;795;165;21;75,1;16,79
;;2007;СГЛ;2 и;3/30;1055;185;18;122,7;12,00
;;2008;СГЛ;2 и;3/30;1840;460;25;122,5;53,38
;;2009;СГЛ;2 и;3/30;1745;65;4;110,5;13,99
;;2010;СГЛ;2 и;3/30;1680;460;27;154,5;30,87
;;2011;СГЛ;2 и;3/30;1455;535;37;136,5;55,75
;;2012;СГЛ;2 и;3/30;910;340;37;88,8;28,64
;Южная губа о. Ряшкова;2001;ноль глубин;9;1/30;1257;174,8;14;33,0;7,53
;;2002;ноль глубин;16;1/30;1196;212,5;18;37,0;10,80
;;2003;ноль глубин;15;1/30;1758;333,3;19;26,7;9,10
;;2004;ноль глубин;13;1/30;1913;576;30;9,4;2,35
;;2005;ноль глубин;15;1/30;860;178;21;7,3;1,38
;;2006;ноль глубин;12;1/30;843;203,9;24;5,6;1,32
;;2007;ноль глубин;15;1/30;1412;387,8;27;11,3;2,49
;;2008;ноль глубин;10;1/30;1434;333,4;23;20,8;3,77
;;2009;ноль глубин;15;1/30;1122;198,5;18;42,7;10,79
;;2010;ноль глубин;15;1/30;682;106,5;16;30,4;5,42
;;2011;ноль глубин;15;1/30;364;151,5;42;19,1;10,56
;;2012;ноль глубин;15;1/30;142;39,1;28;1,9;1,36
;о. Ломнишный;2007;ноль глубин;10;1/30;501;88,7;18;7,8;4,08
;;2008;ноль глубин;5;1/30;1530;295;19;29,5;8,71
;;2009;ноль глубин;10;1/30;813;241,1;30;41,3;13,29
;;2010;ноль глубин;10;1/30;540;168,1;31;49,2;13,93
;;2011;ноль глубин;10;1/30;378;118,4;31;13,8;7,78
;;2012;ноль глубин;10;1/30;513;90,9;18;8,7;5,39
