year;sample;station;square
2007;II-1;2;245
2007;II-1;2;30
2007;II-2;2;245
2007;II-2;2;30
2007;II-3;2;245
2007;II-3;2;30
2007;III-1;3;245
2007;III-1;3;30
2007;III-2;3;245
2007;III-2;3;30
2007;III-3;3;245
2007;III-3;3;30
2007;1m1;NA;30
2007;1m2;NA;30
2007;1m3;NA;30
2007;2m1;NA;30
2007;2m2;NA;30
2007;2m3;NA;30
2007;3m1;NA;30
2007;3m2;NA;30
2007;3m3;NA;30
2007;4m1;NA;30
2007;4m2;NA;30
2007;4m3;NA;30
2007;5m1;NA;30
2007;5m2;NA;30
2007;5m3;NA;30
2007;6m1;NA;30
2007;6m2;NA;30
2007;6m3;NA;30
2007;7m1;NA;30
2007;7m2;NA;30
2007;7m3;NA;30
2007;8m1;NA;30
2007;8m2;NA;30
2007;8m3;NA;30
2007;9m1;NA;30
2007;9m2;NA;30
2007;9m3;NA;30
2007;10m1;NA;30
2007;10m2;NA;30
2007;10m3;NA;30
2007;11m1;NA;30
2007;11m2;NA;30
2007;11m3;NA;30
2007;12m1;NA;30
2007;12m2;NA;30
2007;12m3;NA;30
2008;1m1;NA;30
2008;1m2;NA;30
2008;1m3;NA;30
2008;2m1;NA;30
2008;2m2;NA;30
2008;2m3;NA;30
2008;3m1;NA;30
2008;3m2;NA;30
2008;3m3;NA;30
2008;4m1;NA;30
2008;4m2;NA;30
2008;4m3;NA;30
2008;5m1;NA;30
2008;5m2;NA;30
2008;5m3;NA;30
2008;6m1;NA;30
2008;6m2;NA;30
2008;6m3;NA;30
2008;7m1;NA;30
2008;7m2;NA;30
2008;7m3;NA;30
2008;8m1;NA;30
2008;8m2;NA;30
2008;8m3;NA;30
2008;9m1;NA;30
2008;9m2;NA;30
2008;9m3;NA;30
2008;10m1;NA;30
2008;10m2;NA;30
2008;10m3;NA;30
2008;11m1;NA;30
2008;11m2;NA;30
2008;11m3;NA;30
2008;12m1;NA;30
2008;12m2;NA;30
2008;12m3;NA;30
2008;13m1;NA;30
2008;13m2;NA;30
2008;13m3;NA;30
2008;14m1;NA;30
2008;14m2;NA;30
2008;14m3;NA;30
2008;15m1;NA;30
2008;15m2;NA;30
2008;15m3;NA;30
2008;16m1;NA;30
2008;16m2;NA;30
2008;16m3;NA;30
2008;17m1;NA;30
2008;17m2;NA;30
2008;17m3;NA;30
2008;18m1;NA;30
2008;18m2;NA;30
2008;18m3;NA;30
2008;19m1;NA;30
2008;19m2;NA;30
2008;19m3;NA;30
2008;20m1;NA;30
2008;20m2;NA;30
2008;20m3;NA;30
2008;21m1;NA;30
2008;21m2;NA;30
2008;21m3;NA;30
2008;22m1;NA;30
2008;22m2;NA;30
2008;22m3;NA;30
2008;23m1;NA;30
2008;23m2;NA;30
2008;23m3;NA;30
2008;24m1;NA;30
2008;24m2;NA;30
2008;24m3;NA;30
2008;MP-10;NA;30
2008;MP-9;NA;30
2008;MP-2;NA;30
2008;MP-2;NA;30
2008;MP-2;NA;30
2008;MP-1;NA;30
2008;MP-4;NA;30
2008;MP-3;NA;30
2008;MP-4;NA;30
2008;MP-7;NA;30
2008;MP-11;NA;30
2008;MP-12;NA;30
2008;MP-12;NA;30
2008;MP-13;NA;30
2008;MP-14;NA;30
2008;MP-14;NA;30
2008;MP-15;NA;30
