"site";"year";"sample";"species";"Length.mm";"Age.y";"code"
"Abram";2008;"МА 6";"Macoma balthica";9,4;7;"AB"
"Abram";2008;"МА 6";"Macoma balthica";6,2;5;"AB"
"Abram";2008;"МА 6";"Macoma balthica";8,1;5;"AB"
"Abram";2008;"МА 6";"Macoma balthica";8,5;4;"AB"
"Abram";2008;"МА 6";"Macoma balthica";9,7;7;"AB"
"Abram";2008;"МА 6";"Macoma balthica";7,5;5;"AB"
"Abram";2008;"МА 6";"Macoma balthica";9;6;"AB"
"Abram";2008;"МА 6";"Macoma balthica";8,4;5;"AB"
"Abram";2008;"МА 6";"Macoma balthica";8;6;"AB"
"Abram";2008;"МА 6";"Macoma balthica";9,4;7;"AB"
"Abram";2008;"МА 6";"Macoma balthica";10,5;8;"AB"
"Abram";2008;"МА 6";"Macoma balthica";8,5;7;"AB"
"Abram";2008;"МА 6";"Macoma balthica";8,9;7;"AB"
"Abram";2008;"МА 6";"Macoma balthica";13,6;10;"AB"
"Abram";2008;"МА 6";"Macoma balthica";12,5;10;"AB"
"Abram";2008;"МА 6";"Macoma balthica";11,4;7;"AB"
"Abram";2008;"МА 6";"Macoma balthica";10;9;"AB"
"Abram";2008;"МА 6";"Macoma balthica";12,7;10;"AB"
"Abram";2008;"МА 6";"Macoma balthica";13,6;9;"AB"
"Abram";2008;"МА 6";"Macoma balthica";15,6;"NA";"AB"
"Abram";2008;"МА 6";"Macoma balthica";12,7;10;"AB"
"Abram";2008;"МА 6";"Macoma balthica";13,2;11;"AB"
"Abram";2008;"МА 6";"Macoma balthica";10,4;8;"AB"
"Abram";2008;"МА 6";"Macoma balthica";12,9;"NA";"AB"
"Abram";2008;"МА 6";"Macoma balthica";11;"NA";"AB"
"Abram";2008;"МА 6";"Macoma balthica";12,1;"NA";"AB"
"Abram";2008;"МА 6";"Macoma balthica";13,5;10;"AB"
"Abram";2008;"МА 6";"Macoma balthica";13,8;"NA";"AB"
"Abram";2008;"МА 6";"Macoma balthica";11,5;9;"AB"
"Abram";2008;"МА 6";"Macoma balthica";12,4;"NA";"AB"
"Abram";2008;"МА 6";"Macoma balthica";11,5;8;"AB"
"Abram";2008;"МА 6";"Macoma balthica";11,2;9;"AB"
"Abram";2008;"МА 6";"Macoma balthica";11,2;10;"AB"
"Abram";2008;"МА 6";"Macoma balthica";13,6;10;"AB"
"Abram";2008;"МА 6";"Macoma balthica";13;"NA";"AB"
"Abram";2008;"МА 6";"Macoma balthica";13,1;"NA";"AB"
"Abram";2008;"МА 6";"Macoma balthica";14,5;"NA";"AB"
"Abram";2008;"МА 6";"Macoma balthica";13,8;"NA";"AB"
"Abram";2008;"МА 6";"Macoma balthica";13,4;"NA";"AB"
"Abram";2008;"МА 7";"Macoma balthica";5,3;4;"AB"
"Abram";2008;"МА 7";"Macoma balthica";14,7;"NA";"AB"
"Abram";2008;"МА 7";"Macoma balthica";13,1;10;"AB"
"Abram";2008;"МА 8";"Macoma balthica";5,5;5;"AB"
"Abram";2008;"МА 8";"Macoma balthica";5,5;4;"AB"
"Abram";2008;"МА 8";"Macoma balthica";5,4;4;"AB"
"Abram";2008;"МА 8";"Macoma balthica";7;6;"AB"
"Abram";2008;"МА 8";"Macoma balthica";5,3;5;"AB"
"Abram";2008;"МА 8";"Macoma balthica";6,6;6;"AB"
"Abram";2008;"МА 8";"Macoma balthica";8;5;"AB"
"Abram";2008;"МА 8";"Macoma balthica";7,9;8;"AB"
"Abram";2008;"МА 8";"Macoma balthica";9,3;7;"AB"
"Abram";2008;"МА 8";"Macoma balthica";7,2;6;"AB"
"Abram";2008;"МА 8";"Macoma balthica";7,8;5;"AB"
"Abram";2008;"МА 8";"Macoma balthica";9,3;8;"AB"
"Abram";2008;"МА 8";"Macoma balthica";9,1;7;"AB"
"Abram";2008;"МА 8";"Macoma balthica";11,1;10;"AB"
"Abram";2008;"МА 8";"Macoma balthica";9,6;9;"AB"
"Abram";2008;"МА 8";"Macoma balthica";10,2;10;"AB"
"Abram";2008;"МА 8";"Macoma balthica";11,1;11;"AB"
"Abram";2008;"МА 8";"Macoma balthica";11,3;9;"AB"
"Abram";2008;"МА 8";"Macoma balthica";12,7;10;"AB"
"Abram";2008;"МА 8";"Macoma balthica";12,1;10;"AB"
"Abram";2008;"МА 8";"Macoma balthica";15,5;13;"AB"
"Abram";2008;"МА 8";"Macoma balthica";14,7;"NA";"AB"
"Abram";2008;"МА 8";"Macoma balthica";14,5;13;"AB"
"Abram";2008;"МА 8";"Macoma balthica";11,7;"NA";"AB"
"Abram";2008;"МА 8";"Macoma balthica";11,7;"NA";"AB"
"Abram";2008;"МА 8";"Macoma balthica";13,6;"NA";"AB"
"Abram";2008;"МА 8";"Macoma balthica";12,8;11;"AB"
"Abram";2008;"МА 8";"Macoma balthica";14,5;"NA";"AB"
"Abram";2008;"МА 8";"Macoma balthica";11,2;10;"AB"
"Abram";2008;"МА 8";"Macoma balthica";14,2;"NA";"AB"
"Abram";2008;"МА 8";"Macoma balthica";15;"NA";"AB"
"Abram";2008;"МА 9";"Macoma balthica";11,1;10;"AB"
"Abram";2008;"МА 9";"Macoma balthica";10;"NA";"AB"
"Abram";2008;"МА 9";"Macoma balthica";15,2;13;"AB"
"Abram";2008;"МА 9";"Macoma balthica";10,7;10;"AB"
"Abram";2008;"МА 9";"Macoma balthica";8,9;8;"AB"
"Abram";2008;"МА 9";"Macoma balthica";11;"NA";"AB"
"Abram";2008;"МА 9";"Macoma balthica";10,4;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";1,7;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";1,9;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";1,5;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";1,7;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";2,2;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";1,8;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";1,8;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";"NA";1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";2,1;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";1,8;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";1,3;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";1,8;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";2,6;2;"AB"
"Abram";2008;"МА 3";"Macoma balthica";2,6;2;"AB"
"Abram";2008;"МА 3";"Macoma balthica";2,4;2;"AB"
"Abram";2008;"МА 3";"Macoma balthica";1,5;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";1,7;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";2,1;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";1,7;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";1,7;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";2,1;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";2,3;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";2,1;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";2,3;2;"AB"
"Abram";2008;"МА 3";"Macoma balthica";"NA";1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";2,1;1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";2,5;2;"AB"
"Abram";2008;"МА 3";"Macoma balthica";3,1;2;"AB"
"Abram";2008;"МА 3";"Macoma balthica";3,5;2;"AB"
"Abram";2008;"МА 3";"Macoma balthica";3,1;2;"AB"
"Abram";2008;"МА 3";"Macoma balthica";"NA";1;"AB"
"Abram";2008;"МА 3";"Macoma balthica";3;2;"AB"
"Abram";2008;"МА 3";"Macoma balthica";2,9;2;"AB"
"Abram";2008;"МА 3";"Macoma balthica";3,6;3;"AB"
"Abram";2008;"МА 3";"Macoma balthica";5,3;4;"AB"
"Abram";2008;"МА 3";"Macoma balthica";4,7;5;"AB"
"Abram";2008;"МА 3";"Macoma balthica";6;4;"AB"
"Abram";2008;"МА 3";"Macoma balthica";5,3;4;"AB"
"Abram";2008;"МА 3";"Macoma balthica";5,6;4;"AB"
"Abram";2008;"МА 3";"Macoma balthica";7,8;5;"AB"
"Abram";2008;"МА 3";"Macoma balthica";6,2;4;"AB"
"Abram";2008;"МА 3";"Macoma balthica";8;5;"AB"
"Abram";2008;"МА 3";"Macoma balthica";7,7;6;"AB"
"Abram";2008;"МА 3";"Macoma balthica";7,3;6;"AB"
"Abram";2008;"МА 3";"Macoma balthica";7,1;5;"AB"
"Abram";2008;"МА 3";"Macoma balthica";8;5;"AB"
"Abram";2008;"МА 3";"Macoma balthica";8,3;7;"AB"
"Abram";2008;"МА 3";"Macoma balthica";11,7;9;"AB"
"Abram";2008;"МА 3";"Macoma balthica";7,8;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";6;4;"AB"
"Abram";2008;"МА 3";"Macoma balthica";10,8;9;"AB"
"Abram";2008;"МА 3";"Macoma balthica";8,3;7;"AB"
"Abram";2008;"МА 3";"Macoma balthica";10,7;9;"AB"
"Abram";2008;"МА 3";"Macoma balthica";9,4;9;"AB"
"Abram";2008;"МА 3";"Macoma balthica";10,7;9;"AB"
"Abram";2008;"МА 3";"Macoma balthica";9;7;"AB"
"Abram";2008;"МА 3";"Macoma balthica";11,3;10;"AB"
"Abram";2008;"МА 3";"Macoma balthica";11,5;11;"AB"
"Abram";2008;"МА 3";"Macoma balthica";12,7;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";11,7;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";12;9;"AB"
"Abram";2008;"МА 3";"Macoma balthica";13,3;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";13,2;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";14;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";14;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";12,2;8;"AB"
"Abram";2008;"МА 3";"Macoma balthica";11,7;10;"AB"
"Abram";2008;"МА 3";"Macoma balthica";12,3;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";14,9;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";14,7;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";11;9;"AB"
"Abram";2008;"МА 3";"Macoma balthica";13,1;10;"AB"
"Abram";2008;"МА 3";"Macoma balthica";12,3;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";10,7;8;"AB"
"Abram";2008;"МА 3";"Macoma balthica";12,8;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";11,5;10;"AB"
"Abram";2008;"МА 3";"Macoma balthica";13,5;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";13,6;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";13,5;11;"AB"
"Abram";2008;"МА 3";"Macoma balthica";13,6;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";12,8;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";13;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";12,8;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";14,2;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";14,5;"NA";"AB"
"Abram";2008;"МА 3";"Macoma balthica";13,8;10;"AB"
"Abram";2008;"МА 3";"Macoma balthica";12,8;"NA";"AB"
"Abram";2008;"МА 2";"Macoma balthica";2,1;1;"AB"
"Abram";2008;"МА 2";"Macoma balthica";2;1;"AB"
"Abram";2008;"МА 2";"Macoma balthica";2,4;1;"AB"
"Abram";2008;"МА 2";"Macoma balthica";2,2;1;"AB"
"Abram";2008;"МА 2";"Macoma balthica";3,4;2;"AB"
"Abram";2008;"МА 2";"Macoma balthica";4,6;4;"AB"
"Abram";2008;"МА 2";"Macoma balthica";5,6;5;"AB"
"Abram";2008;"МА 2";"Macoma balthica";7,7;6;"AB"
"Abram";2008;"МА 2";"Macoma balthica";9,3;9;"AB"
"Abram";2008;"МА 2";"Macoma balthica";11;10;"AB"
"Abram";2008;"МА 2";"Macoma balthica";11,4;10;"AB"
"Abram";2008;"МА 2";"Macoma balthica";11,3;8;"AB"
"Abram";2008;"МА 2";"Macoma balthica";12,1;9;"AB"
"Abram";2008;"МА 2";"Macoma balthica";12,3;11;"AB"
"Abram";2008;"МА 2";"Macoma balthica";11,4;8;"AB"
"Abram";2008;"МА 2";"Macoma balthica";12,2;10;"AB"
"Abram";2008;"МА 2";"Macoma balthica";13,7;"NA";"AB"
"Abram";2008;"МА 2";"Macoma balthica";12,4;10;"AB"
"Abram";2008;"МА 2";"Macoma balthica";9;"NA";"AB"
"Abram";2008;"МА 2";"Macoma balthica";13;"NA";"AB"
"Abram";2008;"МА 2";"Macoma balthica";2;1;"AB"
"Abram";2008;"МА 2";"Macoma balthica";2,3;1;"AB"
"Abram";2008;"МА 2";"Macoma balthica";3,1;2;"AB"
"Abram";2008;"МА 2";"Macoma balthica";4;4;"AB"
"Abram";2008;"МА 2";"Macoma balthica";4,4;4;"AB"
"Abram";2008;"МА 2";"Macoma balthica";8,4;8;"AB"
"Abram";2008;"МА 2";"Macoma balthica";8,5;8;"AB"
"Abram";2008;"МА 2";"Macoma balthica";6,8;6;"AB"
"Abram";2008;"МА 2";"Macoma balthica";10,5;11;"AB"
"Abram";2008;"МА 2";"Macoma balthica";13,2;12;"AB"
"Abram";2008;"МА 2";"Macoma balthica";12,2;9;"AB"
"Abram";2008;"МА 2";"Macoma balthica";14,6;10;"AB"
"Abram";2008;"МА 2";"Macoma balthica";11,5;7;"AB"
"Abram";2008;"МА 2";"Macoma balthica";12,7;11;"AB"
"Abram";2008;"МА 2";"Macoma balthica";13,5;10;"AB"
"Abram";2008;"МА 2";"Macoma balthica";13,1;9;"AB"
"Abram";2008;"МА 2";"Macoma balthica";13,5;9;"AB"
"Abram";2008;"МА 2";"Macoma balthica";12,7;"NA";"AB"
"Abram";2008;"МА 2";"Macoma balthica";9,7;"NA";"AB"
"Abram";2008;"МА 2";"Macoma balthica";2,1;1;"AB"
"Abram";2008;"МА 2";"Macoma balthica";2,5;1;"AB"
"Abram";2008;"МА 2";"Macoma balthica";1,8;1;"AB"
"Abram";2008;"МА 2";"Macoma balthica";3;2;"AB"
"Abram";2008;"МА 2";"Macoma balthica";4,6;4;"AB"
"Abram";2008;"МА 2";"Macoma balthica";5,4;5;"AB"
"Abram";2008;"МА 2";"Macoma balthica";7,5;7;"AB"
"Abram";2008;"МА 2";"Macoma balthica";"NA";6;"AB"
"Abram";2008;"МА 2";"Macoma balthica";9,2;10;"AB"
"Abram";2008;"МА 2";"Macoma balthica";12;11;"AB"
"Abram";2008;"МА 2";"Macoma balthica";"NA";1;"AB"
"Abram";2008;"МА 2";"Macoma balthica";13,7;10;"AB"
"Abram";2008;"МА 2";"Macoma balthica";13;11;"AB"
"Abram";2008;"МА 2";"Macoma balthica";12;8;"AB"
"Abram";2008;"МА 2";"Macoma balthica";13;10;"AB"
"Abram";2008;"МА 2";"Macoma balthica";13,4;9;"AB"
"Abram";2008;"МА 2";"Macoma balthica";13,3;12;"AB"
"Abram";2008;"МА 2";"Macoma balthica";13,7;"NA";"AB"
"Abram";2008;"МА 2";"Macoma balthica";13,6;"NA";"AB"
"Abram";2008;"МА 2";"Macoma balthica";11,3;"NA";"AB"
"Abram";2008;"МА 2";"Macoma balthica";2,4;1;"AB"
"Abram";2008;"МА 2";"Macoma balthica";2,4;1;"AB"
"Abram";2008;"МА 2";"Macoma balthica";1,8;1;"AB"
"Abram";2008;"МА 2";"Macoma balthica";3,5;3;"AB"
"Abram";2008;"МА 2";"Macoma balthica";4,4;4;"AB"
"Abram";2008;"МА 2";"Macoma balthica";4,8;4;"AB"
"Abram";2008;"МА 2";"Macoma balthica";6,9;7;"AB"
"Abram";2008;"МА 2";"Macoma balthica";10,1;10;"AB"
"Abram";2008;"МА 2";"Macoma balthica";8,5;8;"AB"
"Abram";2008;"МА 2";"Macoma balthica";12,7;10;"AB"
"Abram";2008;"МА 2";"Macoma balthica";15,1;13;"AB"
"Abram";2008;"МА 2";"Macoma balthica";14,2;9;"AB"
"Abram";2008;"МА 2";"Macoma balthica";12,3;9;"AB"
"Abram";2008;"МА 2";"Macoma balthica";13;8;"AB"
"Abram";2008;"МА 2";"Macoma balthica";12,2;10;"AB"
"Abram";2008;"МА 2";"Macoma balthica";13,7;10;"AB"
"Abram";2008;"МА 2";"Macoma balthica";11,5;10;"AB"
"Abram";2008;"МА 2";"Macoma balthica";12,3;"NA";"AB"
"Abram";2008;"МА 2";"Macoma balthica";10,9;9;"AB"
"Abram";2008;"МА 2";"Macoma balthica";9,6;"NA";"AB"
"Abram";2008;"МА 4";"Macoma balthica";2,2;1;"AB"
"Abram";2008;"МА 4";"Macoma balthica";2,6;2;"AB"
"Abram";2008;"МА 4";"Macoma balthica";1,7;1;"AB"
"Abram";2008;"МА 4";"Macoma balthica";2;1;"AB"
"Abram";2008;"МА 4";"Macoma balthica";2,6;2;"AB"
"Abram";2008;"МА 4";"Macoma balthica";2,5;1;"AB"
"Abram";2008;"МА 4";"Macoma balthica";2,2;1;"AB"
"Abram";2008;"МА 4";"Macoma balthica";6,5;6;"AB"
"Abram";2008;"МА 4";"Macoma balthica";7,8;8;"AB"
"Abram";2008;"МА 4";"Macoma balthica";10,6;10;"AB"
"Abram";2008;"МА 4";"Macoma balthica";11,7;9;"AB"
"Abram";2008;"МА 4";"Macoma balthica";13,2;10;"AB"
"Abram";2008;"МА 4";"Macoma balthica";12,3;8;"AB"
"Abram";2008;"МА 4";"Macoma balthica";13;8;"AB"
"Abram";2008;"МА 4";"Macoma balthica";13,9;"NA";"AB"
"Abram";2008;"МА 4";"Macoma balthica";10,3;6;"AB"
"Abram";2008;"МА 4";"Macoma balthica";11,1;7;"AB"
"Abram";2008;"МА 4";"Macoma balthica";12,3;6;"AB"
"Abram";2008;"МА 4";"Macoma balthica";11,5;"NA";"AB"
