area;sample;tidal_zone;Length.mm
Lisya;Ls3;middle;0,7
Lisya;Ls3;middle;0,7
Lisya;Ls3;middle;0,55
Lisya;Ls3;middle;0,65
Lisya;Ls3;middle;0,5
Lisya;Ls3;middle;0,55
Lisya;Ls3;middle;0,5
Lisya;Ls3;middle;0,55
Lisya;Ls3;middle;0,55
Lisya;Ls3;middle;0,4
Lisya;Ls3;middle;0,55
Lisya;Ls3;middle;0,55
Lisya;Ls3;middle;0,6
Lisya;Ls3;middle;0,55
Lisya;Ls3;middle;0,6
Lisya;Ls3;middle;0,6
Lisya;Ls3;middle;0,45
Lisya;Ls3;middle;0,55
Lisya;Ls3;middle;0,55
Lisya;Ls3;middle;0,6
Lisya;Ls3;middle;0,6
Lisya;Ls3;middle;0,65
Lisya;Ls3;middle;0,6
Lisya;Ls3;middle;0,45
Lisya;Ls3;middle;0,55
Lisya;Ls3;middle;0,65
Lisya;Ls3;middle;0,45
Lisya;Ls3;middle;0,5
Lisya;Ls3;middle;0,4
Lisya;Ls3;middle;0,7
Lisya;Ls3;middle;0,6
Lisya;Ls3;middle;0,6
Lisya;Ls3;middle;0,6
Lisya;Ls3;middle;0,5
Lisya;Ls3;middle;0,6
Lisya;Ls3;middle;0,5
Lisya;Ls3;middle;0,45
Lisya;Ls4;middle;0,7
Lisya;Ls4;middle;0,6
Lisya;Ls4;middle;0,55
Lisya;Ls4;middle;0,6
Lisya;Ls4;middle;0,85
Lisya;Ls4;middle;0,6
Lisya;Ls4;middle;0,55
Lisya;Ls4;middle;0,5
Lisya;Ls4;middle;0,55
Lisya;Ls4;middle;0,8
Lisya;Ls4;middle;0,7
Lisya;Ls4;middle;0,45
Lisya;Ls4;middle;0,5
Lisya;Ls4;middle;0,55
Lisya;Ls4;middle;0,6
Lisya;Ls4;middle;0,5
Lisya;Ls4;middle;0,55
Lisya;Ls4;middle;0,65
Lisya;Ls4;middle;0,55
Lisya;Ls4;middle;0,55
Lisya;Ls4;middle;0,45
Lisya;Ls4;middle;0,45
Lisya;Ls4;middle;0,7
Lisya;Ls4;middle;0,75
Lisya;Ls4;middle;0,6
Lisya;Ls4;middle;0,65
Lisya;Ls4;middle;0,45
Lisya;Ls4;middle;0,55
Lisya;Ls4;middle;0,6
Lisya;Ls4;middle;0,65
Lisya;Ls4;middle;0,55
Lisya;Ls4;middle;0,65
Lisya;Ls4;middle;0,4
Lisya;Ls4;middle;0,45
Lisya;Ls4;middle;0,55
Lisya;Ls4;middle;0,5
Lisya;Ls4;middle;0,45
Lisya;Ls5;middle;0,6
Lisya;Ls5;middle;0,75
Lisya;Ls5;middle;0,55
Lisya;Ls5;middle;0,4
Lisya;Ls5;middle;0,5
Lisya;Ls5;middle;0,5
Lisya;Ls5;middle;0,55
Lisya;Ls5;middle;0,6
Lisya;Ls5;middle;0,6
Lisya;Ls5;middle;0,6
Lisya;Ls5;middle;0,85
Lisya;Ls5;middle;0,5
Lisya;Ls5;middle;0,55
Lisya;Ls5;middle;0,5
Lisya;Ls5;middle;0,65
Lisya;Ls5;middle;0,7
Lisya;Ls5;middle;0,45
Lisya;Ls5;middle;0,55
Lisya;Ls5;middle;0,6
Lisya;Ls5;middle;0,5
Lisya;Ls5;middle;0,65
Lisya;Ls5;middle;0,65
Lisya;Ls5;middle;0,65
Lisya;Ls5;middle;0,65
Lisya;Ls5;middle;0,65
Lisya;Ls5;middle;0,55
Lisya;Ls5;middle;0,55
Lisya;Ls5;middle;0,5
Lisya;Ls5;middle;0,7
Lisya;Ls5;middle;0,6
Lisya;Ls5;middle;0,65
Lisya;Ls5;middle;0,7
Lisya;Ls5;middle;0,6
Lisya;Ls5;middle;0,55
Lisya;Ls5;middle;0,6
Lisya;Ls5;middle;0,6
Lisya;Ls5;middle;0,7
Lisya;Ls5;middle;0,6
Lisya;Ls5;middle;0,6
Lisya;Ls5;middle;0,5
Lisya;Ln1;low;0,75
Lisya;Ln1;low;0,6
Lisya;Ln1;low;0,75
Lisya;Ln1;low;0,8
Lisya;Ln1;low;0,75
Lisya;Ln1;low;0,55
Lisya;Ln1;low;0,6
Lisya;Ln1;low;0,55
Lisya;Ln1;low;0,75
Lisya;Ln1;low;0,65
Lisya;Ln1;low;0,65
Lisya;Ln1;low;0,75
Lisya;Ln1;low;0,8
Lisya;Ln1;low;0,5
Lisya;Ln1;low;0,75
Lisya;Ln1;low;0,8
Lisya;Ln1;low;0,7
Lisya;Ln1;low;0,75
Lisya;Ln1;low;0,6
Lisya;Ln1;low;0,75
Lisya;Ln1;low;0,65
Lisya;Ln1;low;0,6
Lisya;Ln1;low;0,65
Lisya;Ln1;low;0,5
Lisya;Ln1;low;0,65
Lisya;Ln1;low;0,65
Lisya;Ln1;low;0,75
Lisya;Ln1;low;0,55
Lisya;Ln1;low;0,5
Lisya;Ln1;low;0,7
Lisya;Ln1;low;0,6
Lisya;Ln1;low;0,65
Lisya;Ln1;low;0,55
Lisya;Ln1;low;0,7
Lisya;Ln1;low;0,6
Lisya;Ln1;low;0,6
Lisya;Ln1;low;0,75
Lisya;Ln1;low;0,75
Lisya;Ln1;low;0,6
Lisya;Ln1;low;0,8
Lisya;Ln1;low;0,6
Lisya;Ln1;low;0,65
Lisya;Ln1;low;0,5
Lisya;Ln1;low;0,6
Lisya;Ln1;low;0,75
Lisya;Ln1;low;0,75
Lisya;Ln1;low;0,65
Lisya;Ln1;low;0,6
Lisya;Ln1;low;0,6
Lisya;Ln1;low;0,65
Lisya;Ln1;low;0,65
Lisya;Ln1;low;0,75
Lisya;Ln1;low;0,6
Lisya;Ln1;low;0,6
Lisya;Ln1;low;0,8
Lisya;Ln1;low;0,55
Lisya;Ln1;low;0,8
Lisya;Ln1;low;0,55
Lisya;Ln1;low;0,8
Lisya;Ln1;low;0,8
Lisya;Ln1;low;0,65
Lisya;Ln1;low;0,55
Lisya;Ln1;low;0,75
Lisya;Ln1;low;0,75
Lisya;Ln1;low;0,6
Lisya;Ln1;low;0,6
Lisya;Ln2;low;0,75
Lisya;Ln2;low;0,6
Lisya;Ln2;low;0,55
Lisya;Ln2;low;0,5
Lisya;Ln2;low;0,65
Lisya;Ln2;low;0,55
Lisya;Ln2;low;0,65
Lisya;Ln2;low;0,55
Lisya;Ln2;low;0,5
Lisya;Ln2;low;0,4
Lisya;Ln2;low;0,6
Lisya;Ln2;low;0,7
Lisya;Ln2;low;0,4
Lisya;Ln2;low;0,75
Lisya;Ln2;low;0,6
Lisya;Ln2;low;0,65
Lisya;Ln2;low;0,55
Lisya;Ln2;low;0,5
Lisya;Ln2;low;0,8
Lisya;Ln2;low;0,45
Lisya;Ln2;low;0,5
Lisya;Ln2;low;0,75
Lisya;Ln2;low;0,6
Lisya;Ln2;low;0,65
Lisya;Ln2;low;0,55
Lisya;Ln2;low;0,6
Lisya;Ln2;low;0,5
Lisya;Ln2;low;0,5
Lisya;Ln2;low;0,5
Lisya;Ln2;low;0,6
Lisya;Ln2;low;0,5
Lisya;Ln2;low;0,6
Lisya;Ln2;low;0,4
Lisya;Ln2;low;0,55
Lisya;Ln2;low;0,65
Lisya;Ln2;low;0,75
Lisya;Ln2;low;0,6
Lisya;Ln2;low;0,7
Lisya;Ln2;low;0,75
Lisya;Ln2;low;0,4
Lisya;Ln2;low;0,55
Lisya;Ln2;low;0,5
Lisya;Ln2;low;0,45
Lisya;Ln2;low;0,35
Lisya;Ln2;low;0,5
Lisya;Ln2;low;0,6
Lisya;Ln2;low;0,4
Lisya;Ln2;low;0,45
Lisya;Ln2;low;0,45
Lisya;Ln2;low;0,8
Lisya;Ln2;low;0,55
Lisya;Ln2;low;0,55
Lisya;Ln2;low;0,45
Lisya;Ln2;low;0,6
Lisya;Ln2;low;0,65
Lisya;Ln2;low;0,55
Lisya;Ln2;low;0,65
Lisya;Ln2;low;0,5
Lisya;Ln2;low;0,45
Lisya;Ln2;low;0,6
Lisya;Ln2;low;0,5
Lisya;Ln2;low;0,5
Lisya;Ln2;low;0,45
Lisya;Ln2;low;0,45
Lisya;Ln2;low;0,45
Lisya;Ln2;low;0,85
Lisya;Ln2;low;0,6
Lisya;Ln2;low;0,5
Lisya;Ln2;low;0,45
Lisya;Ln3;low;0,75
Lisya;Ln3;low;0,65
Lisya;Ln3;low;0,65
Lisya;Ln3;low;0,65
Lisya;Ln3;low;0,5
Lisya;Ln3;low;0,7
Lisya;Ln3;low;0,6
Lisya;Ln3;low;0,75
Lisya;Ln3;low;0,7
Lisya;Ln3;low;0,7
Lisya;Ln3;low;0,5
Lisya;Ln3;low;0,6
Lisya;Ln3;low;0,7
Lisya;Ln3;low;0,55
Lisya;Ln3;low;0,5
Lisya;Ln3;low;0,5
Lisya;Ln3;low;0,45
Lisya;Ln3;low;0,6
Lisya;Ln3;low;0,6
Lisya;Ln3;low;0,5
Lisya;Ln3;low;0,5
Lisya;Ln3;low;0,6
Lisya;Ln3;low;0,5
Lisya;Ln3;low;0,55
Lisya;Ln3;low;0,55
Lisya;Ln3;low;0,55
Lisya;Ln3;low;0,6
Lisya;Ln3;low;0,65
Lisya;Ln3;low;0,5
Lisya;Ln3;low;0,75
Lisya;Ln3;low;0,5
Lisya;Ln3;low;0,5
Lisya;Ln3;low;0,5
Lisya;Ln3;low;0,45
Lisya;Ln3;low;0,65
Lisya;Ln3;low;0,55
Lisya;Ln3;low;0,5
Lisya;Ln3;low;0,65
Lisya;Ln3;low;0,55
Lisya;Ln3;low;0,4
Lisya;Ln3;low;0,55
Lisya;Ln3;low;0,6
Lisya;Ln3;low;0,6
Lisya;Ln3;low;0,65
Lisya;Ln3;low;0,45
Lisya;Ln3;low;0,6
Lisya;Ln3;low;0,6
Lisya;Ln3;low;0,5
Lisya;Ln3;low;0,45
Lisya;Ln3;low;0,65
Lisya;Ln3;low;0,55
Lisya;Ln3;low;0,7
Lisya;Ln3;low;0,55
Lisya;Ln3;low;0,55
Lisya;Ln3;low;0,45
Lisya;Ln3;low;0,65
Lisya;Ln3;low;0,6
Lisya;Ln3;low;0,5
Lisya;Ln3;low;0,5
Lisya;Ln3;low;0,55
Lisya;Ln3;low;0,5
Lisya;Ln3;low;0,7
Lisya;Ln3;low;0,55
Lisya;Ln3;low;0,55
Lisya;Ln3;low;0,45
Lisya;Ln4;low;0,65
Lisya;Ln4;low;0,6
Lisya;Ln4;low;0,55
Lisya;Ln4;low;0,7
Lisya;Ln4;low;0,6
Lisya;Ln4;low;0,4
Lisya;Ln4;low;0,5
Lisya;Ln4;low;0,5
Lisya;Ln4;low;0,6
Lisya;Ln4;low;0,4
Lisya;Ln4;low;0,35
Lisya;Ln4;low;0,5
Lisya;Ln4;low;0,25
Lisya;Ln4;low;0,6
Lisya;Ln4;low;0,45
Lisya;Ln4;low;0,5
Lisya;Ln4;low;0,5
Lisya;Ln4;low;0,5
Lisya;Ln4;low;0,6
Lisya;Ln4;low;0,45
Lisya;Ln4;low;0,5
Lisya;Ln4;low;0,7
Lisya;Ln4;low;0,5
Lisya;Ln4;low;0,65
Lisya;Ln4;low;0,5
Lisya;Ln4;low;0,45
Lisya;Ln4;low;0,7
Lisya;Ln4;low;0,5
Lisya;Ln4;low;0,55
Lisya;Ln4;low;0,45
Lisya;Ln4;low;0,6
Lisya;Ln4;low;0,6
Lisya;Ln4;low;0,75
Lisya;Ln4;low;0,5
Lisya;Ln4;low;0,75
Lisya;Ln4;low;0,6
Lisya;Ln4;low;0,6
Lisya;Ln4;low;0,45
Lisya;Ln4;low;0,5
Lisya;Ln4;low;0,5
Lisya;Ln4;low;0,65
Lisya;Ln4;low;0,5
Lisya;Ln4;low;0,7
Lisya;Ln4;low;0,5
Lisya;Ln4;low;0,55
Lisya;Ln4;low;0,5
Lisya;Ln4;low;0,6
Lisya;Ln4;low;0,6
Lisya;Ln4;low;0,55
Lisya;Ln4;low;0,5
Lisya;Ln5;low;0,7
Lisya;Ln5;low;0,7
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,7
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,4
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,6
Lisya;Ln5;low;0,45
Lisya;Ln5;low;0,35
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,6
Lisya;Ln5;low;0,6
Lisya;Ln5;low;0,45
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,4
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,65
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,7
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,65
Lisya;Ln5;low;0,4
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,65
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,7
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,45
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,6
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,65
Lisya;Ln5;low;0,65
Lisya;Ln5;low;0,6
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,6
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,65
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,6
Lisya;Ln5;low;0,6
Lisya;Ln5;low;0,45
Lisya;Ln5;low;0,6
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,45
Lisya;Ln5;low;0,7
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,65
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,45
Lisya;Ln5;low;0,6
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,7
Lisya;Ln5;low;0,6
Lisya;Ln5;low;0,7
Lisya;Ln5;low;0,65
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,6
Lisya;Ln5;low;0,65
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,55
Lisya;Ln5;low;0,5
Lisya;Ln5;low;0,45
Lisya;Ln5;low;0,5
Suhaya;Ss1;middle;0,6
Suhaya;Ss1;middle;0,65
Suhaya;Ss1;middle;0,6
Suhaya;Ss1;middle;0,6
Suhaya;Ss1;middle;0,7
Suhaya;Ss1;middle;0,6
Suhaya;Ss1;middle;0,75
Suhaya;Ss1;middle;0,55
Suhaya;Ss1;middle;0,75
Suhaya;Ss1;middle;0,65
Suhaya;Ss1;middle;0,7
Suhaya;Ss1;middle;0,6
Suhaya;Ss1;middle;0,5
Suhaya;Ss1;middle;0,5
Suhaya;Ss1;middle;0,45
Suhaya;Ss1;middle;0,55
Suhaya;Ss1;middle;0,55
Suhaya;Ss1;middle;0,6
Suhaya;Ss1;middle;0,55
Suhaya;Ss1;middle;0,7
Suhaya;Ss1;middle;0,55
Suhaya;Ss1;middle;0,65
Suhaya;Ss1;middle;0,6
Suhaya;Ss1;middle;0,55
Suhaya;Ss1;middle;0,75
Suhaya;Ss1;middle;0,65
Suhaya;Ss1;middle;0,5
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,55
Suhaya;Ss2;middle;0,7
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,5
Suhaya;Ss2;middle;0,75
Suhaya;Ss2;middle;0,65
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,85
Suhaya;Ss2;middle;0,8
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,55
Suhaya;Ss2;middle;0,5
Suhaya;Ss2;middle;0,75
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,75
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,75
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,65
Suhaya;Ss2;middle;0,75
Suhaya;Ss2;middle;0,5
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,65
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,5
Suhaya;Ss2;middle;0,7
Suhaya;Ss2;middle;0,55
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,65
Suhaya;Ss2;middle;0,7
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,5
Suhaya;Ss2;middle;0,5
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,85
Suhaya;Ss2;middle;0,55
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,45
Suhaya;Ss2;middle;0,55
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,55
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,5
Suhaya;Ss2;middle;1
Suhaya;Ss2;middle;0,55
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,65
Suhaya;Ss2;middle;0,5
Suhaya;Ss2;middle;0,8
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,65
Suhaya;Ss2;middle;0,7
Suhaya;Ss2;middle;0,6
Suhaya;Ss2;middle;0,55
Suhaya;Ss2;middle;0,65
Suhaya;Ss3;middle;0,65
Suhaya;Ss3;middle;0,45
Suhaya;Ss3;middle;0,6
Suhaya;Ss3;middle;0,55
Suhaya;Ss3;middle;0,6
Suhaya;Ss3;middle;0,75
Suhaya;Ss3;middle;0,65
Suhaya;Ss3;middle;0,75
Suhaya;Ss3;middle;0,6
Suhaya;Ss3;middle;0,65
Suhaya;Ss3;middle;0,65
Suhaya;Ss3;middle;0,5
Suhaya;Ss3;middle;0,7
Suhaya;Ss3;middle;0,6
Suhaya;Ss3;middle;0,55
Suhaya;Ss3;middle;0,55
Suhaya;Ss3;middle;0,7
Suhaya;Ss3;middle;0,55
Suhaya;Ss3;middle;0,55
Suhaya;Ss3;middle;0,65
Suhaya;Ss3;middle;0,55
Suhaya;Ss3;middle;0,65
Suhaya;Ss3;middle;0,6
Suhaya;Ss3;middle;0,6
Suhaya;Ss3;middle;0,6
Suhaya;Ss3;middle;0,55
Suhaya;Ss3;middle;0,55
Suhaya;Ss3;middle;0,5
Suhaya;Ss3;middle;0,7
Suhaya;Ss3;middle;0,8
Suhaya;Ss3;middle;0,45
Suhaya;Ss3;middle;0,75
Suhaya;Ss3;middle;0,55
Suhaya;Ss3;middle;0,6
Suhaya;Ss3;middle;0,8
Suhaya;Ss3;middle;0,65
Suhaya;Ss3;middle;0,65
Suhaya;Ss3;middle;0,8
Suhaya;Ss3;middle;0,65
Suhaya;Ss3;middle;0,65
Suhaya;Ss3;middle;0,65
Suhaya;Ss3;middle;0,6
Suhaya;Ss3;middle;0,65
Suhaya;Ss3;middle;0,6
Suhaya;Ss3;middle;0,6
Suhaya;Ss3;middle;0,5
Suhaya;Ss3;middle;0,55
Suhaya;Ss3;middle;0,55
Suhaya;Ss3;middle;0,65
Suhaya;Ss3;middle;0,65
Suhaya;Ss4;middle;0,75
Suhaya;Ss4;middle;0,55
Suhaya;Ss4;middle;0,7
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,55
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,65
Suhaya;Ss4;middle;0,5
Suhaya;Ss4;middle;0,55
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,7
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,7
Suhaya;Ss4;middle;0,5
Suhaya;Ss4;middle;0,55
Suhaya;Ss4;middle;0,55
Suhaya;Ss4;middle;0,55
Suhaya;Ss4;middle;0,55
Suhaya;Ss4;middle;0,7
Suhaya;Ss4;middle;0,65
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,5
Suhaya;Ss4;middle;0,45
Suhaya;Ss4;middle;0,55
Suhaya;Ss4;middle;0,7
Suhaya;Ss4;middle;0,55
Suhaya;Ss4;middle;0,65
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,55
Suhaya;Ss4;middle;0,7
Suhaya;Ss4;middle;0,65
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,7
Suhaya;Ss4;middle;0,75
Suhaya;Ss4;middle;0,65
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,65
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,65
Suhaya;Ss4;middle;0,7
Suhaya;Ss4;middle;0,55
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,5
Suhaya;Ss4;middle;0,5
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,7
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,6
Suhaya;Ss4;middle;0,5
Suhaya;Ss4;middle;0,55
Suhaya;Ss5;middle;0,55
Suhaya;Ss5;middle;0,6
Suhaya;Ss5;middle;0,7
Suhaya;Ss5;middle;0,6
Suhaya;Ss5;middle;0,55
Suhaya;Ss5;middle;0,4
Suhaya;Ss5;middle;0,65
Suhaya;Ss5;middle;0,55
Suhaya;Ss5;middle;0,3
Suhaya;Ss5;middle;0,6
Suhaya;Ss5;middle;0,6
Suhaya;Ss5;middle;0,5
Suhaya;Ss5;middle;0,6
Suhaya;Ss5;middle;0,55
Suhaya;Ss5;middle;0,7
Suhaya;Ss5;middle;0,45
Suhaya;Ss5;middle;0,6
Suhaya;Ss5;middle;0,5
Suhaya;Ss5;middle;0,6
Suhaya;Ss5;middle;0,65
Suhaya;Ss5;middle;0,4
Suhaya;Ss5;middle;0,6
Suhaya;Ss5;middle;0,55
Suhaya;Ss5;middle;0,5
Suhaya;Ss5;middle;0,55
Suhaya;Ss5;middle;0,7
Suhaya;Ss5;middle;0,5
Suhaya;Ss5;middle;0,5
Suhaya;Ss5;middle;0,6
Suhaya;Ss5;middle;0,5
Suhaya;Ss5;middle;0,6
Suhaya;Ss5;middle;0,6
Suhaya;Ss5;middle;0,6
Suhaya;Ss5;middle;0,6
Suhaya;Ss5;middle;0,5
Suhaya;Ss5;middle;0,55
Suhaya;Ss5;middle;0,55
Suhaya;Ss5;middle;0,6
Suhaya;Ss5;middle;0,65
Suhaya;Ss5;middle;0,7
Suhaya;Ss5;middle;0,65
Suhaya;Ss5;middle;0,55
Suhaya;Ss5;middle;0,7
Suhaya;Ss5;middle;0,55
Suhaya;Ss5;middle;0,6
Suhaya;Ss5;middle;0,65
Suhaya;Ss5;middle;0,75
Suhaya;Ss5;middle;0,65
Suhaya;Ss5;middle;0,5
Suhaya;Ss5;middle;0,7
Suhaya;Ss5;middle;0,65
Suhaya;Ss5;middle;0,4
Podpahta;Ps1;middle;0,6
Podpahta;Ps1;middle;0,55
Podpahta;Ps1;middle;0,7
Podpahta;Ps1;middle;0,45
Podpahta;Ps1;middle;0,6
Podpahta;Ps1;middle;0,45
Podpahta;Ps1;middle;0,55
Podpahta;Ps1;middle;0,45
Podpahta;Ps1;middle;0,5
Podpahta;Ps1;middle;0,6
Podpahta;Ps1;middle;0,55
Podpahta;Ps1;middle;0,7
Podpahta;Ps1;middle;0,65
Podpahta;Ps1;middle;0,55
Podpahta;Ps1;middle;0,55
Podpahta;Ps1;middle;0,5
Podpahta;Ps1;middle;0,5
Podpahta;Ps1;middle;0,45
Podpahta;Ps1;middle;0,4
Podpahta;Ps1;middle;0,45
Podpahta;Ps1;middle;0,5
Podpahta;Ps1;middle;0,4
Podpahta;Ps1;middle;0,4
Podpahta;Ps1;middle;0,4
Podpahta;Ps1;middle;0,55
Podpahta;Ps1;middle;0,6
Podpahta;Ps1;middle;0,55
Podpahta;Ps1;middle;0,6
Podpahta;Ps1;middle;0,45
Podpahta;Ps1;middle;0,6
Podpahta;Ps1;middle;0,5
Podpahta;Ps1;middle;0,4
Podpahta;Ps1;middle;0,45
Podpahta;Ps1;middle;0,45
Podpahta;Ps1;middle;0,4
Podpahta;Ps1;middle;0,5
Podpahta;Ps1;middle;0,6
