о;ZRS;Goreliy;Estuary;YuG;Lomnishniy;razrez2;Abram;Pala;Gavrilovo;Yarnyshnaya;DZ;Shelpino;Porchnikha;Ivanovskaya
2мм;8,15;1,82;0,05;0;0;0;0,3539476076;0;0,0371452329;2,7181316303;0,2235794813;3,766388418;6,5354598691;4,0578362357
1мм;6,44;1,76;0,80;0;0;0;2,8411956308;24,4529952183;4,5772993005;32,0301817324;7,8062385983;7,9553227253;26,1705018789;16,6987456789
0,5мм;14,31;7,01;4,01;0;0;0;6,8209661541;13,9174756452;23,8013750825;29,663444347;36,2012245232;22,7553610929;16,83536125;9,2693735001
0,25мм;16,27;17,34;17,34;0;0;0;6,7418769148;26,0046486377;58,4237094335;19,0203194815;38,2571601019;22,448923174;12,7445634077;8,8846794449
0,1мм;25,77;45,34;42,87;0;0;0;36,0057018689;34,6272304287;11,6094448135;14,310609151;16,0048848643;14,4591282771;19,0297727779;35,6505814242
<0,1мм;9,81;25,88;34,94;0;0;0;44,1581586288;0,9976500702;0,7358867609;0,9872297449;0,8161319982;1,6027674913;1,6768878871;11,0931129855
Cerastoderma_edule;0;0;0;0;0;0;0;1;0;1;1;0;1;0
Hyale_prevosti;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Nainereis_quadricuspida;0;0;0;0;0;0;0;0;0;0;1;0;1;0
Nereis_pelagica;0;0;0;0;0;0;0;1;0;0;0;0;0;0
Onoba_aculeas;0;0;0;0;0;0;0;1;0;1;0;0;1;0
