"Length.int" "year" "sample" "Freq"
"1" "(0,1]" "1992" "1me1" NA
"218" "(17,18]" "2002" "1me1" NA
"219" "(18,19]" "2002" "1me1" NA
"220" "(19,20]" "2002" "1me1" NA
"221" "(0,1]" "2003" "1me1" NA
"222" "(1,2]" "2003" "1me1" NA
"223" "(2,3]" "2003" "1me1" NA
"224" "(3,4]" "2003" "1me1" NA
"225" "(4,5]" "2003" "1me1" NA
"226" "(5,6]" "2003" "1me1" NA
"227" "(6,7]" "2003" "1me1" NA
"228" "(7,8]" "2003" "1me1" NA
"229" "(8,9]" "2003" "1me1" NA
"230" "(9,10]" "2003" "1me1" NA
"231" "(10,11]" "2003" "1me1" NA
"232" "(11,12]" "2003" "1me1" NA
"233" "(12,13]" "2003" "1me1" NA
"234" "(13,14]" "2003" "1me1" NA
"235" "(14,15]" "2003" "1me1" NA
"236" "(15,16]" "2003" "1me1" NA
"237" "(16,17]" "2003" "1me1" NA
"238" "(17,18]" "2003" "1me1" NA
"239" "(18,19]" "2003" "1me1" NA
"240" "(19,20]" "2003" "1me1" NA
"241" "(0,1]" "2004" "1me1" NA
"242" "(1,2]" "2004" "1me1" NA
"243" "(2,3]" "2004" "1me1" NA
"244" "(3,4]" "2004" "1me1" NA
"245" "(4,5]" "2004" "1me1" NA
"246" "(5,6]" "2004" "1me1" NA
"247" "(6,7]" "2004" "1me1" NA
"248" "(7,8]" "2004" "1me1" NA
"249" "(8,9]" "2004" "1me1" NA
"250" "(9,10]" "2004" "1me1" NA
"251" "(10,11]" "2004" "1me1" NA
"252" "(11,12]" "2004" "1me1" NA
"253" "(12,13]" "2004" "1me1" NA
"254" "(13,14]" "2004" "1me1" NA
"255" "(14,15]" "2004" "1me1" NA
"256" "(15,16]" "2004" "1me1" NA
"257" "(16,17]" "2004" "1me1" NA
"258" "(17,18]" "2004" "1me1" NA
"259" "(18,19]" "2004" "1me1" NA
"260" "(19,20]" "2004" "1me1" NA
"261" "(0,1]" "2005" "1me1" NA
"262" "(1,2]" "2005" "1me1" NA
"263" "(2,3]" "2005" "1me1" NA
"264" "(3,4]" "2005" "1me1" NA
"265" "(4,5]" "2005" "1me1" NA
"266" "(5,6]" "2005" "1me1" NA
"267" "(6,7]" "2005" "1me1" NA
"268" "(7,8]" "2005" "1me1" NA
"269" "(8,9]" "2005" "1me1" NA
"270" "(9,10]" "2005" "1me1" NA
"271" "(10,11]" "2005" "1me1" NA
"272" "(11,12]" "2005" "1me1" NA
"273" "(12,13]" "2005" "1me1" NA
"274" "(13,14]" "2005" "1me1" NA
"275" "(14,15]" "2005" "1me1" NA
"276" "(15,16]" "2005" "1me1" NA
"277" "(16,17]" "2005" "1me1" NA
"278" "(17,18]" "2005" "1me1" NA
"279" "(18,19]" "2005" "1me1" NA
"280" "(19,20]" "2005" "1me1" NA
"281" "(0,1]" "2006" "1me1" NA
"282" "(1,2]" "2006" "1me1" NA
"283" "(2,3]" "2006" "1me1" NA
"284" "(3,4]" "2006" "1me1" NA
"285" "(4,5]" "2006" "1me1" NA
"286" "(5,6]" "2006" "1me1" NA
"287" "(6,7]" "2006" "1me1" NA
"288" "(7,8]" "2006" "1me1" NA
"289" "(8,9]" "2006" "1me1" NA
"290" "(9,10]" "2006" "1me1" NA
"291" "(10,11]" "2006" "1me1" NA
"292" "(11,12]" "2006" "1me1" NA
"293" "(12,13]" "2006" "1me1" NA
"294" "(13,14]" "2006" "1me1" NA
"295" "(14,15]" "2006" "1me1" NA
"296" "(15,16]" "2006" "1me1" NA
"297" "(16,17]" "2006" "1me1" NA
"298" "(17,18]" "2006" "1me1" NA
"299" "(18,19]" "2006" "1me1" NA
"300" "(19,20]" "2006" "1me1" NA
"301" "(0,1]" "2007" "1me1" NA
"302" "(1,2]" "2007" "1me1" NA
"303" "(2,3]" "2007" "1me1" NA
"304" "(3,4]" "2007" "1me1" NA
"305" "(4,5]" "2007" "1me1" NA
"306" "(5,6]" "2007" "1me1" NA
"307" "(6,7]" "2007" "1me1" 4
"308" "(7,8]" "2007" "1me1" NA
"309" "(8,9]" "2007" "1me1" NA
"310" "(9,10]" "2007" "1me1" NA
"311" "(10,11]" "2007" "1me1" NA
"312" "(11,12]" "2007" "1me1" NA
"313" "(12,13]" "2007" "1me1" NA
"314" "(13,14]" "2007" "1me1" NA
"315" "(14,15]" "2007" "1me1" NA
"316" "(15,16]" "2007" "1me1" 0
"317" "(16,17]" "2007" "1me1" NA
"318" "(17,18]" "2007" "1me1" NA
"319" "(18,19]" "2007" "1me1" NA
"320" "(19,20]" "2007" "1me1" NA
"321" "(0,1]" "2008" "1me1" NA
"322" "(1,2]" "2008" "1me1" NA
"323" "(2,3]" "2008" "1me1" NA
"324" "(3,4]" "2008" "1me1" NA
"325" "(4,5]" "2008" "1me1" NA
"326" "(5,6]" "2008" "1me1" NA
"327" "(6,7]" "2008" "1me1" NA
"328" "(7,8]" "2008" "1me1" NA
"329" "(8,9]" "2008" "1me1" NA
"330" "(9,10]" "2008" "1me1" NA
"331" "(10,11]" "2008" "1me1" NA
"332" "(11,12]" "2008" "1me1" NA
"333" "(12,13]" "2008" "1me1" NA
"334" "(13,14]" "2008" "1me1" NA
"335" "(14,15]" "2008" "1me1" NA
"336" "(15,16]" "2008" "1me1" NA
"337" "(16,17]" "2008" "1me1" NA
"338" "(17,18]" "2008" "1me1" NA
"339" "(18,19]" "2008" "1me1" NA
"340" "(19,20]" "2008" "1me1" NA
"341" "(0,1]" "2009" "1me1" NA
"342" "(1,2]" "2009" "1me1" NA
"343" "(2,3]" "2009" "1me1" NA
"344" "(3,4]" "2009" "1me1" NA
"345" "(4,5]" "2009" "1me1" NA
"346" "(5,6]" "2009" "1me1" NA
"347" "(6,7]" "2009" "1me1" NA
"348" "(7,8]" "2009" "1me1" NA
"349" "(8,9]" "2009" "1me1" NA
"350" "(9,10]" "2009" "1me1" NA
"351" "(10,11]" "2009" "1me1" NA
"352" "(11,12]" "2009" "1me1" NA
"353" "(12,13]" "2009" "1me1" NA
"354" "(13,14]" "2009" "1me1" NA
"355" "(14,15]" "2009" "1me1" NA
"356" "(15,16]" "2009" "1me1" NA
"357" "(16,17]" "2009" "1me1" NA
"358" "(17,18]" "2009" "1me1" NA
"359" "(18,19]" "2009" "1me1" NA
"360" "(19,20]" "2009" "1me1" NA
"361" "(0,1]" "2010" "1me1" NA
"362" "(1,2]" "2010" "1me1" NA
"363" "(2,3]" "2010" "1me1" NA
"364" "(3,4]" "2010" "1me1" NA
"365" "(4,5]" "2010" "1me1" NA
"366" "(5,6]" "2010" "1me1" NA
"367" "(6,7]" "2010" "1me1" NA
"368" "(7,8]" "2010" "1me1" NA
"369" "(8,9]" "2010" "1me1" NA
"370" "(9,10]" "2010" "1me1" NA
"371" "(10,11]" "2010" "1me1" NA
"372" "(11,12]" "2010" "1me1" NA
"373" "(12,13]" "2010" "1me1" NA
"374" "(13,14]" "2010" "1me1" NA
"375" "(14,15]" "2010" "1me1" NA
"376" "(15,16]" "2010" "1me1" NA
"377" "(16,17]" "2010" "1me1" NA
"378" "(17,18]" "2010" "1me1" NA
"379" "(18,19]" "2010" "1me1" NA
"380" "(19,20]" "2010" "1me1" NA
"381" "(0,1]" "2011" "1me1" NA
"382" "(1,2]" "2011" "1me1" NA
"383" "(2,3]" "2011" "1me1" NA
"384" "(3,4]" "2011" "1me1" NA
"385" "(4,5]" "2011" "1me1" NA
"386" "(5,6]" "2011" "1me1" NA
"387" "(6,7]" "2011" "1me1" NA
"388" "(7,8]" "2011" "1me1" NA
"389" "(8,9]" "2011" "1me1" NA
"390" "(9,10]" "2011" "1me1" NA
"391" "(10,11]" "2011" "1me1" NA
"392" "(11,12]" "2011" "1me1" NA
"393" "(12,13]" "2011" "1me1" NA
"394" "(13,14]" "2011" "1me1" NA
"395" "(14,15]" "2011" "1me1" NA
"396" "(15,16]" "2011" "1me1" NA
"397" "(16,17]" "2011" "1me1" NA
"398" "(17,18]" "2011" "1me1" NA
"399" "(18,19]" "2011" "1me1" NA
"400" "(19,20]" "2011" "1me1" NA
"401" "(0,1]" "2012" "1me1" NA
"402" "(1,2]" "2012" "1me1" NA
"403" "(2,3]" "2012" "1me1" NA
"404" "(3,4]" "2012" "1me1" NA
"405" "(4,5]" "2012" "1me1" NA
"406" "(5,6]" "2012" "1me1" NA
"407" "(6,7]" "2012" "1me1" NA
"408" "(7,8]" "2012" "1me1" NA
"409" "(8,9]" "2012" "1me1" NA
"410" "(9,10]" "2012" "1me1" NA
"411" "(10,11]" "2012" "1me1" NA
"412" "(11,12]" "2012" "1me1" NA
"413" "(12,13]" "2012" "1me1" NA
"414" "(13,14]" "2012" "1me1" NA
"415" "(14,15]" "2012" "1me1" NA
"416" "(15,16]" "2012" "1me1" NA
"417" "(16,17]" "2012" "1me1" NA
"418" "(17,18]" "2012" "1me1" NA
"419" "(18,19]" "2012" "1me1" NA
"420" "(19,20]" "2012" "1me1" NA
"421" "(0,1]" "1992" "1me2" NA
"422" "(1,2]" "1992" "1me2" NA
"423" "(2,3]" "1992" "1me2" NA
"424" "(3,4]" "1992" "1me2" NA
"425" "(4,5]" "1992" "1me2" NA
"426" "(5,6]" "1992" "1me2" NA
"427" "(6,7]" "1992" "1me2" NA
"428" "(7,8]" "1992" "1me2" NA
"429" "(8,9]" "1992" "1me2" NA
"430" "(9,10]" "1992" "1me2" NA
"431" "(10,11]" "1992" "1me2" NA
"432" "(11,12]" "1992" "1me2" NA
"433" "(12,13]" "1992" "1me2" NA
"434" "(13,14]" "1992" "1me2" NA
"435" "(14,15]" "1992" "1me2" NA
"436" "(15,16]" "1992" "1me2" NA
"437" "(16,17]" "1992" "1me2" NA
"438" "(17,18]" "1992" "1me2" NA
"439" "(18,19]" "1992" "1me2" NA
"440" "(19,20]" "1992" "1me2" NA
"441" "(0,1]" "1993" "1me2" NA
"442" "(1,2]" "1993" "1me2" NA
"443" "(2,3]" "1993" "1me2" NA
"444" "(3,4]" "1993" "1me2" NA
"445" "(4,5]" "1993" "1me2" NA
"446" "(5,6]" "1993" "1me2" NA
"447" "(6,7]" "1993" "1me2" NA
"448" "(7,8]" "1993" "1me2" NA
"449" "(8,9]" "1993" "1me2" NA
"450" "(9,10]" "1993" "1me2" NA
"451" "(10,11]" "1993" "1me2" NA
"452" "(11,12]" "1993" "1me2" NA
"453" "(12,13]" "1993" "1me2" NA
"454" "(13,14]" "1993" "1me2" NA
"455" "(14,15]" "1993" "1me2" NA
"456" "(15,16]" "1993" "1me2" NA
"457" "(16,17]" "1993" "1me2" NA
"458" "(17,18]" "1993" "1me2" NA
"459" "(18,19]" "1993" "1me2" NA
"460" "(19,20]" "1993" "1me2" NA
"461" "(0,1]" "1994" "1me2" NA
"462" "(1,2]" "1994" "1me2" NA
"463" "(2,3]" "1994" "1me2" NA
"464" "(3,4]" "1994" "1me2" NA
"465" "(4,5]" "1994" "1me2" NA
"466" "(5,6]" "1994" "1me2" NA
"467" "(6,7]" "1994" "1me2" NA
"468" "(7,8]" "1994" "1me2" NA
"469" "(8,9]" "1994" "1me2" NA
"470" "(9,10]" "1994" "1me2" NA
"471" "(10,11]" "1994" "1me2" NA
"472" "(11,12]" "1994" "1me2" NA
"473" "(12,13]" "1994" "1me2" NA
"474" "(13,14]" "1994" "1me2" NA
"475" "(14,15]" "1994" "1me2" NA
"476" "(15,16]" "1994" "1me2" NA
"477" "(16,17]" "1994" "1me2" NA
"478" "(17,18]" "1994" "1me2" NA
"479" "(18,19]" "1994" "1me2" NA
"480" "(19,20]" "1994" "1me2" NA
"481" "(0,1]" "1995" "1me2" NA
"482" "(1,2]" "1995" "1me2" NA
"483" "(2,3]" "1995" "1me2" NA
"484" "(3,4]" "1995" "1me2" NA
"485" "(4,5]" "1995" "1me2" NA
"486" "(5,6]" "1995" "1me2" NA
"487" "(6,7]" "1995" "1me2" NA
"488" "(7,8]" "1995" "1me2" NA
"489" "(8,9]" "1995" "1me2" NA
"490" "(9,10]" "1995" "1me2" NA
"491" "(10,11]" "1995" "1me2" NA
"492" "(11,12]" "1995" "1me2" NA
"493" "(12,13]" "1995" "1me2" NA
"494" "(13,14]" "1995" "1me2" NA
"495" "(14,15]" "1995" "1me2" NA
"496" "(15,16]" "1995" "1me2" NA
"497" "(16,17]" "1995" "1me2" NA
"498" "(17,18]" "1995" "1me2" NA
"499" "(18,19]" "1995" "1me2" NA
"500" "(19,20]" "1995" "1me2" NA
"501" "(0,1]" "1996" "1me2" NA
"502" "(1,2]" "1996" "1me2" NA
"503" "(2,3]" "1996" "1me2" NA
"504" "(3,4]" "1996" "1me2" NA
"505" "(4,5]" "1996" "1me2" NA
"506" "(5,6]" "1996" "1me2" NA
"507" "(6,7]" "1996" "1me2" NA
"508" "(7,8]" "1996" "1me2" NA
"509" "(8,9]" "1996" "1me2" NA
"510" "(9,10]" "1996" "1me2" NA
"511" "(10,11]" "1996" "1me2" NA
"512" "(11,12]" "1996" "1me2" NA
"513" "(12,13]" "1996" "1me2" NA
"514" "(13,14]" "1996" "1me2" NA
"515" "(14,15]" "1996" "1me2" NA
"516" "(15,16]" "1996" "1me2" NA
"517" "(16,17]" "1996" "1me2" NA
"518" "(17,18]" "1996" "1me2" NA
"519" "(18,19]" "1996" "1me2" NA
"520" "(19,20]" "1996" "1me2" NA
"521" "(0,1]" "1997" "1me2" NA
"522" "(1,2]" "1997" "1me2" NA
"523" "(2,3]" "1997" "1me2" NA
"524" "(3,4]" "1997" "1me2" NA
"525" "(4,5]" "1997" "1me2" NA
"526" "(5,6]" "1997" "1me2" NA
"527" "(6,7]" "1997" "1me2" NA
"528" "(7,8]" "1997" "1me2" NA
"529" "(8,9]" "1997" "1me2" NA
"530" "(9,10]" "1997" "1me2" NA
"531" "(10,11]" "1997" "1me2" NA
"532" "(11,12]" "1997" "1me2" NA
"533" "(12,13]" "1997" "1me2" NA
"534" "(13,14]" "1997" "1me2" NA
"535" "(14,15]" "1997" "1me2" NA
"536" "(15,16]" "1997" "1me2" NA
"537" "(16,17]" "1997" "1me2" NA
"538" "(17,18]" "1997" "1me2" NA
"539" "(18,19]" "1997" "1me2" NA
"540" "(19,20]" "1997" "1me2" NA
"541" "(0,1]" "1998" "1me2" NA
"542" "(1,2]" "1998" "1me2" NA
"543" "(2,3]" "1998" "1me2" NA
"544" "(3,4]" "1998" "1me2" NA
"545" "(4,5]" "1998" "1me2" NA
"546" "(5,6]" "1998" "1me2" NA
"547" "(6,7]" "1998" "1me2" NA
"548" "(7,8]" "1998" "1me2" NA
"549" "(8,9]" "1998" "1me2" NA
"550" "(9,10]" "1998" "1me2" NA
"551" "(10,11]" "1998" "1me2" NA
"552" "(11,12]" "1998" "1me2" NA
"553" "(12,13]" "1998" "1me2" NA
"554" "(13,14]" "1998" "1me2" NA
"555" "(14,15]" "1998" "1me2" NA
"556" "(15,16]" "1998" "1me2" NA
"557" "(16,17]" "1998" "1me2" NA
"558" "(17,18]" "1998" "1me2" NA
"559" "(18,19]" "1998" "1me2" NA
"560" "(19,20]" "1998" "1me2" NA
"561" "(0,1]" "1999" "1me2" NA
"562" "(1,2]" "1999" "1me2" NA
"563" "(2,3]" "1999" "1me2" NA
"564" "(3,4]" "1999" "1me2" NA
"565" "(4,5]" "1999" "1me2" NA
"566" "(5,6]" "1999" "1me2" NA
"567" "(6,7]" "1999" "1me2" NA
"568" "(7,8]" "1999" "1me2" NA
"569" "(8,9]" "1999" "1me2" NA
"570" "(9,10]" "1999" "1me2" NA
"571" "(10,11]" "1999" "1me2" NA
"572" "(11,12]" "1999" "1me2" NA
"573" "(12,13]" "1999" "1me2" NA
"574" "(13,14]" "1999" "1me2" NA
"575" "(14,15]" "1999" "1me2" NA
"576" "(15,16]" "1999" "1me2" NA
"577" "(16,17]" "1999" "1me2" NA
"578" "(17,18]" "1999" "1me2" NA
"579" "(18,19]" "1999" "1me2" NA
"580" "(19,20]" "1999" "1me2" NA
"581" "(0,1]" "2000" "1me2" NA
"582" "(1,2]" "2000" "1me2" NA
"583" "(2,3]" "2000" "1me2" NA
"584" "(3,4]" "2000" "1me2" NA
"585" "(4,5]" "2000" "1me2" NA
"586" "(5,6]" "2000" "1me2" NA
"587" "(6,7]" "2000" "1me2" NA
"588" "(7,8]" "2000" "1me2" NA
"589" "(8,9]" "2000" "1me2" NA
"590" "(9,10]" "2000" "1me2" NA
"591" "(10,11]" "2000" "1me2" NA
"592" "(11,12]" "2000" "1me2" NA
"593" "(12,13]" "2000" "1me2" NA
"594" "(13,14]" "2000" "1me2" NA
"595" "(14,15]" "2000" "1me2" NA
"596" "(15,16]" "2000" "1me2" NA
"597" "(16,17]" "2000" "1me2" NA
"598" "(17,18]" "2000" "1me2" NA
"599" "(18,19]" "2000" "1me2" NA
"600" "(19,20]" "2000" "1me2" NA
"601" "(0,1]" "2001" "1me2" NA
"602" "(1,2]" "2001" "1me2" NA
"603" "(2,3]" "2001" "1me2" NA
"604" "(3,4]" "2001" "1me2" NA
"605" "(4,5]" "2001" "1me2" NA
"606" "(5,6]" "2001" "1me2" NA
"607" "(6,7]" "2001" "1me2" NA
"608" "(7,8]" "2001" "1me2" NA
"609" "(8,9]" "2001" "1me2" NA
"610" "(9,10]" "2001" "1me2" NA
"611" "(10,11]" "2001" "1me2" NA
"612" "(11,12]" "2001" "1me2" NA
"613" "(12,13]" "2001" "1me2" NA
"614" "(13,14]" "2001" "1me2" NA
"615" "(14,15]" "2001" "1me2" NA
"616" "(15,16]" "2001" "1me2" NA
"617" "(16,17]" "2001" "1me2" NA
"618" "(17,18]" "2001" "1me2" NA
"619" "(18,19]" "2001" "1me2" NA
"620" "(19,20]" "2001" "1me2" NA
"621" "(0,1]" "2002" "1me2" NA
"622" "(1,2]" "2002" "1me2" NA
"623" "(2,3]" "2002" "1me2" NA
"624" "(3,4]" "2002" "1me2" NA
"625" "(4,5]" "2002" "1me2" NA
"626" "(5,6]" "2002" "1me2" NA
"627" "(6,7]" "2002" "1me2" NA
"628" "(7,8]" "2002" "1me2" NA
"629" "(8,9]" "2002" "1me2" NA
"630" "(9,10]" "2002" "1me2" NA
"631" "(10,11]" "2002" "1me2" NA
"632" "(11,12]" "2002" "1me2" NA
"633" "(12,13]" "2002" "1me2" NA
