sea;region;area;year;tidal_level;n.samples;square;N.indd;SEM.N;D.N;mareography
White;Luvenga;razrez2;2002;fucus_zone;3;30;3250;337,8;10;middle
White;Luvenga;razrez2;2004;fucus_zone;4;30;3090;889;29;middle
White;Luvenga;razrez2;1992;zostera_zone;5;30;222;103,3;47;low
White;Luvenga;razrez2;1993;zostera_zone;6;30;405;80;20;low
White;Luvenga;razrez2;1994;zostera_zone;6;30;765;112,7;15;low
White;Luvenga;razrez2;1995;zostera_zone;5;30;660;117,7;18;low
White;Luvenga;razrez2;1996;zostera_zone;4;30;645;71,9;11;low
White;Luvenga;razrez2;1997;zostera_zone;5;30;702;70,7;10;low
White;Luvenga;razrez2;1998;zostera_zone;5;30;2424;437,1;18;low
White;Luvenga;razrez2;1999;zostera_zone;6;30;2405;498,8;21;low
White;Luvenga;razrez2;2000;zostera_zone;5;30;2562;721;28;low
White;Luvenga;razrez2;2002;zostera_zone;4;30;2498;952,6;38;low
White;Luvenga;razrez2;2004;zostera_zone;5;30;1818;302,6;17;low
White;Luvenga;razrez2;1992;low_beatch;3;30;560;457,1;82;hydrographic_datum
White;Luvenga;razrez2;1993;low_beatch;5;30;354;77,3;22;hydrographic_datum
White;Luvenga;razrez2;1994;low_beatch;3;30;930;170,6;18;hydrographic_datum
White;Luvenga;razrez2;1995;low_beatch;6;30;685;154,8;23;hydrographic_datum
White;Luvenga;razrez2;1996;low_beatch;6;30;870;68,8;8;hydrographic_datum
White;Luvenga;razrez2;1997;low_beatch;6;30;880;97;11;hydrographic_datum
White;Luvenga;razrez2;1998;low_beatch;5;30;1182;239;20;hydrographic_datum
White;Luvenga;razrez2;1999;low_beatch;5;30;2328;623,8;27;hydrographic_datum
White;Luvenga;razrez2;2000;low_beatch;4;30;2018;394,3;20;hydrographic_datum
White;Luvenga;razrez2;2002;low_beatch;2;30;810;240;30;hydrographic_datum
White;Luvenga;Goreliy;1992;high;7;30;73;23,7;32;high
White;Luvenga;Goreliy;1993;high;3;30;143;29,1;20;high
White;Luvenga;Goreliy;2004;high;3;30;2620;219,3;8;high
White;Luvenga;Goreliy;2006;high;3;30;2200;353,4;16;high
White;Luvenga;Goreliy;2007;high;3;30;1940;341,8;18;high
White;Luvenga;Goreliy;2008;high;3;30;1100;98,5;9;high
White;Luvenga;Goreliy;2011;high;3;30;2000;926;46;high
White;Luvenga;Goreliy;1992;middle;5;30;108;9,7;9;middle
White;Luvenga;Goreliy;1993;middle;3;30;480;11,5;2;middle
White;Luvenga;Goreliy;2004;middle;3;30;1700;208,8;12;middle
White;Luvenga;Goreliy;2006;middle;3;30;1910;342,2;18;middle
White;Luvenga;Goreliy;2007;middle;3;30;1990;449,8;23;middle
White;Luvenga;Goreliy;2008;middle;3;30;2740;125,3;5;middle
White;Luvenga;Goreliy;2011;middle;3;30;1210;216,6;18;middle
White;Luvenga;Goreliy;1992;low;2;30;50;20;40;low
White;Luvenga;Goreliy;1993;low;4;30;183;34,5;19;low
White;Luvenga;Goreliy;2004;low;3;30;1040;176,9;17;low
White;Luvenga;Goreliy;2006;low;3;30;650;87,2;13;low
White;Luvenga;Goreliy;2007;low;3;30;540;195,2;36;low
White;Luvenga;Goreliy;2008;low;3;30;1030;404,5;39;low
White;Luvenga;Goreliy;2011;low;3;30;1590;199,7;13;low
White;Luvenga;Goreliy;1992;hydrographic_datum;3;30;13;3,3;25;hydrographic_datum
White;Luvenga;Goreliy;1993;hydrographic_datum;3;30;97;43,7;45;hydrographic_datum
White;Luvenga;Goreliy;2004;hydrographic_datum;3;30;1540;60,8;4;hydrographic_datum
White;Luvenga;Goreliy;2006;hydrographic_datum;3;30;760;160,9;21;hydrographic_datum
White;Luvenga;Goreliy;2007;hydrographic_datum;3;30;660;45,8;7;hydrographic_datum
White;Luvenga;Goreliy;2008;hydrographic_datum;3;30;740;147,3;20;hydrographic_datum
White;Luvenga;Goreliy;2011;hydrographic_datum;3;30;1100;208,8;19;hydrographic_datum
Barents;East_Murman;DZ;2002;middle;43;30;52;7;13;middle
Barents;East_Murman;DZ;2003;middle;48;30;34;6,6;20;middle
Barents;East_Murman;DZ;2004;middle;44;30;32;5,3;16;middle
Barents;East_Murman;DZ;2005;middle;30;30;30;4,5;15;middle
Barents;East_Murman;DZ;2006;middle;28;30;39;6;16;middle
Barents;East_Murman;DZ;2007;middle;33;30;72;6,6;9;middle
Barents;East_Murman;DZ;2008;middle;72;30;72;5,5;8;middle
Barents;East_Murman;DZ;2008;high;10;30;30;8,9;30;high
Barents;East_Murman;DZ;2008;low;5;30;42;7,3;17;low
Barents;Kola_bay;Abram;2008;middle;5;20;540;208,5;39;middle
Barents;Kola_bay;Abram;2008;low;5;20;1804;78,6;4;low
Barents;East_Murman;Shelpino;2008;middle;5;30;54;11,2;21;middle
Barents;East_Murman;Shelpino;2008;high;5;30;36;17,5;49;high
Barents;East_Murman;Porchnikha;2008;middle;5;30;48;15,7;33;middle
Barents;East_Murman;Gavrilovo;2008;middle;5;30;99;24,5;25;middle
Barents;East_Murman;Gavrilovo;2008;low;5;30;74;26,3;36;low
Barents;East_Murman;Yarnyshnaya;2008;high;5;30;219;97,6;45;high
Barents;East_Murman;Yarnyshnaya;2008;low;5;30;387;109,1;28;low
Barents;East_Murman;Ivanovskaya;2008;subtidal;5;20;1208;72,8;6;subtidal
Barents;Kola_bay;Pala;2007;middle;16;30;936;76,4;8;middle
Barents;East_Murman;Porchnikha;2007;middle;32;30;87;10,8;12;middle
Barents;East_Murman;Yarnyshnaya;2007;middle;36;30;70;9,6;14;middle
Barents;Kola_bay;Pala;2007_aut;low;36;30;790;61,7;8;low
Barents;Kola_bay;Pala;2008_wint;low;11;20;864;154,4;18;low
Barents;Kola_bay;Pala;2008;low;10;30;1644;192,5;12;low
White;Chupa_bay;Klyushiha;2006;middle;10;20;444;53,7;12;middle
White;Chupa_bay;Klyushiha;2006;low;10;20;362;26,4;7;low
White;Chupa_bay;Klyushiha;2006;subtidal;10;20;1136;55,4;5;subtidal
White;Chupa_bay;Lisya;2006;middle;10;20;1346;209,8;16;middle
White;Chupa_bay;Lisya;2006;low;10;20;2832;277,8;10;low
White;Chupa_bay;Lisya;2006;subtidal;10;20;1006;159,8;16;subtidal
White;Chupa_bay;Podpahta;2006;middle;10;20;688;145,2;21;middle
White;Chupa_bay;Podpahta;2006;low;10;20;372;57,9;16;low
White;Chupa_bay;Suhaya;2006;middle;10;10;1165;169,3;15;middle
White;Chupa_bay;Suhaya;2006;low;5;20;1132;82,6;7;low
White;Chupa_bay;Suhaya;2006;zostera_zone;5;20;992;174,4;18;low
Barents;Kola_bay;Abram;2005;middle;2;30;3350;520;16;middle
Barents;Kola_bay;Nagornoe;2005;middle;2;30;390;90;23;middle
Barents;Kola_bay;Retinskoe;2005;middle;2;30;660;300;45;middle
Barents;West_Murman;Ura;2005;middle;3;30;1267;288,8;23;middle
Barents;West_Murman;Pechenga;2005;middle;3;30;767;218,6;29;middle
