year;tidal_zone;sample;species;Length.mm;age;k1;k2;k3;k4;k5;k6;k7;k8;k9;k10;k11;k12
2007;middle;5m3;Macoma balthica;15,0;6;NA;6,2;8,5;10,0;12,0;13,2;NA;NA;NA;NA;NA;NA
2007;middle;10m2;Macoma balthica;15,6;6;NA;3,7;6,2;9,8;11,8;14,2;NA;NA;NA;NA;NA;NA
2007;middle;11m1;Macoma balthica;15,6;6;NA;5,2;7,6;9,8;12,0;14,0;NA;NA;NA;NA;NA;NA
2007;middle;11m3;Macoma balthica;15,7;6;NA;NA;8,8;11,7;13,8;14,5;NA;NA;NA;NA;NA;NA
2007;middle;11m1;Macoma balthica;15,9;6;NA;NA;10,3;12,3;13,7;14,3;NA;NA;NA;NA;NA;NA
2007;middle;6m2;Macoma balthica;16,2;6;NA;NA;NA;10,7;12,7;14,6;NA;NA;NA;NA;NA;NA
2007;middle;4m2;Macoma balthica;16,3;6;NA;4,5;8,3;11,0;13,7;14,8;NA;NA;NA;NA;NA;NA
2007;middle;2m2;Macoma balthica;17,6;7;NA;5,7;7,0;10,3;12,8;14,2;15,0;NA;NA;NA;NA;NA
2007;middle;9m2;Macoma balthica;13,7;7;NA;3,5;4,5;7,0;9,4;10,8;12,0;NA;NA;NA;NA;NA
2007;middle;7m3;Macoma balthica;15,5;7;NA;NA;NA;9,0;12,0;13,7;14,3;NA;NA;NA;NA;NA
2007;middle;3m2;Macoma balthica;17,0;7;2,0;6,2;8,2;12,1;14,2;15,0;16,0;NA;NA;NA;NA;NA
2007;middle;2m2;Macoma balthica;17,4;7;NA;NA;8,2;11,3;12,2;15,0;16,4;NA;NA;NA;NA;NA
2007;middle;3m1;Macoma balthica;17,8;7;NA;5,2;9,6;12,3;13,5;15,0;16,3;NA;NA;NA;NA;NA
2007;middle;2m3;Macoma balthica;18,1;7;NA;NA;7,0;11,4;13,2;15,6;16,7;NA;NA;NA;NA;NA
2007;middle;2m2;Macoma balthica;18,4;7;NA;NA;8,2;11,0;13,1;14,3;16,2;NA;NA;NA;NA;NA
2007;middle;3m1;Macoma balthica;13,9;8;NA;4,5;7,2;10,3;11,6;12,5;12,9;13,5;NA;NA;NA;NA
2007;middle;10m3;Macoma balthica;17,7;8;NA;5,7;7,6;10,5;13,2;14,7;16,1;16,7;NA;NA;NA;NA
2007;middle;7m3;Macoma balthica;14,8;6;NA;4,5;8,0;10,7;12,5;NA;NA;NA;NA;NA;NA;NA
2007;middle;10m3;Macoma balthica;14,0;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;11m3;Macoma balthica;15,5;7;NA;NA;6,4;8,8;11,7;13,0;14,5;NA;NA;NA;NA;NA
2007;middle;8m2;Macoma balthica;18,2;7;NA;NA;7,2;11,0;12,3;14,0;17,2;NA;NA;NA;NA;NA
2007;middle;1m1;Macoma balthica;15,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;9m3;Macoma balthica;20,0;8;NA;NA;9,1;12,2;13,9;15,9;17,0;17,7;NA;NA;NA;NA
2007;middle;4m1;Macoma balthica;14,6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;1m3;Macoma balthica;14,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;2m1;Macoma balthica;15,2;NA;NA;6,5;10,0;12,1;13,4;NA;NA;NA;NA;NA;NA;NA
2007;middle;7m3;Macoma balthica;15,5;NA;NA;5,7;8,7;12,2;NA;NA;NA;NA;NA;NA;NA;NA
2007;middle;2m1;Macoma balthica;17,3;NA;NA;4,7;10,0;11,8;13,2;14,6;16,0;NA;NA;NA;NA;NA
2007;middle;1m3;Macoma balthica;18,0;NA;NA;NA;NA;10,8;13,5;14,8;16,0;?;NA;NA;NA;NA
2007;middle;1m3;Macoma balthica;19,0;NA;NA;4,5;8,2;12,0;13,8;15,2;16,4;NA;NA;NA;NA;NA
2008;high;MP10;Macoma balthica;3,5;1;1,1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;high;MP7;Macoma balthica;2,2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;high;MP1;Macoma balthica;4;2;1,1;1,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;high;MP4;Macoma balthica;5,8;3;1,5;2,5;3,5;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;high;MP2;Macoma balthica;14,9;9;NA;NA;NA;5,1;7,7;10;11,6;13;14,3;NA;NA;NA
2008;high;MP3;Macoma balthica;15,1;10;NA;NA;NA;5,5;8,3;9,9;11,5;13,3;14;14,5;NA;NA
2008;high;MP4;Macoma balthica;16,2;11;NA;NA;NA;NA;7,5;10;11,7;13,2;14,5;15,5;16;NA
2008;high;MP2;Macoma balthica;16,6;12;NA;NA;NA;NA;8;9,3;11;12,6;13,4;14,6;15,7;16,3
2008;high;MP2;Macoma balthica;10;6;1,1;2,2;3,2;3,7?;6,7;7,9;9,4;NA;NA;NA;NA;NA
2008;high;MP9;Macoma balthica;14,2;8;NA;NA;NA;6,5;7,9;10,7;11,5;12,2;NA;NA;NA;NA
2008;middle;3m3;Macoma balthica;2,3;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;15m1;Macoma balthica;2,5;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;17m1;Macoma balthica;3,1;2;0,7;1,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;7m3;Macoma balthica;2,1;2;0,9;1,5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;1m3;Macoma balthica;3,0;2;1,0;1,8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;6m3;Macoma balthica;4,6;2;1,5;2,9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;11m1;Macoma balthica;4,8;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;11m3;Macoma balthica;3,1;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;11m3;Macoma balthica;3,0;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;10m3;Macoma balthica;3,3;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;4m3;Macoma balthica;2,7;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;17m3;Macoma balthica;2,9;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;22m1;Macoma balthica;3,9;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;21m2;Macoma balthica;3,4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;21m2;Macoma balthica;4,4;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;10m3;Macoma balthica;4,2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;10m3;Macoma balthica;3,6;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;9m2;Macoma balthica;3,9;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;3m1;Macoma balthica;3,7;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;9m3;Macoma balthica;3,8;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;9m3;Macoma balthica;4,0;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;9m3;Macoma balthica;4,3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;2m3;Macoma balthica;4,0;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;13m3;Macoma balthica;4,1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;13m3;Macoma balthica;4,0;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;3m2;Macoma balthica;5,5;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;21m3;Macoma balthica;5,5;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;20m2;Macoma balthica;7,1;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;7m3;Macoma balthica;6,8;6;0,9;2,0;3,5;4,9;5,8;6,4;NA;NA;NA;NA;NA;NA
2008;middle;8m3;Macoma balthica;8,9;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;3m3;Macoma balthica;8,2;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;12m3;Macoma balthica;7,6;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;3m2;Macoma balthica;9,9;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;10m3;Macoma balthica;8,6;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;3m3;Macoma balthica;9,2;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;9m3;Macoma balthica;8,6;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;14m3;Macoma balthica;9,3;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;14m2;Macoma balthica;8,1;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;18m3;Macoma balthica;10,7;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;15m1;Macoma balthica;7,3;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;7m3;Macoma balthica;9,0;8;1,1;2,0;2,9;3,5;4,6;5,8;7,0;8,0;NA;NA;NA;NA
2008;middle;8m3;Macoma balthica;9,3;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;6m1;Macoma balthica;11,1;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;2m2;Macoma balthica;7,8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;23m2;Macoma balthica;9,6;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;12m1;Macoma balthica;13,8;9;+;+;3,6;5,5;8,0;9,0;10,5;11,7;12,8;NA;NA;NA
2008;middle;7m3;Macoma balthica;13,0;9;+;+;4,5;5,8;7,2;8,8;10,2;11,7;12,5;NA;NA;NA
2008;middle;6m3;Macoma balthica;13,3;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;6m1;Macoma balthica;9,9;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;3m2;Macoma balthica;11,5;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;10m3;Macoma balthica;11,3;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;3m3;Macoma balthica;11,6;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;3m1;Macoma balthica;9,5;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;1m1;Macoma balthica;10,3;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;17m3;Macoma balthica;13,5;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;14m2;Macoma balthica;12,5;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;14m2;Macoma balthica;11,3;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;18m1;Macoma balthica;12,7;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;19m3;Macoma balthica;10,3;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;19m3;Macoma balthica;10,1;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;23m1;Macoma balthica;7,4;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;15m1;Macoma balthica;8,2;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;1m3;Macoma balthica;15,0;10;1,0;2,6;5,5;7,7;9,4;10,5;11,7;12,5;13,2;14,3;NA;NA
2008;middle;11m3;Macoma balthica;16,9;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;12m3;Macoma balthica;12,6;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;11m2;Macoma balthica;13,0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;11m2;Macoma balthica;13,2;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;9m2;Macoma balthica;13,5;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;2m2;Macoma balthica;13,4;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;4m3;Macoma balthica;12,8;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;13m3;Macoma balthica;15,9;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;22m1;Macoma balthica;14,8;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;14m2;Macoma balthica;13,3;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;17m2;Macoma balthica;16,1;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;18m1;Macoma balthica;11,6;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;15m3;Macoma balthica;11,5;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;16m3;Macoma balthica;12,0;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;18m3;Macoma balthica;11,1;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;1m2;Macoma balthica;16,5;11;+;+;4,5;6,5;7,8;8,8;9,8;10,8;13,0;14,9;15,9;NA
2008;middle;5m2;Macoma balthica;15,3;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;7m1;Macoma balthica;13,6;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;5m3;Macoma balthica;13,0;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;12m3;Macoma balthica;13,2;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;7m2;Macoma balthica;13,6;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;10m3;Macoma balthica;17,9;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;3m1;Macoma balthica;10,7;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;6m2;Macoma balthica;15,0;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;2m3;Macoma balthica;13,0;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;2m3;Macoma balthica;13,6;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;2m3;Macoma balthica;13,5;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;19m1;Macoma balthica;15,7;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;22m1;Macoma balthica;16,2;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;22m1;Macoma balthica;18,8;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;22m2;Macoma balthica;14,9;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;23m2;Macoma balthica;13,2;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;21m3;Macoma balthica;18,6;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;21m3;Macoma balthica;16,6;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;20m3;Macoma balthica;14,8;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;15m3;Macoma balthica;15,8;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;15m3;Macoma balthica;17,6;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;21m1;Macoma balthica;16,6;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;13m2;Macoma balthica;11,6;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;23m1;Macoma balthica;12,5;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;23m1;Macoma balthica;13,2;11;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;1m2;Macoma balthica;16,5;12;+;+;4,7;7,5;8,5;9,8;10,6;12,4;13,7;14,5;15,5;16,0
2008;middle;12m1;Macoma balthica;17,0;12;NA;NA;NA;NA;NA;9,0;10,7;12,8;14,5;15,3;16,0;16,6
2008;middle;6m3;Macoma balthica;17,8;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;11m2;Macoma balthica;17,9;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;10m3;Macoma balthica;14,5;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;2m3;Macoma balthica;15,0;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;4m3;Macoma balthica;16,4;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;9m1;Macoma balthica;13,8;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;17m3;Macoma balthica;18,8;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;19m1;Macoma balthica;16,7;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;19m1;Macoma balthica;16,1;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;22m1;Macoma balthica;18,0;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;22m1;Macoma balthica;17,2;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;21m2;Macoma balthica;16,4;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;22m3;Macoma balthica;10,2;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;21m3;Macoma balthica;18,2;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;23m3;Macoma balthica;15,3;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;16m3;Macoma balthica;15,7;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;14m1;Macoma balthica;12,9;12;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;7m3;Macoma balthica;17,3;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;7m3;Macoma balthica;17,3;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;5m2;Macoma balthica;16,3;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;6m3;Macoma balthica;17,5;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;7m1;Macoma balthica;15,5;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;7m1;Macoma balthica;15,7;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;3m2;Macoma balthica;18,0;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;7m2;Macoma balthica;15,8;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;10m3;Macoma balthica;16,9;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;10m3;Macoma balthica;17,3;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;3m3;Macoma balthica;17,2;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;10m2;Macoma balthica;17,0;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;4m1;Macoma balthica;18,8;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;2m3;Macoma balthica;18,9;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;4m3;Macoma balthica;15,3;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;9m1;Macoma balthica;15,7;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;9m1;Macoma balthica;15,8;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;14m3;Macoma balthica;20,1;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;24m2;Macoma balthica;15,0;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;24m1;Macoma balthica;20,0;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;21m2;Macoma balthica;19,8;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;21m2;Macoma balthica;18,7;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;15m3;Macoma balthica;18,0;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;18m3;Macoma balthica;15,0;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;17m1;Macoma balthica;18,1;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;14m1;Macoma balthica;16,5;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;14m1;Macoma balthica;16,3;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;15m1;Macoma balthica;15,0;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;15m1;Macoma balthica;15,0;13;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;12m2;Macoma balthica;18,0;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2008;middle;8m3;Macoma balthica;17,3;14;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
