site;Length_int;year;N_percent
Estuary;(7,8];2002;16,6956521739
Estuary;(8,9];2002;8,5217391304
Estuary;(9,10];2002;2,4347826087
Estuary;(10,11];2002;1,7391304348
Estuary;(11,12];2002;0,1739130435
Estuary;(12,13];2002;0,347826087
Estuary;(13,14];2002;0,6956521739
Estuary;(14,15];2002;0,5217391304
Estuary;(15,16];2002;0,1739130435
Estuary;(16,17];2002;0
Estuary;(17,18];2002;0
Estuary;(18,19];2002;0
Estuary;(19,20];2002;0
Estuary;(1,2];2003;24,6246246246
Estuary;(2,3];2003;1,5015015015
Estuary;(3,4];2003;1,951951952
Estuary;(4,5];2003;4,3543543544
Estuary;(5,6];2003;6,1561561562
Estuary;(6,7];2003;14,1141141141
Estuary;(7,8];2003;18,4684684685
Estuary;(8,9];2003;18,4684684685
Estuary;(9,10];2003;6,4564564565
Estuary;(10,11];2003;2,5525525526
Estuary;(11,12];2003;0,1501501502
Estuary;(12,13];2003;0,4504504505
Estuary;(13,14];2003;0,4504504505
Estuary;(14,15];2003;0,1501501502
Estuary;(15,16];2003;0,1501501502
Estuary;(16,17];2003;0
Estuary;(17,18];2003;0
Estuary;(18,19];2003;0
Estuary;(19,20];2003;0
Estuary;(1,2];2004;37,037037037
Estuary;(2,3];2004;11,4114114114
Estuary;(3,4];2004;2,7027027027
Estuary;(4,5];2004;1,6016016016
Estuary;(5,6];2004;2,3023023023
Estuary;(6,7];2004;4,6046046046
Estuary;(7,8];2004;13,7137137137
Estuary;(8,9];2004;15,1151151151
Estuary;(9,10];2004;7,8078078078
Estuary;(10,11];2004;3,1031031031
Estuary;(11,12];2004;0,6006006006
Estuary;(12,13];2004;0
Estuary;(13,14];2004;0
Estuary;(14,15];2004;0
Estuary;(15,16];2004;0
Estuary;(16,17];2004;0
Estuary;(17,18];2004;0
Estuary;(18,19];2004;0
Estuary;(19,20];2004;0
Estuary;(1,2];2005;18,6858316222
Estuary;(2,3];2005;10,4722792608
Estuary;(3,4];2005;10,0616016427
Estuary;(4,5];2005;5,954825462
Estuary;(5,6];2005;3,9014373717
Estuary;(6,7];2005;4,5174537988
Estuary;(7,8];2005;8,8295687885
Estuary;(8,9];2005;16,2217659138
Estuary;(9,10];2005;15,8110882957
Estuary;(10,11];2005;4,3121149897
Estuary;(11,12];2005;0,6160164271
Estuary;(12,13];2005;0,4106776181
Estuary;(13,14];2005;0,205338809
Estuary;(14,15];2005;0
Estuary;(15,16];2005;0
Estuary;(16,17];2005;0
Estuary;(17,18];2005;0
Estuary;(18,19];2005;0
Estuary;(19,20];2005;0
Estuary;(1,2];2006;10,7382550336
Estuary;(2,3];2006;6,3758389262
Estuary;(3,4];2006;4,3624161074
Estuary;(4,5];2006;6,3758389262
Estuary;(5,6];2006;7,0469798658
Estuary;(6,7];2006;8,389261745
Estuary;(7,8];2006;9,7315436242
Estuary;(8,9];2006;7,7181208054
Estuary;(9,10];2006;13,7583892617
Estuary;(10,11];2006;18,1208053691
Estuary;(11,12];2006;6,0402684564
Estuary;(12,13];2006;0,6711409396
Estuary;(13,14];2006;0,6711409396
Estuary;(14,15];2006;0
Estuary;(15,16];2006;0
Estuary;(16,17];2006;0
Estuary;(17,18];2006;0
Estuary;(18,19];2006;0
Estuary;(19,20];2006;0
Estuary;(1,2];2007;56,2827225131
Estuary;(2,3];2007;5,7591623037
Estuary;(3,4];2007;3,664921466
Estuary;(4,5];2007;2,4869109948
Estuary;(5,6];2007;1,7015706806
Estuary;(6,7];2007;3,4031413613
Estuary;(7,8];2007;5,497382199
Estuary;(8,9];2007;4,057591623
Estuary;(9,10];2007;4,4502617801
Estuary;(10,11];2007;6,1518324607
Estuary;(11,12];2007;4,057591623
Estuary;(12,13];2007;1,5706806283
Estuary;(13,14];2007;0,3926701571
Estuary;(14,15];2007;0,5235602094
Estuary;(15,16];2007;0
Estuary;(16,17];2007;0
Estuary;(17,18];2007;0
Estuary;(18,19];2007;0
Estuary;(19,20];2007;0
Estuary;(1,2];2008;32,2772277228
Estuary;(2,3];2008;11,0891089109
Estuary;(3,4];2008;10,6930693069
Estuary;(4,5];2008;5,7425742574
Estuary;(5,6];2008;4,5544554455
Estuary;(6,7];2008;3,1683168317
Estuary;(7,8];2008;2,3762376238
Estuary;(8,9];2008;2,5742574257
Estuary;(9,10];2008;5,1485148515
Estuary;(10,11];2008;7,1287128713
Estuary;(11,12];2008;7,1287128713
Estuary;(12,13];2008;5,5445544554
Estuary;(13,14];2008;2,1782178218
Estuary;(14,15];2008;0,396039604
Estuary;(15,16];2008;0
Estuary;(16,17];2008;0
Estuary;(17,18];2008;0
Estuary;(18,19];2008;0
Estuary;(19,20];2008;0
Estuary;(1,2];2009;30,8243727599
Estuary;(2,3];2009;16,1290322581
Estuary;(3,4];2009;10,394265233
Estuary;(4,5];2009;6,4516129032
Estuary;(5,6];2009;8,064516129
Estuary;(6,7];2009;4,1218637993
Estuary;(7,8];2009;4,8387096774
Estuary;(8,9];2009;2,688172043
Estuary;(9,10];2009;1,7921146953
Estuary;(10,11];2009;3,4050179211
Estuary;(11,12];2009;4,8387096774
Estuary;(12,13];2009;4,3010752688
Estuary;(13,14];2009;1,7921146953
Estuary;(14,15];2009;0,1792114695
Estuary;(15,16];2009;0
Estuary;(16,17];2009;0,1792114695
Estuary;(17,18];2009;0
Estuary;(18,19];2009;0
Estuary;(19,20];2009;0
Estuary;(1,2];2010;19,2868719611
Estuary;(2,3];2010;16,5316045381
Estuary;(3,4];2010;12,3176661264
Estuary;(4,5];2010;8,265802269
Estuary;(5,6];2010;4,7001620746
Estuary;(6,7];2010;5,6726094003
Estuary;(7,8];2010;6,6450567261
Estuary;(8,9];2010;4,8622366288
Estuary;(9,10];2010;4,7001620746
Estuary;(10,11];2010;5,510534846
Estuary;(11,12];2010;6,3209076175
Estuary;(12,13];2010;3,2414910859
Estuary;(13,14];2010;1,6207455429
Estuary;(14,15];2010;0,1620745543
Estuary;(15,16];2010;0,1620745543
Estuary;(16,17];2010;0
Estuary;(17,18];2010;0
Estuary;(18,19];2010;0
Estuary;(19,20];2010;0
Estuary;(1,2];2011;10,183299389
Estuary;(2,3];2011;3,66598778
Estuary;(3,4];2011;7,9429735234
Estuary;(4,5];2011;6,7209775967
Estuary;(5,6];2011;9,1649694501
Estuary;(6,7];2011;6,7209775967
Estuary;(7,8];2011;8,1466395112
Estuary;(8,9];2011;11,6089613035
Estuary;(9,10];2011;10,183299389
Estuary;(10,11];2011;7,1283095723
Estuary;(11,12];2011;10,3869653768
Estuary;(12,13];2011;5,4989816701
Estuary;(13,14];2011;2,4439918534
Estuary;(14,15];2011;0,2036659878
Estuary;(15,16];2011;0
Estuary;(16,17];2011;0
Estuary;(17,18];2011;0
Estuary;(18,19];2011;0
Estuary;(19,20];2011;0
Estuary;(1,2];2012;12,8205128205
Estuary;(2,3];2012;3,1339031339
Estuary;(3,4];2012;2,849002849
Estuary;(4,5];2012;4,2735042735
Estuary;(5,6];2012;7,9772079772
Estuary;(6,7];2012;7,6923076923
Estuary;(7,8];2012;11,9658119658
Estuary;(8,9];2012;15,0997150997
Estuary;(9,10];2012;11,396011396
Estuary;(10,11];2012;8,2621082621
Estuary;(11,12];2012;7,9772079772
Estuary;(12,13];2012;4,5584045584
Estuary;(13,14];2012;1,9943019943
Estuary;(14,15];2012;0
Estuary;(15,16];2012;0
Estuary;(16,17];2012;0
Estuary;(17,18];2012;0
Estuary;(18,19];2012;0
Estuary;(19,20];2012;0
Goreliy;(1,2];1992;0,8403361345
Goreliy;(2,3];1992;2,5210084034
Goreliy;(3,4];1992;3,3613445378
Goreliy;(4,5];1992;2,5210084034
Goreliy;(5,6];1992;4,2016806723
Goreliy;(6,7];1992;15,1260504202
Goreliy;(7,8];1992;19,3277310924
Goreliy;(8,9];1992;12,6050420168
Goreliy;(9,10];1992;15,1260504202
Goreliy;(10,11];1992;10,0840336134
Goreliy;(11,12];1992;9,243697479
Goreliy;(12,13];1992;2,5210084034
Goreliy;(13,14];1992;0,8403361345
Goreliy;(14,15];1992;0,8403361345
Goreliy;(15,16];1992;0,8403361345
Goreliy;(16,17];1992;0
Goreliy;(17,18];1992;0
Goreliy;(18,19];1992;0
Goreliy;(19,20];1992;0
Goreliy;(1,2];1993;7,2664359862
Goreliy;(2,3];1993;26,6435986159
Goreliy;(3,4];1993;26,2975778547
Goreliy;(4,5];1993;10,3806228374
Goreliy;(5,6];1993;3,1141868512
Goreliy;(6,7];1993;0,3460207612
Goreliy;(7,8];1993;1,0380622837
Goreliy;(8,9];1993;3,4602076125
Goreliy;(9,10];1993;3,1141868512
Goreliy;(10,11];1993;4,4982698962
Goreliy;(11,12];1993;5,5363321799
Goreliy;(12,13];1993;6,5743944637
Goreliy;(13,14];1993;0,6920415225
Goreliy;(14,15];1993;0,6920415225
Goreliy;(15,16];1993;0
Goreliy;(16,17];1993;0
Goreliy;(17,18];1993;0,3460207612
Goreliy;(18,19];1993;0
Goreliy;(19,20];1993;0
Goreliy;(1,2];1994;11,8997912317
Goreliy;(2,3];1994;13,987473904
Goreliy;(3,4];1994;4,3841336117
Goreliy;(4,5];1994;5,2192066806
Goreliy;(5,6];1994;6,2630480167
Goreliy;(6,7];1994;12,7348643006
Goreliy;(7,8];1994;18,3716075157
Goreliy;(8,9];1994;9,1858037578
Goreliy;(9,10];1994;6,0542797495
Goreliy;(10,11];1994;1,6701461378
Goreliy;(11,12];1994;3,5490605428
Goreliy;(12,13];1994;2,7139874739
Goreliy;(13,14];1994;2,5052192067
Goreliy;(14,15];1994;1,0438413361
Goreliy;(15,16];1994;0,2087682672
Goreliy;(16,17];1994;0,2087682672
Goreliy;(17,18];1994;0
Goreliy;(18,19];1994;0
Goreliy;(19,20];1994;0
Goreliy;(1,2];1995;19,6286472149
Goreliy;(2,3];1995;11,6710875332
Goreliy;(3,4];1995;7,1618037135
Goreliy;(4,5];1995;7,6923076923
Goreliy;(5,6];1995;4,2440318302
Goreliy;(6,7];1995;5,8355437666
Goreliy;(7,8];1995;5,0397877984
Goreliy;(8,9];1995;10,0795755968
Goreliy;(9,10];1995;10,3448275862
Goreliy;(10,11];1995;6,100795756
Goreliy;(11,12];1995;5,3050397878
Goreliy;(12,13];1995;3,1830238727
Goreliy;(13,14];1995;1,3262599469
Goreliy;(14,15];1995;1,3262599469
Goreliy;(15,16];1995;0,7957559682
Goreliy;(16,17];1995;0,2652519894
Goreliy;(17,18];1995;0
Goreliy;(18,19];1995;0
Goreliy;(19,20];1995;0
Goreliy;(1,2];1996;6,1776061776
Goreliy;(2,3];1996;8,1081081081
Goreliy;(3,4];1996;5,4054054054
Goreliy;(4,5];1996;4,6332046332
Goreliy;(5,6];1996;4,6332046332
Goreliy;(6,7];1996;5,0193050193
Goreliy;(7,8];1996;3,861003861
Goreliy;(8,9];1996;6,1776061776
Goreliy;(9,10];1996;12,3552123552
Goreliy;(10,11];1996;18,5328185328
Goreliy;(11,12];1996;12,3552123552
Goreliy;(12,13];1996;5,7915057915
Goreliy;(13,14];1996;4,2471042471
Goreliy;(14,15];1996;1,9305019305
Goreliy;(15,16];1996;0,3861003861
Goreliy;(16,17];1996;0,3861003861
Goreliy;(17,18];1996;0
Goreliy;(18,19];1996;0
Goreliy;(19,20];1996;0
Goreliy;(1,2];1997;10,7692307692
Goreliy;(2,3];1997;1,5384615385
Goreliy;(3,4];1997;4,6153846154
Goreliy;(4,5];1997;4,6153846154
Goreliy;(5,6];1997;0,7692307692
Goreliy;(6,7];1997;3,8461538462
Goreliy;(7,8];1997;9,2307692308
Goreliy;(8,9];1997;4,6153846154
Goreliy;(9,10];1997;12,3076923077
Goreliy;(10,11];1997;14,6153846154
Goreliy;(11,12];1997;12,3076923077
Goreliy;(12,13];1997;11,5384615385
Goreliy;(13,14];1997;3,0769230769
Goreliy;(14,15];1997;1,5384615385
Goreliy;(15,16];1997;2,3076923077
Goreliy;(16,17];1997;1,5384615385
Goreliy;(17,18];1997;0
Goreliy;(18,19];1997;0
Goreliy;(19,20];1997;0,7692307692
Goreliy;(1,2];1998;28,0649926145
Goreliy;(2,3];1998;51,5509601182
Goreliy;(3,4];1998;10,0443131462
Goreliy;(4,5];1998;0,5908419498
Goreliy;(5,6];1998;1,0339734121
Goreliy;(6,7];1998;1,1816838996
Goreliy;(7,8];1998;0,7385524372
Goreliy;(8,9];1998;1,329394387
Goreliy;(9,10];1998;0,5908419498
Goreliy;(10,11];1998;0,5908419498
Goreliy;(11,12];1998;1,1816838996
Goreliy;(12,13];1998;0,8862629247
Goreliy;(13,14];1998;1,6248153619
Goreliy;(14,15];1998;0,4431314623
Goreliy;(15,16];1998;0
Goreliy;(16,17];1998;0,1477104874
Goreliy;(17,18];1998;0
Goreliy;(18,19];1998;0
Goreliy;(19,20];1998;0
Goreliy;(1,2];1999;64,0715412941
Goreliy;(2,3];1999;15,8337716991
Goreliy;(3,4];1999;4,2609153077
Goreliy;(4,5];1999;3,6296685955
Goreliy;(5,6];1999;3,8926880589
Goreliy;(6,7];1999;2,6827985271
Goreliy;(7,8];1999;0,8942661757
Goreliy;(8,9];1999;0,5786428196
Goreliy;(9,10];1999;0,5260389269
Goreliy;(10,11];1999;0,4208311415
Goreliy;(11,12];1999;0,9468700684
Goreliy;(12,13];1999;1,2098895318
Goreliy;(13,14];1999;0,5260389269
Goreliy;(14,15];1999;0,3682272488
Goreliy;(15,16];1999;0,1052077854
Goreliy;(16,17];1999;0,0526038927
Goreliy;(17,18];1999;0
Goreliy;(18,19];1999;0
Goreliy;(19,20];1999;0
Goreliy;(1,2];2000;36,0061680802
Goreliy;(2,3];2000;20,2775636083
Goreliy;(3,4];2000;12,3361603701
Goreliy;(4,5];2000;6,0909791827
Goreliy;(5,6];2000;5,7054741712
Goreliy;(6,7];2000;5,4741711642
Goreliy;(7,8];2000;4,934464148
Goreliy;(8,9];2000;3,0069390902
Goreliy;(9,10];2000;1,5420200463
Goreliy;(10,11];2000;1,5420200463
Goreliy;(11,12];2000;1,5420200463
Goreliy;(12,13];2000;0,8481110254
Goreliy;(13,14];2000;0,3855050116
Goreliy;(14,15];2000;0,3084040093
Goreliy;(15,16];2000;0
Goreliy;(16,17];2000;0
Goreliy;(17,18];2000;0
Goreliy;(18,19];2000;0
Goreliy;(19,20];2000;0
Goreliy;(1,2];2001;12,0331950207
Goreliy;(2,3];2001;16,5975103734
Goreliy;(3,4];2001;16,5975103734
Goreliy;(4,5];2001;12,8630705394
Goreliy;(5,6];2001;11,5145228216
Goreliy;(6,7];2001;8,1950207469
Goreliy;(7,8];2001;7,9875518672
Goreliy;(8,9];2001;6,1203319502
Goreliy;(9,10];2001;2,0746887967
Goreliy;(10,11];2001;1,9709543568
Goreliy;(11,12];2001;1,6597510373
Goreliy;(12,13];2001;1,244813278
Goreliy;(13,14];2001;0,8298755187
Goreliy;(14,15];2001;0,2074688797
Goreliy;(15,16];2001;0
Goreliy;(16,17];2001;0,1037344398
Goreliy;(17,18];2001;0
Goreliy;(18,19];2001;0
Goreliy;(19,20];2001;0
Goreliy;(1,2];2002;16,9871794872
Goreliy;(2,3];2002;11,2179487179
Goreliy;(3,4];2002;13,141025641
Goreliy;(4,5];2002;11,858974359
Goreliy;(5,6];2002;13,9423076923
Goreliy;(6,7];2002;11,5384615385
Goreliy;(7,8];2002;8,4935897436
Goreliy;(8,9];2002;5,9294871795
Goreliy;(9,10];2002;2,8846153846
Goreliy;(10,11];2002;1,2820512821
Goreliy;(11,12];2002;1,6025641026
Goreliy;(12,13];2002;0,641025641
Goreliy;(13,14];2002;0,1602564103
Goreliy;(14,15];2002;0,3205128205
Goreliy;(15,16];2002;0
Goreliy;(16,17];2002;0
Goreliy;(17,18];2002;0
Goreliy;(18,19];2002;0
Goreliy;(19,20];2002;0
Goreliy;(1,2];2003;21,7237308146
Goreliy;(2,3];2003;4,958677686
Goreliy;(3,4];2003;6,2573789847
Goreliy;(4,5];2003;7,9102715466
Goreliy;(5,6];2003;12,0425029516
Goreliy;(6,7];2003;13,4592680047
Goreliy;(7,8];2003;11,8063754427
Goreliy;(8,9];2003;9,0909090909
Goreliy;(9,10];2003;5,1948051948
Goreliy;(10,11];2003;2,3612750885
Goreliy;(11,12];2003;2,0070838253
Goreliy;(12,13];2003;0,7083825266
Goreliy;(13,14];2003;1,2987012987
Goreliy;(14,15];2003;0,5903187721
Goreliy;(15,16];2003;0,2361275089
Goreliy;(16,17];2003;0,3541912633
Goreliy;(17,18];2003;0
Goreliy;(18,19];2003;0
Goreliy;(19,20];2003;0
Goreliy;(1,2];2004;28,6956521739
Goreliy;(2,3];2004;7,5362318841
Goreliy;(3,4];2004;5,5072463768
Goreliy;(4,5];2004;4,9275362319
Goreliy;(5,6];2004;4,2028985507
Goreliy;(6,7];2004;6,8115942029
Goreliy;(7,8];2004;9,5652173913
Goreliy;(8,9];2004;11,5942028986
Goreliy;(9,10];2004;8,115942029
Goreliy;(10,11];2004;7,1014492754
Goreliy;(11,12];2004;3,9130434783
Goreliy;(12,13];2004;0,7246376812
Goreliy;(13,14];2004;0,5797101449
Goreliy;(14,15];2004;0,2898550725
Goreliy;(15,16];2004;0,4347826087
Goreliy;(16,17];2004;0
Goreliy;(17,18];2004;0
Goreliy;(18,19];2004;0
Goreliy;(19,20];2004;0
Goreliy;(1,2];2005;21,6467463479
Goreliy;(2,3];2005;6,374501992
Goreliy;(3,4];2005;6,1088977424
Goreliy;(4,5];2005;5,7104913679
Goreliy;(5,6];2005;6,9057104914
Goreliy;(6,7];2005;8,8977423639
Goreliy;(7,8];2005;10,7569721116
Goreliy;(8,9];2005;14,8738379814
Goreliy;(9,10];2005;7,96812749
Goreliy;(10,11];2005;6,2416998672
Goreliy;(11,12];2005;3,187250996
Goreliy;(12,13];2005;0,9296148738
Goreliy;(13,14];2005;0,3984063745
Goreliy;(14,15];2005;0
Goreliy;(15,16];2005;0
Goreliy;(16,17];2005;0
Goreliy;(17,18];2005;0
Goreliy;(18,19];2005;0
Goreliy;(19,20];2005;0
Goreliy;(1,2];2006;33,8768115942
Goreliy;(2,3];2006;4,1666666667
Goreliy;(3,4];2006;4,1666666667
Goreliy;(4,5];2006;3,9855072464
Goreliy;(5,6];2006;4,7101449275
Goreliy;(6,7];2006;6,884057971
Goreliy;(7,8];2006;8,6956521739
Goreliy;(8,9];2006;9,9637681159
Goreliy;(9,10];2006;12,6811594203
Goreliy;(10,11];2006;7,0652173913
Goreliy;(11,12];2006;2,5362318841
Goreliy;(12,13];2006;1,0869565217
Goreliy;(13,14];2006;0,1811594203
Goreliy;(14,15];2006;0
Goreliy;(15,16];2006;0
Goreliy;(16,17];2006;0
Goreliy;(17,18];2006;0
Goreliy;(18,19];2006;0
Goreliy;(19,20];2006;0
Goreliy;(1,2];2007;50,0974658869
Goreliy;(2,3];2007;5,0682261209
Goreliy;(3,4];2007;2,5341130604
Goreliy;(4,5];2007;3,7037037037
Goreliy;(5,6];2007;1,7543859649
Goreliy;(6,7];2007;2,1442495127
Goreliy;(7,8];2007;4,4834307992
Goreliy;(8,9];2007;9,746588694
Goreliy;(9,10];2007;9,5516569201
Goreliy;(10,11];2007;7,992202729
Goreliy;(11,12];2007;1,9493177388
Goreliy;(12,13];2007;0,7797270955
Goreliy;(13,14];2007;0,1949317739
Goreliy;(14,15];2007;0
Goreliy;(15,16];2007;0
Goreliy;(16,17];2007;0
Goreliy;(17,18];2007;0
Goreliy;(18,19];2007;0
Goreliy;(19,20];2007;0
Goreliy;(1,2];2008;33,8680926916
Goreliy;(2,3];2008;19,2513368984
Goreliy;(3,4];2008;9,2691622103
Goreliy;(4,5];2008;6,0606060606
Goreliy;(5,6];2008;4,2780748663
Goreliy;(6,7];2008;4,8128342246
Goreliy;(7,8];2008;3,2085561497
Goreliy;(8,9];2008;5,7040998217
Goreliy;(9,10];2008;3,3868092692
Goreliy;(10,11];2008;4,991087344
Goreliy;(11,12];2008;2,6737967914
Goreliy;(12,13];2008;1,6042780749
Goreliy;(13,14];2008;0,5347593583
Goreliy;(14,15];2008;0
Goreliy;(15,16];2008;0
Goreliy;(16,17];2008;0
Goreliy;(17,18];2008;0
Goreliy;(18,19];2008;0
Goreliy;(19,20];2008;0,3565062389
Goreliy;(1,2];2009;30,9090909091
Goreliy;(2,3];2009;12,7272727273
Goreliy;(3,4];2009;8,4090909091
Goreliy;(4,5];2009;4,5454545455
Goreliy;(5,6];2009;5,6818181818
Goreliy;(6,7];2009;6,1363636364
Goreliy;(7,8];2009;5,4545454545
Goreliy;(8,9];2009;6,8181818182
