"oneyear.int";"year";"tidal_level";"sample";"Freq"
"238";"(1.2,1.8]";"2009";"middle";"1mg1";NA
"242";"(1.2,1.8]";"2010";"middle";"1mg1";NA
"246";"(1.2,1.8]";"2011";"middle";"1mg1";NA
"250";"(1.2,1.8]";"2012";"middle";"1mg1";NA
"254";"(1.2,1.8]";"1992";"midlow";"1mg1";NA
"258";"(1.2,1.8]";"1993";"midlow";"1mg1";NA
"262";"(1.2,1.8]";"1994";"midlow";"1mg1";NA
"266";"(1.2,1.8]";"1995";"midlow";"1mg1";NA
"270";"(1.2,1.8]";"1996";"midlow";"1mg1";NA
"274";"(1.2,1.8]";"1997";"midlow";"1mg1";NA
"278";"(1.2,1.8]";"1998";"midlow";"1mg1";NA
"282";"(1.2,1.8]";"1999";"midlow";"1mg1";NA
"286";"(1.2,1.8]";"2000";"midlow";"1mg1";NA
"290";"(1.2,1.8]";"2001";"midlow";"1mg1";NA
"294";"(1.2,1.8]";"2002";"midlow";"1mg1";NA
"298";"(1.2,1.8]";"2003";"midlow";"1mg1";NA
"302";"(1.2,1.8]";"2004";"midlow";"1mg1";NA
"306";"(1.2,1.8]";"2005";"midlow";"1mg1";NA
"310";"(1.2,1.8]";"2006";"midlow";"1mg1";NA
"314";"(1.2,1.8]";"2007";"midlow";"1mg1";NA
"318";"(1.2,1.8]";"2008";"midlow";"1mg1";NA
"322";"(1.2,1.8]";"2009";"midlow";"1mg1";NA
"326";"(1.2,1.8]";"2010";"midlow";"1mg1";NA
"330";"(1.2,1.8]";"2011";"midlow";"1mg1";NA
"334";"(1.2,1.8]";"2012";"midlow";"1mg1";NA
"338";"(1.2,1.8]";"1992";"high";"1mg2";NA
"342";"(1.2,1.8]";"1993";"high";"1mg2";NA
"346";"(1.2,1.8]";"1994";"high";"1mg2";NA
"350";"(1.2,1.8]";"1995";"high";"1mg2";NA
"354";"(1.2,1.8]";"1996";"high";"1mg2";NA
"358";"(1.2,1.8]";"1997";"high";"1mg2";NA
"362";"(1.2,1.8]";"1998";"high";"1mg2";NA
"366";"(1.2,1.8]";"1999";"high";"1mg2";NA
"370";"(1.2,1.8]";"2000";"high";"1mg2";NA
"374";"(1.2,1.8]";"2001";"high";"1mg2";NA
"378";"(1.2,1.8]";"2002";"high";"1mg2";NA
"382";"(1.2,1.8]";"2003";"high";"1mg2";NA
"386";"(1.2,1.8]";"2004";"high";"1mg2";NA
"390";"(1.2,1.8]";"2005";"high";"1mg2";NA
"394";"(1.2,1.8]";"2006";"high";"1mg2";NA
"398";"(1.2,1.8]";"2007";"high";"1mg2";NA
"402";"(1.2,1.8]";"2008";"high";"1mg2";NA
"406";"(1.2,1.8]";"2009";"high";"1mg2";NA
"410";"(1.2,1.8]";"2010";"high";"1mg2";NA
"414";"(1.2,1.8]";"2011";"high";"1mg2";NA
"418";"(1.2,1.8]";"2012";"high";"1mg2";NA
"422";"(1.2,1.8]";"1992";"low";"1mg2";NA
"426";"(1.2,1.8]";"1993";"low";"1mg2";NA
"430";"(1.2,1.8]";"1994";"low";"1mg2";NA
"434";"(1.2,1.8]";"1995";"low";"1mg2";NA
"438";"(1.2,1.8]";"1996";"low";"1mg2";NA
"442";"(1.2,1.8]";"1997";"low";"1mg2";NA
"446";"(1.2,1.8]";"1998";"low";"1mg2";NA
"450";"(1.2,1.8]";"1999";"low";"1mg2";NA
"454";"(1.2,1.8]";"2000";"low";"1mg2";NA
"458";"(1.2,1.8]";"2001";"low";"1mg2";NA
"462";"(1.2,1.8]";"2002";"low";"1mg2";NA
"466";"(1.2,1.8]";"2003";"low";"1mg2";NA
"470";"(1.2,1.8]";"2004";"low";"1mg2";NA
"474";"(1.2,1.8]";"2005";"low";"1mg2";NA
"478";"(1.2,1.8]";"2006";"low";"1mg2";NA
"482";"(1.2,1.8]";"2007";"low";"1mg2";NA
"486";"(1.2,1.8]";"2008";"low";"1mg2";NA
"490";"(1.2,1.8]";"2009";"low";"1mg2";NA
"494";"(1.2,1.8]";"2010";"low";"1mg2";NA
"498";"(1.2,1.8]";"2011";"low";"1mg2";NA
"502";"(1.2,1.8]";"2012";"low";"1mg2";NA
"506";"(1.2,1.8]";"1992";"middle";"1mg2";NA
"510";"(1.2,1.8]";"1993";"middle";"1mg2";NA
"514";"(1.2,1.8]";"1994";"middle";"1mg2";NA
"518";"(1.2,1.8]";"1995";"middle";"1mg2";NA
"522";"(1.2,1.8]";"1996";"middle";"1mg2";NA
"526";"(1.2,1.8]";"1997";"middle";"1mg2";NA
"530";"(1.2,1.8]";"1998";"middle";"1mg2";NA
"534";"(1.2,1.8]";"1999";"middle";"1mg2";NA
"538";"(1.2,1.8]";"2000";"middle";"1mg2";NA
"542";"(1.2,1.8]";"2001";"middle";"1mg2";NA
"546";"(1.2,1.8]";"2002";"middle";"1mg2";NA
"550";"(1.2,1.8]";"2003";"middle";"1mg2";NA
"554";"(1.2,1.8]";"2004";"middle";"1mg2";NA
"558";"(1.2,1.8]";"2005";"middle";"1mg2";NA
"562";"(1.2,1.8]";"2006";"middle";"1mg2";NA
"566";"(1.2,1.8]";"2007";"middle";"1mg2";750
"570";"(1.2,1.8]";"2008";"middle";"1mg2";NA
"574";"(1.2,1.8]";"2009";"middle";"1mg2";NA
"578";"(1.2,1.8]";"2010";"middle";"1mg2";NA
"582";"(1.2,1.8]";"2011";"middle";"1mg2";NA
"586";"(1.2,1.8]";"2012";"middle";"1mg2";NA
"590";"(1.2,1.8]";"1992";"midlow";"1mg2";NA
"594";"(1.2,1.8]";"1993";"midlow";"1mg2";NA
"598";"(1.2,1.8]";"1994";"midlow";"1mg2";NA
"602";"(1.2,1.8]";"1995";"midlow";"1mg2";NA
"606";"(1.2,1.8]";"1996";"midlow";"1mg2";NA
"610";"(1.2,1.8]";"1997";"midlow";"1mg2";NA
"614";"(1.2,1.8]";"1998";"midlow";"1mg2";NA
"618";"(1.2,1.8]";"1999";"midlow";"1mg2";NA
"622";"(1.2,1.8]";"2000";"midlow";"1mg2";NA
"626";"(1.2,1.8]";"2001";"midlow";"1mg2";NA
"630";"(1.2,1.8]";"2002";"midlow";"1mg2";NA
"634";"(1.2,1.8]";"2003";"midlow";"1mg2";NA
"638";"(1.2,1.8]";"2004";"midlow";"1mg2";NA
"642";"(1.2,1.8]";"2005";"midlow";"1mg2";NA
"646";"(1.2,1.8]";"2006";"midlow";"1mg2";NA
"650";"(1.2,1.8]";"2007";"midlow";"1mg2";NA
"654";"(1.2,1.8]";"2008";"midlow";"1mg2";NA
"658";"(1.2,1.8]";"2009";"midlow";"1mg2";NA
"662";"(1.2,1.8]";"2010";"midlow";"1mg2";NA
"666";"(1.2,1.8]";"2011";"midlow";"1mg2";NA
"670";"(1.2,1.8]";"2012";"midlow";"1mg2";NA
"674";"(1.2,1.8]";"1992";"high";"1mg3";NA
"678";"(1.2,1.8]";"1993";"high";"1mg3";NA
"682";"(1.2,1.8]";"1994";"high";"1mg3";NA
"686";"(1.2,1.8]";"1995";"high";"1mg3";NA
"690";"(1.2,1.8]";"1996";"high";"1mg3";NA
"694";"(1.2,1.8]";"1997";"high";"1mg3";NA
"698";"(1.2,1.8]";"1998";"high";"1mg3";NA
"702";"(1.2,1.8]";"1999";"high";"1mg3";NA
"706";"(1.2,1.8]";"2000";"high";"1mg3";NA
"710";"(1.2,1.8]";"2001";"high";"1mg3";NA
"714";"(1.2,1.8]";"2002";"high";"1mg3";NA
"718";"(1.2,1.8]";"2003";"high";"1mg3";NA
"722";"(1.2,1.8]";"2004";"high";"1mg3";NA
"726";"(1.2,1.8]";"2005";"high";"1mg3";NA
"730";"(1.2,1.8]";"2006";"high";"1mg3";NA
"734";"(1.2,1.8]";"2007";"high";"1mg3";NA
"738";"(1.2,1.8]";"2008";"high";"1mg3";NA
"742";"(1.2,1.8]";"2009";"high";"1mg3";NA
"746";"(1.2,1.8]";"2010";"high";"1mg3";NA
"750";"(1.2,1.8]";"2011";"high";"1mg3";NA
"754";"(1.2,1.8]";"2012";"high";"1mg3";NA
"758";"(1.2,1.8]";"1992";"low";"1mg3";NA
"762";"(1.2,1.8]";"1993";"low";"1mg3";NA
"766";"(1.2,1.8]";"1994";"low";"1mg3";NA
"770";"(1.2,1.8]";"1995";"low";"1mg3";NA
"774";"(1.2,1.8]";"1996";"low";"1mg3";NA
"778";"(1.2,1.8]";"1997";"low";"1mg3";NA
"782";"(1.2,1.8]";"1998";"low";"1mg3";NA
"786";"(1.2,1.8]";"1999";"low";"1mg3";NA
"790";"(1.2,1.8]";"2000";"low";"1mg3";NA
"794";"(1.2,1.8]";"2001";"low";"1mg3";NA
"798";"(1.2,1.8]";"2002";"low";"1mg3";NA
"802";"(1.2,1.8]";"2003";"low";"1mg3";NA
"806";"(1.2,1.8]";"2004";"low";"1mg3";NA
"810";"(1.2,1.8]";"2005";"low";"1mg3";NA
"814";"(1.2,1.8]";"2006";"low";"1mg3";NA
"818";"(1.2,1.8]";"2007";"low";"1mg3";NA
"822";"(1.2,1.8]";"2008";"low";"1mg3";NA
"826";"(1.2,1.8]";"2009";"low";"1mg3";NA
"830";"(1.2,1.8]";"2010";"low";"1mg3";NA
"834";"(1.2,1.8]";"2011";"low";"1mg3";NA
"838";"(1.2,1.8]";"2012";"low";"1mg3";NA
"842";"(1.2,1.8]";"1992";"middle";"1mg3";NA
"846";"(1.2,1.8]";"1993";"middle";"1mg3";NA
"850";"(1.2,1.8]";"1994";"middle";"1mg3";NA
"854";"(1.2,1.8]";"1995";"middle";"1mg3";NA
"858";"(1.2,1.8]";"1996";"middle";"1mg3";NA
"862";"(1.2,1.8]";"1997";"middle";"1mg3";NA
"866";"(1.2,1.8]";"1998";"middle";"1mg3";NA
"870";"(1.2,1.8]";"1999";"middle";"1mg3";NA
"874";"(1.2,1.8]";"2000";"middle";"1mg3";NA
"878";"(1.2,1.8]";"2001";"middle";"1mg3";NA
"882";"(1.2,1.8]";"2002";"middle";"1mg3";NA
"886";"(1.2,1.8]";"2003";"middle";"1mg3";NA
"890";"(1.2,1.8]";"2004";"middle";"1mg3";NA
"894";"(1.2,1.8]";"2005";"middle";"1mg3";NA
"898";"(1.2,1.8]";"2006";"middle";"1mg3";NA
"902";"(1.2,1.8]";"2007";"middle";"1mg3";NA
"906";"(1.2,1.8]";"2008";"middle";"1mg3";NA
"910";"(1.2,1.8]";"2009";"middle";"1mg3";NA
"914";"(1.2,1.8]";"2010";"middle";"1mg3";NA
"918";"(1.2,1.8]";"2011";"middle";"1mg3";NA
"922";"(1.2,1.8]";"2012";"middle";"1mg3";NA
"926";"(1.2,1.8]";"1992";"midlow";"1mg3";NA
"930";"(1.2,1.8]";"1993";"midlow";"1mg3";NA
"934";"(1.2,1.8]";"1994";"midlow";"1mg3";NA
"938";"(1.2,1.8]";"1995";"midlow";"1mg3";NA
"942";"(1.2,1.8]";"1996";"midlow";"1mg3";NA
"946";"(1.2,1.8]";"1997";"midlow";"1mg3";NA
"950";"(1.2,1.8]";"1998";"midlow";"1mg3";NA
"954";"(1.2,1.8]";"1999";"midlow";"1mg3";NA
"958";"(1.2,1.8]";"2000";"midlow";"1mg3";NA
"962";"(1.2,1.8]";"2001";"midlow";"1mg3";NA
"966";"(1.2,1.8]";"2002";"midlow";"1mg3";NA
"970";"(1.2,1.8]";"2003";"midlow";"1mg3";NA
"974";"(1.2,1.8]";"2004";"midlow";"1mg3";NA
"978";"(1.2,1.8]";"2005";"midlow";"1mg3";NA
"982";"(1.2,1.8]";"2006";"midlow";"1mg3";NA
"986";"(1.2,1.8]";"2007";"midlow";"1mg3";0
"990";"(1.2,1.8]";"2008";"midlow";"1mg3";NA
"994";"(1.2,1.8]";"2009";"midlow";"1mg3";NA
"998";"(1.2,1.8]";"2010";"midlow";"1mg3";NA
"1002";"(1.2,1.8]";"2011";"midlow";"1mg3";NA
"1006";"(1.2,1.8]";"2012";"midlow";"1mg3";NA
"1010";"(1.2,1.8]";"1992";"high";"1mg4";NA
"1014";"(1.2,1.8]";"1993";"high";"1mg4";NA
"1018";"(1.2,1.8]";"1994";"high";"1mg4";NA
"1022";"(1.2,1.8]";"1995";"high";"1mg4";NA
"1026";"(1.2,1.8]";"1996";"high";"1mg4";NA
"1030";"(1.2,1.8]";"1997";"high";"1mg4";NA
"1034";"(1.2,1.8]";"1998";"high";"1mg4";NA
"1038";"(1.2,1.8]";"1999";"high";"1mg4";NA
"1042";"(1.2,1.8]";"2000";"high";"1mg4";NA
"1046";"(1.2,1.8]";"2001";"high";"1mg4";NA
"1050";"(1.2,1.8]";"2002";"high";"1mg4";NA
"1054";"(1.2,1.8]";"2003";"high";"1mg4";NA
"1058";"(1.2,1.8]";"2004";"high";"1mg4";NA
"1062";"(1.2,1.8]";"2005";"high";"1mg4";NA
"1066";"(1.2,1.8]";"2006";"high";"1mg4";NA
"1070";"(1.2,1.8]";"2007";"high";"1mg4";NA
"1074";"(1.2,1.8]";"2008";"high";"1mg4";NA
"1078";"(1.2,1.8]";"2009";"high";"1mg4";NA
"1082";"(1.2,1.8]";"2010";"high";"1mg4";NA
"1086";"(1.2,1.8]";"2011";"high";"1mg4";NA
"1090";"(1.2,1.8]";"2012";"high";"1mg4";NA
"1094";"(1.2,1.8]";"1992";"low";"1mg4";NA
"1098";"(1.2,1.8]";"1993";"low";"1mg4";NA
"1102";"(1.2,1.8]";"1994";"low";"1mg4";NA
"1106";"(1.2,1.8]";"1995";"low";"1mg4";NA
"1110";"(1.2,1.8]";"1996";"low";"1mg4";NA
"1114";"(1.2,1.8]";"1997";"low";"1mg4";NA
"1118";"(1.2,1.8]";"1998";"low";"1mg4";NA
"1122";"(1.2,1.8]";"1999";"low";"1mg4";NA
"1126";"(1.2,1.8]";"2000";"low";"1mg4";NA
"1130";"(1.2,1.8]";"2001";"low";"1mg4";NA
"1134";"(1.2,1.8]";"2002";"low";"1mg4";NA
"1138";"(1.2,1.8]";"2003";"low";"1mg4";NA
"1142";"(1.2,1.8]";"2004";"low";"1mg4";NA
"1146";"(1.2,1.8]";"2005";"low";"1mg4";NA
"1150";"(1.2,1.8]";"2006";"low";"1mg4";NA
"1154";"(1.2,1.8]";"2007";"low";"1mg4";0
"1158";"(1.2,1.8]";"2008";"low";"1mg4";NA
"1162";"(1.2,1.8]";"2009";"low";"1mg4";NA
"1166";"(1.2,1.8]";"2010";"low";"1mg4";NA
"1170";"(1.2,1.8]";"2011";"low";"1mg4";NA
"1174";"(1.2,1.8]";"2012";"low";"1mg4";NA
"1178";"(1.2,1.8]";"1992";"middle";"1mg4";NA
"1182";"(1.2,1.8]";"1993";"middle";"1mg4";NA
"1186";"(1.2,1.8]";"1994";"middle";"1mg4";NA
"1190";"(1.2,1.8]";"1995";"middle";"1mg4";NA
"1194";"(1.2,1.8]";"1996";"middle";"1mg4";NA
"1198";"(1.2,1.8]";"1997";"middle";"1mg4";NA
"1202";"(1.2,1.8]";"1998";"middle";"1mg4";NA
"1206";"(1.2,1.8]";"1999";"middle";"1mg4";NA
"1210";"(1.2,1.8]";"2000";"middle";"1mg4";NA
"1214";"(1.2,1.8]";"2001";"middle";"1mg4";NA
"1218";"(1.2,1.8]";"2002";"middle";"1mg4";NA
"1222";"(1.2,1.8]";"2003";"middle";"1mg4";NA
"1226";"(1.2,1.8]";"2004";"middle";"1mg4";NA
"1230";"(1.2,1.8]";"2005";"middle";"1mg4";NA
"1234";"(1.2,1.8]";"2006";"middle";"1mg4";NA
"1238";"(1.2,1.8]";"2007";"middle";"1mg4";NA
"1242";"(1.2,1.8]";"2008";"middle";"1mg4";NA
"1246";"(1.2,1.8]";"2009";"middle";"1mg4";NA
"1250";"(1.2,1.8]";"2010";"middle";"1mg4";NA
"1254";"(1.2,1.8]";"2011";"middle";"1mg4";NA
"1258";"(1.2,1.8]";"2012";"middle";"1mg4";NA
"1262";"(1.2,1.8]";"1992";"midlow";"1mg4";NA
"1266";"(1.2,1.8]";"1993";"midlow";"1mg4";NA
"1270";"(1.2,1.8]";"1994";"midlow";"1mg4";NA
"1274";"(1.2,1.8]";"1995";"midlow";"1mg4";NA
"1278";"(1.2,1.8]";"1996";"midlow";"1mg4";NA
"1282";"(1.2,1.8]";"1997";"midlow";"1mg4";NA
"1286";"(1.2,1.8]";"1998";"midlow";"1mg4";NA
"1290";"(1.2,1.8]";"1999";"midlow";"1mg4";NA
"1294";"(1.2,1.8]";"2000";"midlow";"1mg4";NA
"1298";"(1.2,1.8]";"2001";"midlow";"1mg4";NA
"1302";"(1.2,1.8]";"2002";"midlow";"1mg4";NA
"1306";"(1.2,1.8]";"2003";"midlow";"1mg4";NA
"1310";"(1.2,1.8]";"2004";"midlow";"1mg4";NA
"1314";"(1.2,1.8]";"2005";"midlow";"1mg4";NA
"1318";"(1.2,1.8]";"2006";"midlow";"1mg4";NA
"1322";"(1.2,1.8]";"2007";"midlow";"1mg4";NA
"1326";"(1.2,1.8]";"2008";"midlow";"1mg4";NA
"1330";"(1.2,1.8]";"2009";"midlow";"1mg4";NA
"1334";"(1.2,1.8]";"2010";"midlow";"1mg4";NA
"1338";"(1.2,1.8]";"2011";"midlow";"1mg4";NA
"1342";"(1.2,1.8]";"2012";"midlow";"1mg4";NA
"1346";"(1.2,1.8]";"1992";"high";"2mg1";NA
"1350";"(1.2,1.8]";"1993";"high";"2mg1";NA
"1354";"(1.2,1.8]";"1994";"high";"2mg1";NA
"1358";"(1.2,1.8]";"1995";"high";"2mg1";NA
"1362";"(1.2,1.8]";"1996";"high";"2mg1";NA
"1366";"(1.2,1.8]";"1997";"high";"2mg1";NA
"1370";"(1.2,1.8]";"1998";"high";"2mg1";NA
"1374";"(1.2,1.8]";"1999";"high";"2mg1";NA
"1378";"(1.2,1.8]";"2000";"high";"2mg1";NA
"1382";"(1.2,1.8]";"2001";"high";"2mg1";NA
"1386";"(1.2,1.8]";"2002";"high";"2mg1";NA
"1390";"(1.2,1.8]";"2003";"high";"2mg1";NA
"1394";"(1.2,1.8]";"2004";"high";"2mg1";NA
"1398";"(1.2,1.8]";"2005";"high";"2mg1";NA
"1402";"(1.2,1.8]";"2006";"high";"2mg1";NA
"1406";"(1.2,1.8]";"2007";"high";"2mg1";840
"1410";"(1.2,1.8]";"2008";"high";"2mg1";NA
"1414";"(1.2,1.8]";"2009";"high";"2mg1";NA
"1418";"(1.2,1.8]";"2010";"high";"2mg1";NA
"1422";"(1.2,1.8]";"2011";"high";"2mg1";NA
"1426";"(1.2,1.8]";"2012";"high";"2mg1";NA
"1430";"(1.2,1.8]";"1992";"low";"2mg1";NA
"1434";"(1.2,1.8]";"1993";"low";"2mg1";NA
"1438";"(1.2,1.8]";"1994";"low";"2mg1";NA
"1442";"(1.2,1.8]";"1995";"low";"2mg1";NA
"1446";"(1.2,1.8]";"1996";"low";"2mg1";NA
"1450";"(1.2,1.8]";"1997";"low";"2mg1";NA
"1454";"(1.2,1.8]";"1998";"low";"2mg1";NA
"1458";"(1.2,1.8]";"1999";"low";"2mg1";NA
"1462";"(1.2,1.8]";"2000";"low";"2mg1";NA
"1466";"(1.2,1.8]";"2001";"low";"2mg1";NA
"1470";"(1.2,1.8]";"2002";"low";"2mg1";NA
"1474";"(1.2,1.8]";"2003";"low";"2mg1";NA
"1478";"(1.2,1.8]";"2004";"low";"2mg1";NA
"1482";"(1.2,1.8]";"2005";"low";"2mg1";NA
"1486";"(1.2,1.8]";"2006";"low";"2mg1";NA
"1490";"(1.2,1.8]";"2007";"low";"2mg1";NA
"1494";"(1.2,1.8]";"2008";"low";"2mg1";NA
"1498";"(1.2,1.8]";"2009";"low";"2mg1";NA
"1502";"(1.2,1.8]";"2010";"low";"2mg1";NA
"1506";"(1.2,1.8]";"2011";"low";"2mg1";NA
"1510";"(1.2,1.8]";"2012";"low";"2mg1";NA
"1514";"(1.2,1.8]";"1992";"middle";"2mg1";NA
"1518";"(1.2,1.8]";"1993";"middle";"2mg1";NA
"1522";"(1.2,1.8]";"1994";"middle";"2mg1";NA
"1526";"(1.2,1.8]";"1995";"middle";"2mg1";NA
"1530";"(1.2,1.8]";"1996";"middle";"2mg1";NA
"1534";"(1.2,1.8]";"1997";"middle";"2mg1";NA
"1538";"(1.2,1.8]";"1998";"middle";"2mg1";NA
"1542";"(1.2,1.8]";"1999";"middle";"2mg1";NA
"1546";"(1.2,1.8]";"2000";"middle";"2mg1";NA
"1550";"(1.2,1.8]";"2001";"middle";"2mg1";NA
"1554";"(1.2,1.8]";"2002";"middle";"2mg1";NA
"1558";"(1.2,1.8]";"2003";"middle";"2mg1";NA
"1562";"(1.2,1.8]";"2004";"middle";"2mg1";NA
"1566";"(1.2,1.8]";"2005";"middle";"2mg1";NA
"1570";"(1.2,1.8]";"2006";"middle";"2mg1";NA
"1574";"(1.2,1.8]";"2007";"middle";"2mg1";NA
"1578";"(1.2,1.8]";"2008";"middle";"2mg1";NA
"1582";"(1.2,1.8]";"2009";"middle";"2mg1";NA
"1586";"(1.2,1.8]";"2010";"middle";"2mg1";NA
"1590";"(1.2,1.8]";"2011";"middle";"2mg1";NA
"1594";"(1.2,1.8]";"2012";"middle";"2mg1";NA
"1598";"(1.2,1.8]";"1992";"midlow";"2mg1";NA
"1602";"(1.2,1.8]";"1993";"midlow";"2mg1";NA
"1606";"(1.2,1.8]";"1994";"midlow";"2mg1";NA
"1610";"(1.2,1.8]";"1995";"midlow";"2mg1";NA
"1614";"(1.2,1.8]";"1996";"midlow";"2mg1";NA
"1618";"(1.2,1.8]";"1997";"midlow";"2mg1";NA
"1622";"(1.2,1.8]";"1998";"midlow";"2mg1";NA
"1626";"(1.2,1.8]";"1999";"midlow";"2mg1";NA
"1630";"(1.2,1.8]";"2000";"midlow";"2mg1";NA
"1634";"(1.2,1.8]";"2001";"midlow";"2mg1";NA
"1638";"(1.2,1.8]";"2002";"midlow";"2mg1";NA
"1642";"(1.2,1.8]";"2003";"midlow";"2mg1";NA
"1646";"(1.2,1.8]";"2004";"midlow";"2mg1";NA
"1650";"(1.2,1.8]";"2005";"midlow";"2mg1";NA
"1654";"(1.2,1.8]";"2006";"midlow";"2mg1";NA
"1658";"(1.2,1.8]";"2007";"midlow";"2mg1";NA
"1662";"(1.2,1.8]";"2008";"midlow";"2mg1";NA
"1666";"(1.2,1.8]";"2009";"midlow";"2mg1";NA
"1670";"(1.2,1.8]";"2010";"midlow";"2mg1";NA
"1674";"(1.2,1.8]";"2011";"midlow";"2mg1";NA
"1678";"(1.2,1.8]";"2012";"midlow";"2mg1";NA
"1682";"(1.2,1.8]";"1992";"high";"2mg2";NA
"1686";"(1.2,1.8]";"1993";"high";"2mg2";NA
"1690";"(1.2,1.8]";"1994";"high";"2mg2";NA
"1694";"(1.2,1.8]";"1995";"high";"2mg2";NA
"1698";"(1.2,1.8]";"1996";"high";"2mg2";NA
"1702";"(1.2,1.8]";"1997";"high";"2mg2";NA
"1706";"(1.2,1.8]";"1998";"high";"2mg2";NA
"1710";"(1.2,1.8]";"1999";"high";"2mg2";NA
"1714";"(1.2,1.8]";"2000";"high";"2mg2";NA
"1718";"(1.2,1.8]";"2001";"high";"2mg2";NA
"1722";"(1.2,1.8]";"2002";"high";"2mg2";NA
"1726";"(1.2,1.8]";"2003";"high";"2mg2";NA
"1730";"(1.2,1.8]";"2004";"high";"2mg2";NA
"1734";"(1.2,1.8]";"2005";"high";"2mg2";NA
"1738";"(1.2,1.8]";"2006";"high";"2mg2";NA
"1742";"(1.2,1.8]";"2007";"high";"2mg2";NA
"1746";"(1.2,1.8]";"2008";"high";"2mg2";NA
"1750";"(1.2,1.8]";"2009";"high";"2mg2";NA
"1754";"(1.2,1.8]";"2010";"high";"2mg2";NA
"1758";"(1.2,1.8]";"2011";"high";"2mg2";NA
"1762";"(1.2,1.8]";"2012";"high";"2mg2";NA
"1766";"(1.2,1.8]";"1992";"low";"2mg2";NA
"1770";"(1.2,1.8]";"1993";"low";"2mg2";NA
"1774";"(1.2,1.8]";"1994";"low";"2mg2";NA
"1778";"(1.2,1.8]";"1995";"low";"2mg2";NA
"1782";"(1.2,1.8]";"1996";"low";"2mg2";NA
"1786";"(1.2,1.8]";"1997";"low";"2mg2";NA
