area;tidal_level;start_size;growth.mm
DP;middle;9,1-12,0;1,65
DP;middle;9,1-12,0;1,8142857143
DP;middle;9,1-12,0;1,9285714286
DP;middle;9,1-12,0;1,2
DP;middle;9,1-12,0;1,2
DP;middle;9,1-12,0;1,1
DP;middle;9,1-12,0;1
DP;middle;9,1-12,0;0,8
DP;middle;9,1-12,0;0,7333333333
DP;middle;9,1-12,0;1,35
DP;middle;9,1-12,0;0,8
DP;middle;9,1-12,0;1
DP;middle;9,1-12,0;1,8
DP;middle;9,1-12,0;0,95
DP;middle;9,1-12,0;2,2
DP;middle;12,1-15,0;1,3071428571
DP;middle;12,1-15,0;1,6857142857
DP;middle;12,1-15,0;1,2142857143
DP;middle;12,1-15,0;0,7
DP;middle;12,1-15,0;1
DP;middle;12,1-15,0;1,3
DP;middle;12,1-15,0;1
DP;middle;12,1-15,0;1,1
DP;middle;12,1-15,0;1,9
DP;middle;12,1-15,0;0,8
DP;middle;>15,1;0,5
Shelpino;middle;<3,0;1,2
Shelpino;middle;<3,0;2,4
Shelpino;middle;<3,0;0,9
Shelpino;middle;<3,0;0,9
Shelpino;middle;<3,0;1,8
Shelpino;middle;3,1-6,0;3,1
Shelpino;middle;3,1-6,0;1,3
Shelpino;middle;6,1-9,0;1,2
Shelpino;middle;6,1-9,0;1,4
Shelpino;middle;6,1-9,0;1,3
Shelpino;middle;9,1-12,0;1,9
Shelpino;middle;9,1-12,0;2,1
Shelpino;middle;9,1-12,0;1,5
Shelpino;middle;12,1-15,0;0,9
Shelpino;middle;12,1-15,0;0,6
Porchnikha;middle;<3,0;2,075
Porchnikha;middle;<3,0;2,4568965517
Porchnikha;middle;<3,0;2,5159090909
Porchnikha;middle;<3,0;2,7033333333
Porchnikha;middle;<3,0;2,7833333333
Porchnikha;middle;3,1-6,0;2,0103448276
Porchnikha;middle;3,1-6,0;1,7583333333
Porchnikha;middle;3,1-6,0;3,39
Porchnikha;middle;3,1-6,0;4,0166666667
Porchnikha;middle;3,1-6,0;3,9
Porchnikha;middle;3,1-6,0;2,225
Porchnikha;middle;6,1-9,0;2,74
Porchnikha;middle;6,1-9,0;4,1166666667
Porchnikha;middle;6,1-9,0;3,4
Porchnikha;middle;9,1-12,0;2,08
Porchnikha;middle;9,1-12,0;2,3666666667
Porchnikha;middle;9,1-12,0;2,8
Porchnikha;middle;9,1-12,0;2,5
Porchnikha;middle;12,1-15,0;2,6
Porchnikha;middle;12,1-15,0;1,9
Porchnikha;middle;12,1-15,0;1,6
Porchnikha;middle;12,1-15,0;1,8
Porchnikha;middle;12,1-15,0;0,77
Porchnikha;middle;>15,1;1,8333333333
Porchnikha;middle;>15,1;1,4
Porchnikha;middle;>15,1;0,5
Porchnikha;middle;>15,1;0,7
