area;tidal_level;start_size;growth.mm
Gavrilovo;middle;12,1-15,0;1,3
Gavrilovo;middle;12,1-15,0;1,45
Gavrilovo;middle;12,1-15,0;1,05
Gavrilovo;middle;12,1-15,0;1,7
Gavrilovo;middle;12,1-15,0;0,8
Gavrilovo;middle;12,1-15,0;1,15
Gavrilovo;middle;12,1-15,0;1,05
Gavrilovo;middle;12,1-15,0;1,18
Gavrilovo;middle;12,1-15,0;1,75
Gavrilovo;middle;12,1-15,0;1,08
Gavrilovo;middle;12,1-15,0;1,35
Gavrilovo;middle;12,1-15,0;0,9
Gavrilovo;middle;12,1-15,0;1,25
Gavrilovo;middle;12,1-15,0;0,775
Gavrilovo;middle;> 15,1;0,8
Gavrilovo;middle;> 15,1;1,4
Gavrilovo;middle;> 15,1;0,7
Gavrilovo;middle;> 15,1;0,85
Gavrilovo;low;< 3,0;1,3
Gavrilovo;low;< 3,0;0,6
Gavrilovo;low;< 3,0;1,8
Gavrilovo;low;< 3,0;2,2
Gavrilovo;low;< 3,0;2,3
Gavrilovo;low;3,1-6,0;2,1
Gavrilovo;low;3,1-6,0;1,4
Gavrilovo;low;3,1-6,0;2,2
Gavrilovo;low;3,1-6,0;2,2
Gavrilovo;low;3,1-6,0;1
Gavrilovo;low;6,1-9,0;0,8
Gavrilovo;low;6,1-9,0;1,2
Gavrilovo;low;6,1-9,0;1,3
Gavrilovo;low;6,1-9,0;2,1
Gavrilovo;low;6,1-9,0;1,3
Gavrilovo;low;6,1-9,0;2,1
Gavrilovo;low;9,1-12,0;1,9
Gavrilovo;low;9,1-12,0;1,4
Gavrilovo;low;9,1-12,0;1,6
Gavrilovo;low;9,1-12,0;1
Gavrilovo;low;12,1-15,0;0,8
Gavrilovo;low;12,1-15,0;1,1
Gavrilovo;low;12,1-15,0;1,6
Gavrilovo;low;12,1-15,0;0,7
Gavrilovo;low;>15,1;0,9
Gavrilovo;low;>15,1;0,6
Yarnyshnaya;middle;< 3,0;1,5
Yarnyshnaya;middle;< 3,0;3,3
Yarnyshnaya;middle;< 3,0;1,08
Yarnyshnaya;middle;< 3,0;3,2833333333
Yarnyshnaya;middle;< 3,0;2,34
Yarnyshnaya;middle;< 3,0;2,1
Yarnyshnaya;middle;< 3,0;2,4333333333
Yarnyshnaya;middle;< 3,0;2,16
Yarnyshnaya;middle;3,1-6,0;1,8
Yarnyshnaya;middle;3,1-6,0;2,38
Yarnyshnaya;middle;3,1-6,0;3,5833333333
Yarnyshnaya;middle;3,1-6,0;3,1
Yarnyshnaya;middle;3,1-6,0;3,2
Yarnyshnaya;middle;3,1-6,0;1,85
Yarnyshnaya;middle;6,1-9,0;2,7
Yarnyshnaya;middle;6,1-9,0;2,6
Yarnyshnaya;middle;6,1-9,0;2,675
Yarnyshnaya;middle;6,1-9,0;2,75
Yarnyshnaya;middle;9,1-12,0;2,5166666667
Yarnyshnaya;middle;9,1-12,0;1,2166666667
Yarnyshnaya;middle;9,1-12,0;2,06
Yarnyshnaya;middle;9,1-12,0;2,35
Yarnyshnaya;middle;9,1-12,0;2,35
Yarnyshnaya;middle;9,1-12,0;1,25
Yarnyshnaya;middle;12,1-15,0;1,84
Yarnyshnaya;middle;12,1-15,0;1,55
Yarnyshnaya;middle;12,1-15,0;1,75
Yarnyshnaya;middle;12,1-15,0;1,475
Yarnyshnaya;low;< 3,0;0,9857142857
Yarnyshnaya;low;< 3,0;1,0078078078
Yarnyshnaya;low;< 3,0;0,8
Yarnyshnaya;low;< 3,0;1,25
Yarnyshnaya;low;< 3,0;1
Yarnyshnaya;low;< 3,0;1,6
Yarnyshnaya;low;< 3,0;1,25
Yarnyshnaya;low;< 3,0;1,25
Yarnyshnaya;low;< 3,0;0,9625396825
Yarnyshnaya;low;< 3,0;1,1
Yarnyshnaya;low;< 3,0;1,05
Yarnyshnaya;low;< 3,0;1,15
Yarnyshnaya;low;< 3,0;1
Yarnyshnaya;low;3,1-6,0;1,15
Yarnyshnaya;low;3,1-6,0;1,1
Yarnyshnaya;low;3,1-6,0;1,1
Yarnyshnaya;low;3,1-6,0;1,15
Yarnyshnaya;low;3,1-6,0;0,8
Yarnyshnaya;low;3,1-6,0;0,85
Yarnyshnaya;low;3,1-6,0;1,075
Yarnyshnaya;low;3,1-6,0;1,35
Yarnyshnaya;low;3,1-6,0;1,25
Yarnyshnaya;low;3,1-6,0;1
Yarnyshnaya;low;3,1-6,0;1,5
Yarnyshnaya;low;6,1-9,0;0,95
Yarnyshnaya;low;6,1-9,0;1,35
Yarnyshnaya;low;6,1-9,0;1,2
Yarnyshnaya;low;6,1-9,0;1,045
Yarnyshnaya;low;6,1-9,0;1,2
Yarnyshnaya;low;6,1-9,0;1,32
Yarnyshnaya;low;6,1-9,0;1,5
Yarnyshnaya;low;6,1-9,0;1,15
Yarnyshnaya;low;6,1-9,0;1,56
Yarnyshnaya;low;6,1-9,0;1,3
Yarnyshnaya;low;6,1-9,0;1,4
Yarnyshnaya;low;9,1-12,0;0,8
Yarnyshnaya;low;9,1-12,0;1,72
Yarnyshnaya;low;9,1-12,0;0,8
Yarnyshnaya;low;9,1-12,0;0,9
Yarnyshnaya;low;9,1-12,0;1,3
Yarnyshnaya;low;9,1-12,0;0,9
Yarnyshnaya;low;9,1-12,0;1,3
Yarnyshnaya;low;12,1-15,0;1,2
Yarnyshnaya;low;12,1-15,0;0,0466666667
Yarnyshnaya;low;12,1-15,0;0,8
Yarnyshnaya;low;12,1-15,0;0,5
