"Var1";"Var2";"Var3";"Freq"
"219";"2002";"II-9";"fucus_zone";NA
"220";"2004";"II-9";"fucus_zone";NA
"221";"1992";"II-1";"high_beatch";90
"222";"1993";"II-1";"high_beatch";240
"223";"1994";"II-1";"high_beatch";1080
"224";"1995";"II-1";"high_beatch";1230
"225";"1996";"II-1";"high_beatch";NA
"226";"1997";"II-1";"high_beatch";NA
"227";"1998";"II-1";"high_beatch";1320
"228";"1999";"II-1";"high_beatch";NA
"229";"2000";"II-1";"high_beatch";NA
"230";"2002";"II-1";"high_beatch";NA
"231";"2004";"II-1";"high_beatch";NA
"232";"1992";"II-10";"high_beatch";NA
"233";"1993";"II-10";"high_beatch";NA
"234";"1994";"II-10";"high_beatch";NA
"235";"1995";"II-10";"high_beatch";NA
"236";"1996";"II-10";"high_beatch";NA
"237";"1997";"II-10";"high_beatch";NA
"238";"1998";"II-10";"high_beatch";NA
"239";"1999";"II-10";"high_beatch";NA
"240";"2000";"II-10";"high_beatch";NA
"241";"2002";"II-10";"high_beatch";1020
"242";"2004";"II-10";"high_beatch";NA
"243";"1992";"II-11";"high_beatch";NA
"244";"1993";"II-11";"high_beatch";NA
"245";"1994";"II-11";"high_beatch";NA
"246";"1995";"II-11";"high_beatch";NA
"247";"1996";"II-11";"high_beatch";NA
"248";"1997";"II-11";"high_beatch";630
"249";"1998";"II-11";"high_beatch";NA
"250";"1999";"II-11";"high_beatch";NA
"251";"2000";"II-11";"high_beatch";NA
"252";"2002";"II-11";"high_beatch";NA
"253";"2004";"II-11";"high_beatch";NA
"254";"1992";"II-12";"high_beatch";NA
"255";"1993";"II-12";"high_beatch";NA
"256";"1994";"II-12";"high_beatch";NA
"257";"1995";"II-12";"high_beatch";NA
"258";"1996";"II-12";"high_beatch";NA
"259";"1997";"II-12";"high_beatch";840
"260";"1998";"II-12";"high_beatch";NA
"261";"1999";"II-12";"high_beatch";NA
"262";"2000";"II-12";"high_beatch";NA
"263";"2002";"II-12";"high_beatch";NA
"264";"2004";"II-12";"high_beatch";NA
"265";"1992";"II-13";"high_beatch";0
"266";"1993";"II-13";"high_beatch";600
"267";"1994";"II-13";"high_beatch";NA
"268";"1995";"II-13";"high_beatch";NA
"269";"1996";"II-13";"high_beatch";NA
"270";"1997";"II-13";"high_beatch";390
"271";"1998";"II-13";"high_beatch";NA
"272";"1999";"II-13";"high_beatch";NA
"273";"2000";"II-13";"high_beatch";NA
"274";"2002";"II-13";"high_beatch";NA
"275";"2004";"II-13";"high_beatch";NA
"276";"1992";"II-14";"high_beatch";210
"277";"1993";"II-14";"high_beatch";NA
"278";"1994";"II-14";"high_beatch";NA
"279";"1995";"II-14";"high_beatch";NA
"280";"1996";"II-14";"high_beatch";NA
"281";"1997";"II-14";"high_beatch";NA
"282";"1998";"II-14";"high_beatch";NA
"283";"1999";"II-14";"high_beatch";NA
"284";"2000";"II-14";"high_beatch";3510
"285";"2002";"II-14";"high_beatch";NA
"286";"2004";"II-14";"high_beatch";NA
"287";"1992";"II-15";"high_beatch";30
"288";"1993";"II-15";"high_beatch";660
"289";"1994";"II-15";"high_beatch";NA
"290";"1995";"II-15";"high_beatch";NA
"291";"1996";"II-15";"high_beatch";960
"292";"1997";"II-15";"high_beatch";NA
"293";"1998";"II-15";"high_beatch";NA
"294";"1999";"II-15";"high_beatch";NA
"295";"2000";"II-15";"high_beatch";1770
"296";"2002";"II-15";"high_beatch";NA
"297";"2004";"II-15";"high_beatch";NA
"298";"1992";"II-16";"high_beatch";NA
"299";"1993";"II-16";"high_beatch";NA
"300";"1994";"II-16";"high_beatch";NA
"301";"1995";"II-16";"high_beatch";NA
"302";"1996";"II-16";"high_beatch";330
"303";"1997";"II-16";"high_beatch";NA
"304";"1998";"II-16";"high_beatch";NA
"305";"1999";"II-16";"high_beatch";NA
"306";"2000";"II-16";"high_beatch";NA
"307";"2002";"II-16";"high_beatch";NA
"308";"2004";"II-16";"high_beatch";NA
"309";"1992";"II-17";"high_beatch";NA
"310";"1993";"II-17";"high_beatch";150
"311";"1994";"II-17";"high_beatch";NA
"312";"1995";"II-17";"high_beatch";NA
"313";"1996";"II-17";"high_beatch";210
"314";"1997";"II-17";"high_beatch";NA
"315";"1998";"II-17";"high_beatch";NA
"316";"1999";"II-17";"high_beatch";18900
"317";"2000";"II-17";"high_beatch";NA
"318";"2002";"II-17";"high_beatch";NA
"319";"2004";"II-17";"high_beatch";NA
"320";"1992";"II-18";"high_beatch";30
"321";"1993";"II-18";"high_beatch";NA
"322";"1994";"II-18";"high_beatch";NA
"323";"1995";"II-18";"high_beatch";NA
"324";"1996";"II-18";"high_beatch";NA
"325";"1997";"II-18";"high_beatch";NA
"326";"1998";"II-18";"high_beatch";NA
"327";"1999";"II-18";"high_beatch";1050
"328";"2000";"II-18";"high_beatch";NA
"329";"2002";"II-18";"high_beatch";NA
"330";"2004";"II-18";"high_beatch";NA
"331";"1992";"II-19";"high_beatch";NA
"332";"1993";"II-19";"high_beatch";NA
"333";"1994";"II-19";"high_beatch";NA
"334";"1995";"II-19";"high_beatch";NA
"335";"1996";"II-19";"high_beatch";1290
"336";"1997";"II-19";"high_beatch";NA
"337";"1998";"II-19";"high_beatch";NA
"338";"1999";"II-19";"high_beatch";1770
"339";"2000";"II-19";"high_beatch";NA
"340";"2002";"II-19";"high_beatch";NA
"341";"2004";"II-19";"high_beatch";NA
"342";"1992";"II-2";"high_beatch";240
"343";"1993";"II-2";"high_beatch";NA
"344";"1994";"II-2";"high_beatch";570
"345";"1995";"II-2";"high_beatch";NA
"346";"1996";"II-2";"high_beatch";NA
"347";"1997";"II-2";"high_beatch";NA
"348";"1998";"II-2";"high_beatch";1890
"349";"1999";"II-2";"high_beatch";NA
"350";"2000";"II-2";"high_beatch";NA
"351";"2002";"II-2";"high_beatch";NA
"352";"2004";"II-2";"high_beatch";NA
"353";"1992";"II-20";"high_beatch";NA
"354";"1993";"II-20";"high_beatch";NA
"355";"1994";"II-20";"high_beatch";NA
"356";"1995";"II-20";"high_beatch";NA
"357";"1996";"II-20";"high_beatch";NA
"358";"1997";"II-20";"high_beatch";NA
"359";"1998";"II-20";"high_beatch";NA
"360";"1999";"II-20";"high_beatch";NA
"361";"2000";"II-20";"high_beatch";NA
"362";"2002";"II-20";"high_beatch";NA
"363";"2004";"II-20";"high_beatch";NA
"364";"1992";"II-3";"high_beatch";60
"365";"1993";"II-3";"high_beatch";NA
"366";"1994";"II-3";"high_beatch";330
"367";"1995";"II-3";"high_beatch";510
"368";"1996";"II-3";"high_beatch";NA
"369";"1997";"II-3";"high_beatch";NA
"370";"1998";"II-3";"high_beatch";3960
"371";"1999";"II-3";"high_beatch";NA
"372";"2000";"II-3";"high_beatch";NA
"373";"2002";"II-3";"high_beatch";NA
"374";"2004";"II-3";"high_beatch";NA
"375";"1992";"II-4";"high_beatch";NA
"376";"1993";"II-4";"high_beatch";NA
"377";"1994";"II-4";"high_beatch";0
"378";"1995";"II-4";"high_beatch";NA
"379";"1996";"II-4";"high_beatch";NA
"380";"1997";"II-4";"high_beatch";NA
"381";"1998";"II-4";"high_beatch";1350
"382";"1999";"II-4";"high_beatch";NA
"383";"2000";"II-4";"high_beatch";NA
"384";"2002";"II-4";"high_beatch";NA
"385";"2004";"II-4";"high_beatch";NA
"386";"1992";"II-5";"high_beatch";NA
"387";"1993";"II-5";"high_beatch";NA
"388";"1994";"II-5";"high_beatch";330
"389";"1995";"II-5";"high_beatch";1350
"390";"1996";"II-5";"high_beatch";NA
"391";"1997";"II-5";"high_beatch";NA
"392";"1998";"II-5";"high_beatch";NA
"393";"1999";"II-5";"high_beatch";NA
"394";"2000";"II-5";"high_beatch";NA
"395";"2002";"II-5";"high_beatch";NA
"396";"2004";"II-5";"high_beatch";2910
"397";"1992";"II-6";"high_beatch";NA
"398";"1993";"II-6";"high_beatch";NA
"399";"1994";"II-6";"high_beatch";NA
"400";"1995";"II-6";"high_beatch";NA
"401";"1996";"II-6";"high_beatch";NA
"402";"1997";"II-6";"high_beatch";NA
"403";"1998";"II-6";"high_beatch";NA
"404";"1999";"II-6";"high_beatch";NA
"405";"2000";"II-6";"high_beatch";NA
"406";"2002";"II-6";"high_beatch";NA
"407";"2004";"II-6";"high_beatch";900
"408";"1992";"II-7";"high_beatch";NA
"409";"1993";"II-7";"high_beatch";NA
"410";"1994";"II-7";"high_beatch";NA
"411";"1995";"II-7";"high_beatch";NA
"412";"1996";"II-7";"high_beatch";NA
"413";"1997";"II-7";"high_beatch";NA
"414";"1998";"II-7";"high_beatch";NA
"415";"1999";"II-7";"high_beatch";NA
"416";"2000";"II-7";"high_beatch";NA
"417";"2002";"II-7";"high_beatch";NA
"418";"2004";"II-7";"high_beatch";4590
"419";"1992";"II-8";"high_beatch";NA
"420";"1993";"II-8";"high_beatch";NA
"421";"1994";"II-8";"high_beatch";NA
"422";"1995";"II-8";"high_beatch";540
"423";"1996";"II-8";"high_beatch";NA
"424";"1997";"II-8";"high_beatch";NA
"425";"1998";"II-8";"high_beatch";NA
"426";"1999";"II-8";"high_beatch";NA
"427";"2000";"II-8";"high_beatch";NA
"428";"2002";"II-8";"high_beatch";900
"429";"2004";"II-8";"high_beatch";NA
"430";"1992";"II-9";"high_beatch";NA
"431";"1993";"II-9";"high_beatch";NA
"432";"1994";"II-9";"high_beatch";NA
"433";"1995";"II-9";"high_beatch";NA
"434";"1996";"II-9";"high_beatch";NA
"435";"1997";"II-9";"high_beatch";NA
"436";"1998";"II-9";"high_beatch";NA
"437";"1999";"II-9";"high_beatch";NA
"438";"2000";"II-9";"high_beatch";NA
"439";"2002";"II-9";"high_beatch";2160
"440";"2004";"II-9";"high_beatch";NA
"441";"1992";"II-1";"low_beatch";NA
"442";"1993";"II-1";"low_beatch";NA
"443";"1994";"II-1";"low_beatch";NA
"444";"1995";"II-1";"low_beatch";NA
"445";"1996";"II-1";"low_beatch";690
"446";"1997";"II-1";"low_beatch";450
"447";"1998";"II-1";"low_beatch";NA
"448";"1999";"II-1";"low_beatch";1110
"449";"2000";"II-1";"low_beatch";NA
"450";"2002";"II-1";"low_beatch";1050
"451";"2004";"II-1";"low_beatch";NA
"452";"1992";"II-10";"low_beatch";NA
"453";"1993";"II-10";"low_beatch";NA
"454";"1994";"II-10";"low_beatch";NA
"455";"1995";"II-10";"low_beatch";NA
"456";"1996";"II-10";"low_beatch";NA
"457";"1997";"II-10";"low_beatch";NA
"458";"1998";"II-10";"low_beatch";NA
"459";"1999";"II-10";"low_beatch";NA
"460";"2000";"II-10";"low_beatch";2310
"461";"2002";"II-10";"low_beatch";NA
"462";"2004";"II-10";"low_beatch";NA
"463";"1992";"II-11";"low_beatch";NA
"464";"1993";"II-11";"low_beatch";NA
"465";"1994";"II-11";"low_beatch";NA
"466";"1995";"II-11";"low_beatch";720
"467";"1996";"II-11";"low_beatch";NA
"468";"1997";"II-11";"low_beatch";NA
"469";"1998";"II-11";"low_beatch";NA
"470";"1999";"II-11";"low_beatch";NA
"471";"2000";"II-11";"low_beatch";2490
"472";"2002";"II-11";"low_beatch";NA
"473";"2004";"II-11";"low_beatch";NA
"474";"1992";"II-12";"low_beatch";NA
"475";"1993";"II-12";"low_beatch";NA
"476";"1994";"II-12";"low_beatch";NA
"477";"1995";"II-12";"low_beatch";990
"478";"1996";"II-12";"low_beatch";NA
"479";"1997";"II-12";"low_beatch";NA
"480";"1998";"II-12";"low_beatch";NA
"481";"1999";"II-12";"low_beatch";NA
"482";"2000";"II-12";"low_beatch";840
"483";"2002";"II-12";"low_beatch";NA
"484";"2004";"II-12";"low_beatch";NA
"485";"1992";"II-13";"low_beatch";NA
"486";"1993";"II-13";"low_beatch";NA
"487";"1994";"II-13";"low_beatch";NA
"488";"1995";"II-13";"low_beatch";NA
"489";"1996";"II-13";"low_beatch";NA
"490";"1997";"II-13";"low_beatch";NA
"491";"1998";"II-13";"low_beatch";NA
"492";"1999";"II-13";"low_beatch";NA
"493";"2000";"II-13";"low_beatch";NA
"494";"2002";"II-13";"low_beatch";NA
"495";"2004";"II-13";"low_beatch";NA
"496";"1992";"II-14";"low_beatch";NA
"497";"1993";"II-14";"low_beatch";NA
"498";"1994";"II-14";"low_beatch";NA
"499";"1995";"II-14";"low_beatch";570
"500";"1996";"II-14";"low_beatch";NA
"501";"1997";"II-14";"low_beatch";NA
"502";"1998";"II-14";"low_beatch";NA
"503";"1999";"II-14";"low_beatch";NA
"504";"2000";"II-14";"low_beatch";NA
"505";"2002";"II-14";"low_beatch";NA
"506";"2004";"II-14";"low_beatch";NA
"507";"1992";"II-15";"low_beatch";NA
"508";"1993";"II-15";"low_beatch";NA
"509";"1994";"II-15";"low_beatch";NA
"510";"1995";"II-15";"low_beatch";780
"511";"1996";"II-15";"low_beatch";NA
"512";"1997";"II-15";"low_beatch";NA
"513";"1998";"II-15";"low_beatch";NA
"514";"1999";"II-15";"low_beatch";NA
"515";"2000";"II-15";"low_beatch";NA
"516";"2002";"II-15";"low_beatch";NA
"517";"2004";"II-15";"low_beatch";NA
"518";"1992";"II-16";"low_beatch";NA
"519";"1993";"II-16";"low_beatch";NA
"520";"1994";"II-16";"low_beatch";840
"521";"1995";"II-16";"low_beatch";NA
"522";"1996";"II-16";"low_beatch";NA
"523";"1997";"II-16";"low_beatch";NA
"524";"1998";"II-16";"low_beatch";1110
"525";"1999";"II-16";"low_beatch";NA
"526";"2000";"II-16";"low_beatch";NA
"527";"2002";"II-16";"low_beatch";NA
"528";"2004";"II-16";"low_beatch";NA
"529";"1992";"II-17";"low_beatch";NA
"530";"1993";"II-17";"low_beatch";NA
"531";"1994";"II-17";"low_beatch";1260
"532";"1995";"II-17";"low_beatch";1050
"533";"1996";"II-17";"low_beatch";NA
"534";"1997";"II-17";"low_beatch";810
"535";"1998";"II-17";"low_beatch";870
"536";"1999";"II-17";"low_beatch";NA
"537";"2000";"II-17";"low_beatch";NA
"538";"2002";"II-17";"low_beatch";NA
"539";"2004";"II-17";"low_beatch";NA
"540";"1992";"II-18";"low_beatch";NA
"541";"1993";"II-18";"low_beatch";NA
"542";"1994";"II-18";"low_beatch";690
"543";"1995";"II-18";"low_beatch";0
"544";"1996";"II-18";"low_beatch";NA
"545";"1997";"II-18";"low_beatch";NA
"546";"1998";"II-18";"low_beatch";2100
"547";"1999";"II-18";"low_beatch";NA
"548";"2000";"II-18";"low_beatch";NA
"549";"2002";"II-18";"low_beatch";NA
"550";"2004";"II-18";"low_beatch";NA
"551";"1992";"II-19";"low_beatch";180
"552";"1993";"II-19";"low_beatch";NA
"553";"1994";"II-19";"low_beatch";NA
"554";"1995";"II-19";"low_beatch";NA
"555";"1996";"II-19";"low_beatch";NA
"556";"1997";"II-19";"low_beatch";NA
"557";"1998";"II-19";"low_beatch";1080
"558";"1999";"II-19";"low_beatch";NA
"559";"2000";"II-19";"low_beatch";NA
"560";"2002";"II-19";"low_beatch";NA
"561";"2004";"II-19";"low_beatch";NA
"562";"1992";"II-2";"low_beatch";NA
"563";"1993";"II-2";"low_beatch";NA
"564";"1994";"II-2";"low_beatch";NA
"565";"1995";"II-2";"low_beatch";NA
"566";"1996";"II-2";"low_beatch";1170
"567";"1997";"II-2";"low_beatch";930
"568";"1998";"II-2";"low_beatch";NA
"569";"1999";"II-2";"low_beatch";2280
"570";"2000";"II-2";"low_beatch";NA
"571";"2002";"II-2";"low_beatch";570
"572";"2004";"II-2";"low_beatch";NA
"573";"1992";"II-20";"low_beatch";NA
"574";"1993";"II-20";"low_beatch";NA
"575";"1994";"II-20";"low_beatch";NA
"576";"1995";"II-20";"low_beatch";NA
"577";"1996";"II-20";"low_beatch";930
"578";"1997";"II-20";"low_beatch";NA
"579";"1998";"II-20";"low_beatch";750
"580";"1999";"II-20";"low_beatch";NA
"581";"2000";"II-20";"low_beatch";NA
"582";"2002";"II-20";"low_beatch";NA
"583";"2004";"II-20";"low_beatch";NA
"584";"1992";"II-3";"low_beatch";NA
"585";"1993";"II-3";"low_beatch";270
"586";"1994";"II-3";"low_beatch";NA
"587";"1995";"II-3";"low_beatch";NA
"588";"1996";"II-3";"low_beatch";780
"589";"1997";"II-3";"low_beatch";930
"590";"1998";"II-3";"low_beatch";NA
"591";"1999";"II-3";"low_beatch";3210
"592";"2000";"II-3";"low_beatch";NA
"593";"2002";"II-3";"low_beatch";NA
"594";"2004";"II-3";"low_beatch";NA
"595";"1992";"II-4";"low_beatch";NA
"596";"1993";"II-4";"low_beatch";450
"597";"1994";"II-4";"low_beatch";NA
"598";"1995";"II-4";"low_beatch";NA
"599";"1996";"II-4";"low_beatch";870
"600";"1997";"II-4";"low_beatch";1140
"601";"1998";"II-4";"low_beatch";NA
"602";"1999";"II-4";"low_beatch";4170
"603";"2000";"II-4";"low_beatch";NA
"604";"2002";"II-4";"low_beatch";NA
"605";"2004";"II-4";"low_beatch";NA
"606";"1992";"II-5";"low_beatch";1470
"607";"1993";"II-5";"low_beatch";450
"608";"1994";"II-5";"low_beatch";NA
"609";"1995";"II-5";"low_beatch";NA
"610";"1996";"II-5";"low_beatch";780
"611";"1997";"II-5";"low_beatch";1020
"612";"1998";"II-5";"low_beatch";NA
"613";"1999";"II-5";"low_beatch";870
"614";"2000";"II-5";"low_beatch";NA
"615";"2002";"II-5";"low_beatch";NA
"616";"2004";"II-5";"low_beatch";NA
"617";"1992";"II-6";"low_beatch";30
"618";"1993";"II-6";"low_beatch";90
"619";"1994";"II-6";"low_beatch";NA
"620";"1995";"II-6";"low_beatch";NA
"621";"1996";"II-6";"low_beatch";NA
"622";"1997";"II-6";"low_beatch";NA
"623";"1998";"II-6";"low_beatch";NA
"624";"1999";"II-6";"low_beatch";NA
"625";"2000";"II-6";"low_beatch";NA
"626";"2002";"II-6";"low_beatch";NA
"627";"2004";"II-6";"low_beatch";NA
"628";"1992";"II-7";"low_beatch";NA
