"";"sample";"year";"(0,1]";"(1,2]";"(2,3]";"(3,4]";"(4,5]";"(5,6]";"(6,7]";"(7,8]";"(8,9]";"(9,10]";"(10,11]";"(11,12]";"(12,13]";"(13,14]";"(14,15]";"(15,16]";"(16,17]";"(17,18]";"(18,19]";"(19,20]";"V22";"tidal.level"
"28";"II-1";1997;1;1;0;0;0;0;1;0;0;6;1;1;0;2;1;0;1;0;0;1;16;"low_beatch"
"29";"II-1";1998;289;19;20;4;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;333;"high_beatch"
"30";"II-1";1999;2;12;1;3;1;2;1;3;0;2;0;0;2;2;4;2;2;0;0;0;39;"low_beatch"
"31";"II-1";2000;0;16;32;16;7;1;3;0;2;0;1;1;0;1;0;0;0;0;0;0;80;"fucus_zone"
"32";"II-1";2002;6;9;4;2;7;1;3;3;0;3;0;0;2;1;0;0;0;0;0;0;41;"low_beatch"
"33";"II-1";2004;48;48;9;7;4;9;9;10;9;8;7;0;0;1;0;0;0;0;0;0;169;"fucus_zone"
"34";"II-12";1992;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"zostera_zone"
"35";"II-12";1993;0;0;1;1;2;1;0;0;0;2;0;1;4;0;2;0;1;0;0;0;15;"zostera_zone"
"36";"II-12";1994;0;3;1;1;1;0;2;1;3;4;0;1;3;0;0;0;0;0;0;0;20;"zostera_zone"
"37";"II-12";1995;0;6;5;4;1;2;1;1;1;2;3;1;1;1;2;0;1;1;0;0;33;"low_beatch"
"38";"II-12";1996;0;1;0;4;13;7;5;6;4;5;1;4;1;1;0;0;1;0;0;0;53;"fucus_zone"
"39";"II-12";1997;0;2;1;2;0;0;2;6;2;5;2;3;2;0;0;1;0;0;0;0;28;"high_beatch"
"40";"II-12";1998;20;73;7;1;1;2;1;6;3;2;3;2;1;1;0;0;0;0;0;0;123;"fucus_zone"
"41";"II-12";1999;95;182;15;5;3;4;1;1;4;5;4;4;4;1;0;0;0;0;0;0;328;"fucus_zone"
"42";"II-12";2000;0;0;3;4;4;2;2;1;7;3;0;0;2;0;0;0;0;0;0;0;28;"low_beatch"
"43";"II-12";2002;2;13;6;4;0;5;6;3;1;4;5;2;0;2;0;0;0;0;0;0;53;"zostera_zone"
"44";"II-12";2004;0;0;0;0;1;2;9;11;9;5;4;4;0;0;0;0;0;0;0;0;45;"fucus_zone"
"45";"II-13";1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"high_beatch"
"46";"II-13";1993;0;0;0;1;7;8;1;1;1;0;0;0;0;1;0;0;0;0;0;0;20;"high_beatch"
"47";"II-13";1994;0;0;2;0;1;1;1;0;1;0;1;3;1;1;2;0;0;0;0;0;14;"zostera_zone"
"48";"II-13";1995;0;6;1;0;2;1;1;1;0;0;0;0;0;0;2;0;0;1;0;0;15;"zostera_zone"
"49";"II-13";1996;0;0;1;0;0;1;2;4;6;0;4;1;1;2;2;1;0;0;1;0;26;"fucus_zone"
"50";"II-13";1997;0;2;9;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;13;"high_beatch"
"51";"II-13";1998;3;7;3;3;0;0;0;2;3;3;3;2;0;1;2;1;1;0;0;0;34;"zostera_zone"
"52";"II-13";1999;10;17;13;9;2;3;1;2;1;2;5;2;0;0;1;0;0;0;0;0;68;"fucus_zone"
"53";"II-13";2000;0;17;10;4;3;1;4;2;4;0;0;0;3;1;0;1;0;0;0;0;50;"zostera_zone"
"54";"II-14";1992;0;0;0;0;0;1;2;1;1;2;0;0;0;0;0;0;0;0;0;0;7;"high_beatch"
"55";"II-14";1993;0;0;1;2;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;5;"fucus_zone"
"56";"II-14";1994;0;3;5;2;4;3;1;1;0;0;1;2;1;2;1;1;0;0;0;0;27;"zostera_zone"
"57";"II-14";1995;1;5;2;3;2;0;0;0;0;0;0;2;1;3;1;0;0;0;0;0;20;"low_beatch"
"58";"II-14";1996;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"fucus_zone"
"59";"II-14";1997;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;3;"fucus_zone"
"60";"II-14";1998;10;44;5;1;0;2;1;1;0;1;3;2;2;2;2;1;1;2;0;1;81;"zostera_zone"
"61";"II-14";1999;70;157;18;25;23;16;4;4;5;2;8;0;5;1;0;1;1;0;0;0;340;"fucus_zone"
"62";"II-14";2000;0;14;22;17;27;21;11;1;1;2;1;0;0;0;0;0;0;0;0;0;117;"high_beatch"
"63";"II-15";1992;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"high_beatch"
"64";"II-15";1993;0;0;5;13;2;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;22;"high_beatch"
"65";"II-15";1994;3;2;10;5;5;1;1;0;0;0;2;0;3;2;1;1;1;1;3;0;41;"zostera_zone"
"66";"II-15";1995;0;0;2;1;2;1;2;3;2;4;5;1;0;0;3;0;0;0;0;0;26;"low_beatch"
"67";"II-15";1996;0;0;1;3;4;5;5;3;2;5;1;0;1;1;1;0;0;0;0;0;32;"high_beatch"
"68";"II-15";1997;0;4;4;3;0;1;0;0;0;3;4;5;4;1;1;0;0;0;0;0;30;"fucus_zone"
"69";"II-15";1998;7;58;20;0;6;1;0;1;1;0;2;3;1;1;2;1;2;0;0;0;106;"zostera_zone"
"70";"II-15";1999;1;25;7;0;2;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;39;"fucus_zone"
"71";"II-15";2000;0;2;9;10;11;10;2;6;5;0;2;1;0;0;0;1;0;0;0;0;59;"high_beatch"
"72";"II-16";1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"fucus_zone"
"73";"II-16";1993;0;1;2;1;0;1;2;1;0;1;0;0;0;0;0;0;0;0;0;0;9;"fucus_zone"
"74";"II-16";1994;2;1;5;3;3;0;0;3;6;1;0;0;1;0;0;5;0;0;0;0;30;"low_beatch"
"75";"II-16";1995;0;7;7;4;2;2;0;2;2;0;0;2;3;1;0;1;0;0;0;0;33;"zostera_zone"
"76";"II-16";1996;0;0;0;5;2;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;11;"high_beatch"
"77";"II-16";1997;0;2;1;0;0;0;0;2;1;2;0;3;0;2;1;1;1;0;0;0;16;"fucus_zone"
"78";"II-16";1998;3;9;3;5;1;2;0;0;1;2;3;1;4;3;1;1;1;0;0;0;40;"low_beatch"
"79";"II-16";1999;1;1;2;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;"fucus_zone"
"80";"II-17";1992;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"fucus_zone"
"81";"II-17";1993;0;0;1;3;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;"high_beatch"
"82";"II-17";1994;0;3;5;5;6;5;4;2;4;2;1;0;0;2;1;0;0;2;0;0;42;"low_beatch"
"83";"II-17";1995;0;3;8;3;2;1;4;2;1;0;2;4;3;0;1;0;1;0;0;0;35;"low_beatch"
"84";"II-17";1996;0;0;0;0;0;1;1;0;0;2;1;0;1;1;0;0;0;0;0;0;7;"high_beatch"
"85";"II-17";1997;3;5;4;0;1;0;0;3;2;2;1;2;2;2;1;1;0;0;1;0;30;"low_beatch"
"86";"II-17";1998;0;5;3;1;2;1;0;0;1;1;3;0;4;4;0;2;0;1;1;0;29;"low_beatch"
"87";"II-17";1999;75;552;46;2;10;11;5;3;0;1;0;0;0;0;0;0;0;0;0;0;705;"high_beatch"
"88";"II-18";1992;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"high_beatch"
"89";"II-18";1993;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;"fucus_zone"
"90";"II-18";1994;0;0;0;0;0;0;3;5;3;2;3;4;1;0;1;0;0;0;1;0;23;"low_beatch"
"91";"II-18";1995;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"low_beatch"
"92";"II-18";1996;0;0;0;6;0;1;0;1;1;1;0;1;1;1;2;0;0;0;0;0;15;"fucus_zone"
"93";"II-18";1997;8;5;2;2;0;0;0;2;1;2;0;4;0;0;0;0;0;0;0;0;26;"zostera_zone"
"94";"II-18";1998;1;27;16;1;1;2;3;1;0;1;7;0;1;3;2;2;2;0;0;1;71;"low_beatch"
"95";"II-18";1999;12;21;8;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;47;"high_beatch"
"96";"II-19";1992;0;1;0;2;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;6;"low_beatch"
"97";"II-19";1993;0;0;5;2;1;1;1;1;3;1;1;0;1;0;0;0;0;0;1;0;18;"zostera_zone"
"98";"II-19";1994;1;1;1;0;0;3;3;0;1;2;0;0;1;4;1;1;2;0;0;0;21;"zostera_zone"
"99";"II-19";1995;0;5;5;3;3;4;3;1;5;8;2;2;3;1;0;2;0;0;0;0;47;"zostera_zone"
"100";"II-19";1996;0;4;5;5;5;4;1;2;1;4;3;6;2;1;0;0;0;0;0;0;43;"high_beatch"
"101";"II-19";1997;3;5;1;1;0;0;1;3;2;3;3;2;1;2;0;1;0;0;0;0;28;"fucus_zone"
"102";"II-19";1998;1;9;7;0;1;1;2;1;1;2;4;1;5;1;0;0;0;1;0;0;37;"low_beatch"
"103";"II-19";1999;10;28;27;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;69;"high_beatch"
"104";"II-20";1992;0;0;2;1;2;0;1;4;1;1;1;0;1;0;0;0;0;0;0;0;14;"zostera_zone"
"105";"II-20";1993;0;1;2;5;0;0;0;0;1;0;6;2;1;1;0;0;0;0;0;0;19;"fucus_zone"
"106";"II-20";1994;0;1;7;6;3;3;1;1;3;0;5;3;1;0;0;0;0;0;0;0;34;"zostera_zone"
"107";"II-20";1995;0;2;2;0;2;4;1;0;1;2;1;0;1;0;0;0;1;0;0;0;17;"zostera_zone"
"108";"II-20";1996;1;0;1;0;2;0;3;4;3;0;2;3;4;3;3;1;1;1;0;0;32;"low_beatch"
"109";"II-20";1997;0;1;2;0;0;0;0;0;0;0;1;1;0;0;1;1;0;0;0;0;7;"fucus_zone"
"110";"II-20";1998;0;4;1;1;1;0;0;0;0;2;1;2;2;6;2;1;1;0;1;0;25;"low_beatch"
"111";"II-20";1999;16;100;30;2;6;9;12;8;0;0;0;0;3;3;1;0;0;0;0;0;190;"fucus_zone"
"112";"II-2";1992;0;0;0;0;0;0;1;2;3;1;0;1;0;0;0;0;0;0;0;0;8;"high_beatch"
"113";"II-2";1993;0;0;0;1;0;1;0;0;1;0;0;2;1;0;0;0;0;0;0;0;6;"zostera_zone"
"114";"II-2";1994;2;1;2;2;2;1;4;4;2;1;0;0;0;0;0;0;0;0;0;0;21;"high_beatch"
"115";"II-2";1995;0;0;1;14;13;2;0;1;1;4;2;1;0;1;0;2;0;0;0;0;42;"fucus_zone"
"116";"II-2";1996;0;4;3;1;5;0;2;3;3;3;2;2;3;4;2;1;1;0;0;0;39;"low_beatch"
"117";"II-2";1997;2;5;6;2;1;2;0;0;1;2;4;1;3;1;0;0;2;1;0;0;33;"low_beatch"
"118";"II-2";1998;1344;9;25;14;0;2;2;2;4;2;3;0;0;0;0;0;0;0;0;0;1407;"high_beatch"
"119";"II-2";1999;4;41;7;7;8;2;0;3;1;0;0;1;2;2;0;1;0;0;0;1;80;"low_beatch"
"120";"II-2";2000;0;26;26;23;6;6;6;4;0;1;2;1;1;1;1;0;0;0;0;0;104;"fucus_zone"
"121";"II-2";2002;4;6;2;0;0;0;2;0;1;1;1;2;0;2;0;0;0;0;1;1;23;"low_beatch"
"122";"II-2";2004;27;61;17;9;8;11;18;18;14;14;2;4;2;0;0;0;0;0;0;0;205;"fucus_zone"
"123";"II-3";1992;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;2;"high_beatch"
"124";"II-3";1993;0;0;0;1;0;1;1;1;0;0;1;0;0;0;1;0;0;1;1;1;9;"low_beatch"
"125";"II-3";1994;0;1;2;1;2;1;1;1;1;0;0;0;0;1;0;0;0;0;0;0;11;"high_beatch"
"126";"II-3";1995;0;4;0;2;0;1;2;0;1;1;5;0;0;0;0;1;0;0;0;0;17;"high_beatch"
"127";"II-3";1996;0;1;1;1;2;1;1;1;2;2;3;5;0;2;1;1;0;0;1;1;26;"low_beatch"
"128";"II-3";1997;7;2;2;1;2;0;1;1;3;4;4;4;0;1;3;2;1;0;0;0;38;"low_beatch"
"129";"II-3";1998;1;95;23;7;1;0;0;1;0;2;2;0;1;0;0;0;0;0;0;0;133;"high_beatch"
"130";"II-3";1999;17;66;8;9;10;2;1;1;0;1;0;1;0;1;4;2;0;1;0;0;124;"low_beatch"
"131";"II-3";2000;4;60;15;5;8;7;8;1;2;1;5;3;2;1;1;1;0;0;0;0;124;"fucus_zone"
"132";"II-3";2002;0;1;1;2;0;0;1;0;1;1;0;1;0;0;0;0;2;0;0;0;10;"zostera_zone"
"133";"II-3";2004;24;4;3;2;3;5;4;6;4;5;6;2;3;1;0;0;0;0;0;0;72;"zostera_zone"
"134";"II-4";1992;0;0;0;8;1;1;0;2;0;1;0;1;1;1;0;0;1;0;0;0;17;"zostera_zone"
"135";"II-4";1993;0;2;6;1;0;0;1;0;0;0;1;1;1;1;0;1;0;0;0;0;15;"low_beatch"
"136";"II-4";1994;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"high_beatch"
"137";"II-4";1995;0;20;3;6;4;4;3;1;7;7;3;3;1;2;0;0;0;0;0;0;64;"fucus_zone"
"138";"II-4";1996;0;1;1;2;1;2;2;3;4;5;1;5;0;1;0;1;0;0;0;0;29;"low_beatch"
"139";"II-4";1997;2;0;6;1;2;0;0;2;3;3;2;4;4;3;5;1;1;0;1;0;40;"low_beatch"
"140";"II-4";1998;264;3;18;20;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;309;"high_beatch"
"141";"II-4";1999;11;95;13;4;3;3;7;0;2;3;2;0;2;2;2;0;1;0;0;0;150;"low_beatch"
"142";"II-4";2000;0;16;11;7;4;5;2;0;7;0;4;5;3;0;0;0;0;0;0;0;64;"fucus_zone"
"143";"II-4";2002;8;35;15;26;13;7;6;3;5;6;3;3;3;3;0;0;0;0;0;0;136;"zostera_zone"
"144";"II-4";2004;7;12;0;1;3;6;10;17;12;3;3;0;0;1;0;0;0;0;0;0;75;"fucus_zone"
"145";"II-5";1992;0;0;4;15;7;4;0;2;2;6;4;3;1;0;0;0;1;0;0;0;49;"low_beatch"
"146";"II-5";1993;0;2;1;3;2;0;0;1;2;0;1;1;0;0;2;0;0;0;0;0;15;"low_beatch"
"147";"II-5";1994;0;0;0;0;0;2;2;1;3;2;1;0;0;0;0;0;0;0;0;0;11;"high_beatch"
"148";"II-5";1995;0;2;8;10;4;0;0;1;4;12;2;1;0;1;0;0;0;0;0;0;45;"high_beatch"
"149";"II-5";1996;0;0;2;2;6;3;2;0;4;0;1;1;0;2;1;1;0;0;1;0;26;"low_beatch"
"150";"II-5";1997;1;8;1;2;0;0;0;3;6;5;3;1;1;0;3;0;1;0;0;0;35;"low_beatch"
"151";"II-5";1998;8;27;5;4;3;1;0;1;0;0;0;5;0;0;0;0;0;0;0;0;54;"fucus_zone"
"152";"II-5";1999;2;8;2;1;4;1;0;2;3;0;2;0;0;2;2;2;0;0;0;0;31;"low_beatch"
"153";"II-5";2000;2;83;27;13;7;10;3;7;3;2;4;2;1;3;1;0;0;0;0;0;168;"zostera_zone"
"154";"II-5";2002;6;24;3;9;7;8;9;16;8;0;0;2;1;2;0;0;0;0;0;0;95;"fucus_zone"
"155";"II-5";2004;17;48;4;0;1;1;7;11;18;6;1;0;0;0;0;0;0;0;0;0;114;"high_beatch"
"156";"II-6";1992;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;"low_beatch"
"157";"II-6";1993;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;"low_beatch"
"158";"II-6";1994;0;0;5;5;9;2;0;1;0;1;0;1;0;0;1;0;1;0;0;0;26;"fucus_zone"
"159";"II-6";1995;0;1;0;1;2;2;5;5;8;1;1;4;2;2;0;0;0;0;0;0;34;"fucus_zone"
"160";"II-6";1996;0;0;4;6;3;5;0;1;2;1;0;1;0;0;1;2;0;0;0;0;26;"zostera_zone"
"161";"II-6";1997;0;0;1;2;1;0;0;1;2;3;1;3;1;2;2;2;0;0;0;0;21;"zostera_zone"
"162";"II-6";1998;2;62;72;16;1;5;4;2;1;5;8;8;3;0;1;0;0;1;0;0;191;"fucus_zone"
"163";"II-6";1999;0;7;3;5;1;2;2;0;1;2;1;1;0;3;1;2;1;0;0;0;32;"zostera_zone"
"164";"II-6";2000;0;27;15;16;13;18;4;6;6;2;1;1;2;2;0;0;0;0;0;0;113;"zostera_zone"
"165";"II-6";2002;14;53;13;5;2;5;4;9;5;5;4;2;1;0;0;0;0;0;0;0;122;"fucus_zone"
"166";"II-6";2004;6;24;0;0;1;0;0;2;2;0;1;0;0;0;0;0;0;0;0;0;36;"high_beatch"
"167";"II-7";1992;0;0;0;2;0;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;5;"zostera_zone"
"168";"II-7";1993;0;1;3;2;0;1;4;0;1;1;1;1;1;0;0;0;1;0;0;0;17;"low_beatch"
"169";"II-7";1994;0;6;14;2;2;3;8;4;2;1;0;1;0;1;0;0;1;0;0;0;45;"fucus_zone"
"170";"II-7";1995;0;1;2;3;1;5;5;2;3;1;2;1;2;1;0;1;0;0;0;0;30;"zostera_zone"
"171";"II-7";1996;0;0;1;3;3;2;1;2;1;1;0;1;2;2;0;0;0;0;0;0;19;"zostera_zone"
"172";"II-7";1997;0;4;6;0;1;0;2;2;4;3;2;3;1;0;1;1;2;0;0;0;32;"zostera_zone"
"173";"II-7";1998;0;0;0;1;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;"fucus_zone"
"174";"II-7";1999;1;14;3;9;2;2;0;1;0;0;0;1;1;0;3;1;1;0;1;0;40;"zostera_zone"
"175";"II-7";2000;1;18;7;6;5;6;5;3;4;2;1;0;1;1;2;1;0;1;0;0;64;"zostera_zone"
"176";"II-7";2002;8;29;5;9;9;11;11;19;11;15;3;4;0;0;1;1;0;0;0;0;136;"fucus_zone"
"177";"II-7";2004;38;80;32;12;6;3;5;6;3;2;4;0;0;0;0;0;0;0;0;0;191;"high_beatch"
"178";"II-8";1992;0;0;0;0;0;1;0;1;0;1;1;0;0;0;0;0;0;0;0;0;4;"fucus_zone"
"179";"II-8";1993;0;0;0;1;0;0;0;0;1;1;2;0;5;1;1;0;0;0;0;0;12;"zostera_zone"
"180";"II-8";1994;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;"fucus_zone"
"181";"II-8";1995;0;4;5;1;0;0;1;1;0;1;1;0;2;0;2;0;0;0;0;0;18;"high_beatch"
"182";"II-8";1996;0;2;4;4;4;2;2;1;0;4;1;0;0;0;0;1;0;0;0;0;25;"zostera_zone"
"183";"II-8";1997;1;6;0;0;2;0;1;1;1;2;4;0;2;1;0;1;1;0;0;0;23;"zostera_zone"
"184";"II-8";1998;6;43;58;25;3;1;0;0;1;0;1;3;2;3;0;1;0;0;0;0;147;"fucus_zone"
"185";"II-8";1999;4;28;13;8;9;2;3;0;1;3;0;0;0;0;4;0;0;0;1;0;76;"zostera_zone"
"186";"II-8";2000;0;6;9;6;0;3;1;2;2;0;0;0;0;1;1;1;0;3;0;0;35;"zostera_zone"
"187";"II-8";2002;2;5;1;2;3;3;2;5;3;3;1;2;0;0;0;0;0;0;0;0;32;"high_beatch"
"188";"II-8";2004;15;29;3;1;1;3;3;6;4;2;6;3;2;1;1;0;0;0;0;0;80;"zostera_zone"
"189";"II-9";1992;0;0;0;2;2;3;0;0;1;1;0;0;0;1;0;0;0;0;0;0;10;"fucus_zone"
"190";"II-9";1993;0;0;1;1;0;2;0;1;1;3;6;5;2;1;0;0;0;0;0;0;23;"zostera_zone"
"191";"II-9";1994;0;0;0;0;0;0;0;1;2;1;0;3;0;1;0;0;0;0;0;0;8;"fucus_zone"
"192";"II-9";1995;0;4;0;1;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;8;"fucus_zone"
"193";"II-9";1996;0;0;0;2;0;0;0;1;3;2;2;2;2;1;0;1;0;0;0;0;16;"zostera_zone"
"194";"II-9";1997;0;2;2;0;0;1;3;2;6;1;5;1;1;0;0;0;0;0;0;0;24;"zostera_zone"
"195";"II-9";1998;20;58;10;3;1;0;2;1;1;6;0;1;0;2;1;0;0;0;0;0;106;"zostera_zone"
"196";"II-9";1999;19;53;7;14;8;3;5;0;5;0;2;1;0;0;0;0;0;0;0;0;117;"zostera_zone"
"197";"II-9";2000;2;31;10;8;6;4;3;1;0;3;2;1;6;0;1;3;2;0;0;0;83;"low_beatch"
"198";"II-9";2002;2;4;1;6;10;17;13;13;5;2;0;0;1;0;0;0;0;0;0;0;74;"high_beatch"
"199";"II-9";2004;25;32;8;11;7;4;3;13;8;4;2;4;2;0;0;0;0;0;0;0;123;"zostera_zone"
