"oneyear.int";"year";"tidal_level";"sample";"Freq"
"150";"(1.2,1.8]";"1996";"zostera_zone";"II-1";NA
"154";"(1.2,1.8]";"1997";"zostera_zone";"II-1";NA
"158";"(1.2,1.8]";"1998";"zostera_zone";"II-1";NA
"162";"(1.2,1.8]";"1999";"zostera_zone";"II-1";NA
"166";"(1.2,1.8]";"2000";"zostera_zone";"II-1";NA
"170";"(1.2,1.8]";"2002";"zostera_zone";"II-1";NA
"174";"(1.2,1.8]";"2004";"zostera_zone";"II-1";NA
"178";"(1.2,1.8]";"1992";"fucus_zone";"II-10";0
"182";"(1.2,1.8]";"1993";"fucus_zone";"II-10";NA
"186";"(1.2,1.8]";"1994";"fucus_zone";"II-10";0
"190";"(1.2,1.8]";"1995";"fucus_zone";"II-10";240
"194";"(1.2,1.8]";"1996";"fucus_zone";"II-10";30
"198";"(1.2,1.8]";"1997";"fucus_zone";"II-10";90
"202";"(1.2,1.8]";"1998";"fucus_zone";"II-10";NA
"206";"(1.2,1.8]";"1999";"fucus_zone";"II-10";NA
"210";"(1.2,1.8]";"2000";"fucus_zone";"II-10";NA
"214";"(1.2,1.8]";"2002";"fucus_zone";"II-10";NA
"218";"(1.2,1.8]";"2004";"fucus_zone";"II-10";NA
"222";"(1.2,1.8]";"1992";"high_beatch";"II-10";NA
"226";"(1.2,1.8]";"1993";"high_beatch";"II-10";NA
"230";"(1.2,1.8]";"1994";"high_beatch";"II-10";NA
"234";"(1.2,1.8]";"1995";"high_beatch";"II-10";NA
"238";"(1.2,1.8]";"1996";"high_beatch";"II-10";NA
"242";"(1.2,1.8]";"1997";"high_beatch";"II-10";NA
"246";"(1.2,1.8]";"1998";"high_beatch";"II-10";NA
"250";"(1.2,1.8]";"1999";"high_beatch";"II-10";NA
"254";"(1.2,1.8]";"2000";"high_beatch";"II-10";NA
"258";"(1.2,1.8]";"2002";"high_beatch";"II-10";240
"262";"(1.2,1.8]";"2004";"high_beatch";"II-10";NA
"266";"(1.2,1.8]";"1992";"low_beatch";"II-10";NA
"270";"(1.2,1.8]";"1993";"low_beatch";"II-10";NA
"274";"(1.2,1.8]";"1994";"low_beatch";"II-10";NA
"278";"(1.2,1.8]";"1995";"low_beatch";"II-10";NA
"282";"(1.2,1.8]";"1996";"low_beatch";"II-10";NA
"286";"(1.2,1.8]";"1997";"low_beatch";"II-10";NA
"290";"(1.2,1.8]";"1998";"low_beatch";"II-10";NA
"294";"(1.2,1.8]";"1999";"low_beatch";"II-10";NA
"298";"(1.2,1.8]";"2000";"low_beatch";"II-10";600
"302";"(1.2,1.8]";"2002";"low_beatch";"II-10";NA
"306";"(1.2,1.8]";"2004";"low_beatch";"II-10";NA
"310";"(1.2,1.8]";"1992";"zostera_zone";"II-10";NA
"314";"(1.2,1.8]";"1993";"zostera_zone";"II-10";0
"318";"(1.2,1.8]";"1994";"zostera_zone";"II-10";NA
"322";"(1.2,1.8]";"1995";"zostera_zone";"II-10";NA
"326";"(1.2,1.8]";"1996";"zostera_zone";"II-10";NA
"330";"(1.2,1.8]";"1997";"zostera_zone";"II-10";NA
"334";"(1.2,1.8]";"1998";"zostera_zone";"II-10";1470
"338";"(1.2,1.8]";"1999";"zostera_zone";"II-10";480
"342";"(1.2,1.8]";"2000";"zostera_zone";"II-10";NA
"346";"(1.2,1.8]";"2002";"zostera_zone";"II-10";NA
"350";"(1.2,1.8]";"2004";"zostera_zone";"II-10";0
"354";"(1.2,1.8]";"1992";"fucus_zone";"II-11";NA
"358";"(1.2,1.8]";"1993";"fucus_zone";"II-11";0
"362";"(1.2,1.8]";"1994";"fucus_zone";"II-11";120
"366";"(1.2,1.8]";"1995";"fucus_zone";"II-11";NA
"370";"(1.2,1.8]";"1996";"fucus_zone";"II-11";0
"374";"(1.2,1.8]";"1997";"fucus_zone";"II-11";NA
"378";"(1.2,1.8]";"1998";"fucus_zone";"II-11";540
"382";"(1.2,1.8]";"1999";"fucus_zone";"II-11";NA
"386";"(1.2,1.8]";"2000";"fucus_zone";"II-11";NA
"390";"(1.2,1.8]";"2002";"fucus_zone";"II-11";NA
"394";"(1.2,1.8]";"2004";"fucus_zone";"II-11";NA
"398";"(1.2,1.8]";"1992";"high_beatch";"II-11";NA
"402";"(1.2,1.8]";"1993";"high_beatch";"II-11";NA
"406";"(1.2,1.8]";"1994";"high_beatch";"II-11";NA
"410";"(1.2,1.8]";"1995";"high_beatch";"II-11";NA
"414";"(1.2,1.8]";"1996";"high_beatch";"II-11";NA
"418";"(1.2,1.8]";"1997";"high_beatch";"II-11";30
"422";"(1.2,1.8]";"1998";"high_beatch";"II-11";NA
"426";"(1.2,1.8]";"1999";"high_beatch";"II-11";NA
"430";"(1.2,1.8]";"2000";"high_beatch";"II-11";NA
"434";"(1.2,1.8]";"2002";"high_beatch";"II-11";NA
"438";"(1.2,1.8]";"2004";"high_beatch";"II-11";NA
"442";"(1.2,1.8]";"1992";"low_beatch";"II-11";NA
"446";"(1.2,1.8]";"1993";"low_beatch";"II-11";NA
"450";"(1.2,1.8]";"1994";"low_beatch";"II-11";NA
"454";"(1.2,1.8]";"1995";"low_beatch";"II-11";60
"458";"(1.2,1.8]";"1996";"low_beatch";"II-11";NA
"462";"(1.2,1.8]";"1997";"low_beatch";"II-11";NA
"466";"(1.2,1.8]";"1998";"low_beatch";"II-11";NA
"470";"(1.2,1.8]";"1999";"low_beatch";"II-11";NA
"474";"(1.2,1.8]";"2000";"low_beatch";"II-11";300
"478";"(1.2,1.8]";"2002";"low_beatch";"II-11";NA
"482";"(1.2,1.8]";"2004";"low_beatch";"II-11";NA
"486";"(1.2,1.8]";"1992";"zostera_zone";"II-11";0
"490";"(1.2,1.8]";"1993";"zostera_zone";"II-11";NA
"494";"(1.2,1.8]";"1994";"zostera_zone";"II-11";NA
"498";"(1.2,1.8]";"1995";"zostera_zone";"II-11";NA
"502";"(1.2,1.8]";"1996";"zostera_zone";"II-11";NA
"506";"(1.2,1.8]";"1997";"zostera_zone";"II-11";NA
"510";"(1.2,1.8]";"1998";"zostera_zone";"II-11";NA
"514";"(1.2,1.8]";"1999";"zostera_zone";"II-11";1230
"518";"(1.2,1.8]";"2000";"zostera_zone";"II-11";NA
"522";"(1.2,1.8]";"2002";"zostera_zone";"II-11";240
"526";"(1.2,1.8]";"2004";"zostera_zone";"II-11";360
"530";"(1.2,1.8]";"1992";"fucus_zone";"II-12";NA
"534";"(1.2,1.8]";"1993";"fucus_zone";"II-12";NA
"538";"(1.2,1.8]";"1994";"fucus_zone";"II-12";NA
"542";"(1.2,1.8]";"1995";"fucus_zone";"II-12";NA
"546";"(1.2,1.8]";"1996";"fucus_zone";"II-12";30
"550";"(1.2,1.8]";"1997";"fucus_zone";"II-12";NA
"554";"(1.2,1.8]";"1998";"fucus_zone";"II-12";1380
"558";"(1.2,1.8]";"1999";"fucus_zone";"II-12";2670
"562";"(1.2,1.8]";"2000";"fucus_zone";"II-12";NA
"566";"(1.2,1.8]";"2002";"fucus_zone";"II-12";NA
"570";"(1.2,1.8]";"2004";"fucus_zone";"II-12";0
"574";"(1.2,1.8]";"1992";"high_beatch";"II-12";NA
"578";"(1.2,1.8]";"1993";"high_beatch";"II-12";NA
"582";"(1.2,1.8]";"1994";"high_beatch";"II-12";NA
"586";"(1.2,1.8]";"1995";"high_beatch";"II-12";NA
"590";"(1.2,1.8]";"1996";"high_beatch";"II-12";NA
"594";"(1.2,1.8]";"1997";"high_beatch";"II-12";30
"598";"(1.2,1.8]";"1998";"high_beatch";"II-12";NA
"602";"(1.2,1.8]";"1999";"high_beatch";"II-12";NA
"606";"(1.2,1.8]";"2000";"high_beatch";"II-12";NA
"610";"(1.2,1.8]";"2002";"high_beatch";"II-12";NA
"614";"(1.2,1.8]";"2004";"high_beatch";"II-12";NA
"618";"(1.2,1.8]";"1992";"low_beatch";"II-12";NA
"622";"(1.2,1.8]";"1993";"low_beatch";"II-12";NA
"626";"(1.2,1.8]";"1994";"low_beatch";"II-12";NA
"630";"(1.2,1.8]";"1995";"low_beatch";"II-12";150
"634";"(1.2,1.8]";"1996";"low_beatch";"II-12";NA
"638";"(1.2,1.8]";"1997";"low_beatch";"II-12";NA
"642";"(1.2,1.8]";"1998";"low_beatch";"II-12";NA
"646";"(1.2,1.8]";"1999";"low_beatch";"II-12";NA
"650";"(1.2,1.8]";"2000";"low_beatch";"II-12";0
"654";"(1.2,1.8]";"2002";"low_beatch";"II-12";NA
"658";"(1.2,1.8]";"2004";"low_beatch";"II-12";NA
"662";"(1.2,1.8]";"1992";"zostera_zone";"II-12";0
"666";"(1.2,1.8]";"1993";"zostera_zone";"II-12";0
"670";"(1.2,1.8]";"1994";"zostera_zone";"II-12";30
"674";"(1.2,1.8]";"1995";"zostera_zone";"II-12";NA
"678";"(1.2,1.8]";"1996";"zostera_zone";"II-12";NA
"682";"(1.2,1.8]";"1997";"zostera_zone";"II-12";NA
"686";"(1.2,1.8]";"1998";"zostera_zone";"II-12";NA
"690";"(1.2,1.8]";"1999";"zostera_zone";"II-12";NA
"694";"(1.2,1.8]";"2000";"zostera_zone";"II-12";NA
"698";"(1.2,1.8]";"2002";"zostera_zone";"II-12";240
"702";"(1.2,1.8]";"2004";"zostera_zone";"II-12";NA
"706";"(1.2,1.8]";"1992";"fucus_zone";"II-13";NA
"710";"(1.2,1.8]";"1993";"fucus_zone";"II-13";NA
"714";"(1.2,1.8]";"1994";"fucus_zone";"II-13";NA
"718";"(1.2,1.8]";"1995";"fucus_zone";"II-13";NA
"722";"(1.2,1.8]";"1996";"fucus_zone";"II-13";0
"726";"(1.2,1.8]";"1997";"fucus_zone";"II-13";NA
"730";"(1.2,1.8]";"1998";"fucus_zone";"II-13";NA
"734";"(1.2,1.8]";"1999";"fucus_zone";"II-13";330
"738";"(1.2,1.8]";"2000";"fucus_zone";"II-13";NA
"742";"(1.2,1.8]";"2002";"fucus_zone";"II-13";NA
"746";"(1.2,1.8]";"2004";"fucus_zone";"II-13";NA
"750";"(1.2,1.8]";"1992";"high_beatch";"II-13";0
"754";"(1.2,1.8]";"1993";"high_beatch";"II-13";0
"758";"(1.2,1.8]";"1994";"high_beatch";"II-13";NA
"762";"(1.2,1.8]";"1995";"high_beatch";"II-13";NA
"766";"(1.2,1.8]";"1996";"high_beatch";"II-13";NA
"770";"(1.2,1.8]";"1997";"high_beatch";"II-13";30
"774";"(1.2,1.8]";"1998";"high_beatch";"II-13";NA
"778";"(1.2,1.8]";"1999";"high_beatch";"II-13";NA
"782";"(1.2,1.8]";"2000";"high_beatch";"II-13";NA
"786";"(1.2,1.8]";"2002";"high_beatch";"II-13";NA
"790";"(1.2,1.8]";"2004";"high_beatch";"II-13";NA
"794";"(1.2,1.8]";"1992";"low_beatch";"II-13";NA
"798";"(1.2,1.8]";"1993";"low_beatch";"II-13";NA
"802";"(1.2,1.8]";"1994";"low_beatch";"II-13";NA
"806";"(1.2,1.8]";"1995";"low_beatch";"II-13";NA
"810";"(1.2,1.8]";"1996";"low_beatch";"II-13";NA
"814";"(1.2,1.8]";"1997";"low_beatch";"II-13";NA
"818";"(1.2,1.8]";"1998";"low_beatch";"II-13";NA
"822";"(1.2,1.8]";"1999";"low_beatch";"II-13";NA
"826";"(1.2,1.8]";"2000";"low_beatch";"II-13";NA
"830";"(1.2,1.8]";"2002";"low_beatch";"II-13";NA
"834";"(1.2,1.8]";"2004";"low_beatch";"II-13";NA
"838";"(1.2,1.8]";"1992";"zostera_zone";"II-13";NA
"842";"(1.2,1.8]";"1993";"zostera_zone";"II-13";NA
"846";"(1.2,1.8]";"1994";"zostera_zone";"II-13";0
"850";"(1.2,1.8]";"1995";"zostera_zone";"II-13";150
"854";"(1.2,1.8]";"1996";"zostera_zone";"II-13";NA
"858";"(1.2,1.8]";"1997";"zostera_zone";"II-13";NA
"862";"(1.2,1.8]";"1998";"zostera_zone";"II-13";150
"866";"(1.2,1.8]";"1999";"zostera_zone";"II-13";NA
"870";"(1.2,1.8]";"2000";"zostera_zone";"II-13";360
"874";"(1.2,1.8]";"2002";"zostera_zone";"II-13";NA
"878";"(1.2,1.8]";"2004";"zostera_zone";"II-13";NA
"882";"(1.2,1.8]";"1992";"fucus_zone";"II-14";NA
"886";"(1.2,1.8]";"1993";"fucus_zone";"II-14";0
"890";"(1.2,1.8]";"1994";"fucus_zone";"II-14";NA
"894";"(1.2,1.8]";"1995";"fucus_zone";"II-14";NA
"898";"(1.2,1.8]";"1996";"fucus_zone";"II-14";0
"902";"(1.2,1.8]";"1997";"fucus_zone";"II-14";0
"906";"(1.2,1.8]";"1998";"fucus_zone";"II-14";NA
"910";"(1.2,1.8]";"1999";"fucus_zone";"II-14";2820
"914";"(1.2,1.8]";"2000";"fucus_zone";"II-14";NA
"918";"(1.2,1.8]";"2002";"fucus_zone";"II-14";NA
"922";"(1.2,1.8]";"2004";"fucus_zone";"II-14";NA
"926";"(1.2,1.8]";"1992";"high_beatch";"II-14";0
"930";"(1.2,1.8]";"1993";"high_beatch";"II-14";NA
"934";"(1.2,1.8]";"1994";"high_beatch";"II-14";NA
"938";"(1.2,1.8]";"1995";"high_beatch";"II-14";NA
"942";"(1.2,1.8]";"1996";"high_beatch";"II-14";NA
"946";"(1.2,1.8]";"1997";"high_beatch";"II-14";NA
"950";"(1.2,1.8]";"1998";"high_beatch";"II-14";NA
"954";"(1.2,1.8]";"1999";"high_beatch";"II-14";NA
"958";"(1.2,1.8]";"2000";"high_beatch";"II-14";240
"962";"(1.2,1.8]";"2002";"high_beatch";"II-14";NA
"966";"(1.2,1.8]";"2004";"high_beatch";"II-14";NA
"970";"(1.2,1.8]";"1992";"low_beatch";"II-14";NA
"974";"(1.2,1.8]";"1993";"low_beatch";"II-14";NA
"978";"(1.2,1.8]";"1994";"low_beatch";"II-14";NA
"982";"(1.2,1.8]";"1995";"low_beatch";"II-14";60
"986";"(1.2,1.8]";"1996";"low_beatch";"II-14";NA
"990";"(1.2,1.8]";"1997";"low_beatch";"II-14";NA
"994";"(1.2,1.8]";"1998";"low_beatch";"II-14";NA
"998";"(1.2,1.8]";"1999";"low_beatch";"II-14";NA
"1002";"(1.2,1.8]";"2000";"low_beatch";"II-14";NA
"1006";"(1.2,1.8]";"2002";"low_beatch";"II-14";NA
"1010";"(1.2,1.8]";"2004";"low_beatch";"II-14";NA
"1014";"(1.2,1.8]";"1992";"zostera_zone";"II-14";NA
"1018";"(1.2,1.8]";"1993";"zostera_zone";"II-14";NA
"1022";"(1.2,1.8]";"1994";"zostera_zone";"II-14";30
"1026";"(1.2,1.8]";"1995";"zostera_zone";"II-14";NA
"1030";"(1.2,1.8]";"1996";"zostera_zone";"II-14";NA
"1034";"(1.2,1.8]";"1997";"zostera_zone";"II-14";NA
"1038";"(1.2,1.8]";"1998";"zostera_zone";"II-14";750
"1042";"(1.2,1.8]";"1999";"zostera_zone";"II-14";NA
"1046";"(1.2,1.8]";"2000";"zostera_zone";"II-14";NA
"1050";"(1.2,1.8]";"2002";"zostera_zone";"II-14";NA
"1054";"(1.2,1.8]";"2004";"zostera_zone";"II-14";NA
"1058";"(1.2,1.8]";"1992";"fucus_zone";"II-15";NA
"1062";"(1.2,1.8]";"1993";"fucus_zone";"II-15";NA
"1066";"(1.2,1.8]";"1994";"fucus_zone";"II-15";NA
"1070";"(1.2,1.8]";"1995";"fucus_zone";"II-15";NA
"1074";"(1.2,1.8]";"1996";"fucus_zone";"II-15";NA
"1078";"(1.2,1.8]";"1997";"fucus_zone";"II-15";120
"1082";"(1.2,1.8]";"1998";"fucus_zone";"II-15";NA
"1086";"(1.2,1.8]";"1999";"fucus_zone";"II-15";480
"1090";"(1.2,1.8]";"2000";"fucus_zone";"II-15";NA
"1094";"(1.2,1.8]";"2002";"fucus_zone";"II-15";NA
"1098";"(1.2,1.8]";"2004";"fucus_zone";"II-15";NA
"1102";"(1.2,1.8]";"1992";"high_beatch";"II-15";0
"1106";"(1.2,1.8]";"1993";"high_beatch";"II-15";0
"1110";"(1.2,1.8]";"1994";"high_beatch";"II-15";NA
"1114";"(1.2,1.8]";"1995";"high_beatch";"II-15";NA
"1118";"(1.2,1.8]";"1996";"high_beatch";"II-15";0
"1122";"(1.2,1.8]";"1997";"high_beatch";"II-15";NA
"1126";"(1.2,1.8]";"1998";"high_beatch";"II-15";NA
"1130";"(1.2,1.8]";"1999";"high_beatch";"II-15";NA
"1134";"(1.2,1.8]";"2000";"high_beatch";"II-15";60
"1138";"(1.2,1.8]";"2002";"high_beatch";"II-15";NA
"1142";"(1.2,1.8]";"2004";"high_beatch";"II-15";NA
"1146";"(1.2,1.8]";"1992";"low_beatch";"II-15";NA
"1150";"(1.2,1.8]";"1993";"low_beatch";"II-15";NA
"1154";"(1.2,1.8]";"1994";"low_beatch";"II-15";NA
"1158";"(1.2,1.8]";"1995";"low_beatch";"II-15";0
"1162";"(1.2,1.8]";"1996";"low_beatch";"II-15";NA
"1166";"(1.2,1.8]";"1997";"low_beatch";"II-15";NA
"1170";"(1.2,1.8]";"1998";"low_beatch";"II-15";NA
"1174";"(1.2,1.8]";"1999";"low_beatch";"II-15";NA
"1178";"(1.2,1.8]";"2000";"low_beatch";"II-15";NA
"1182";"(1.2,1.8]";"2002";"low_beatch";"II-15";NA
"1186";"(1.2,1.8]";"2004";"low_beatch";"II-15";NA
"1190";"(1.2,1.8]";"1992";"zostera_zone";"II-15";NA
"1194";"(1.2,1.8]";"1993";"zostera_zone";"II-15";NA
"1198";"(1.2,1.8]";"1994";"zostera_zone";"II-15";0
"1202";"(1.2,1.8]";"1995";"zostera_zone";"II-15";NA
"1206";"(1.2,1.8]";"1996";"zostera_zone";"II-15";NA
"1210";"(1.2,1.8]";"1997";"zostera_zone";"II-15";NA
"1214";"(1.2,1.8]";"1998";"zostera_zone";"II-15";930
"1218";"(1.2,1.8]";"1999";"zostera_zone";"II-15";NA
"1222";"(1.2,1.8]";"2000";"zostera_zone";"II-15";NA
"1226";"(1.2,1.8]";"2002";"zostera_zone";"II-15";NA
"1230";"(1.2,1.8]";"2004";"zostera_zone";"II-15";NA
"1234";"(1.2,1.8]";"1992";"fucus_zone";"II-16";0
"1238";"(1.2,1.8]";"1993";"fucus_zone";"II-16";30
"1242";"(1.2,1.8]";"1994";"fucus_zone";"II-16";NA
"1246";"(1.2,1.8]";"1995";"fucus_zone";"II-16";NA
"1250";"(1.2,1.8]";"1996";"fucus_zone";"II-16";NA
"1254";"(1.2,1.8]";"1997";"fucus_zone";"II-16";30
"1258";"(1.2,1.8]";"1998";"fucus_zone";"II-16";NA
"1262";"(1.2,1.8]";"1999";"fucus_zone";"II-16";0
"1266";"(1.2,1.8]";"2000";"fucus_zone";"II-16";NA
"1270";"(1.2,1.8]";"2002";"fucus_zone";"II-16";NA
"1274";"(1.2,1.8]";"2004";"fucus_zone";"II-16";NA
"1278";"(1.2,1.8]";"1992";"high_beatch";"II-16";NA
"1282";"(1.2,1.8]";"1993";"high_beatch";"II-16";NA
"1286";"(1.2,1.8]";"1994";"high_beatch";"II-16";NA
"1290";"(1.2,1.8]";"1995";"high_beatch";"II-16";NA
"1294";"(1.2,1.8]";"1996";"high_beatch";"II-16";0
"1298";"(1.2,1.8]";"1997";"high_beatch";"II-16";NA
"1302";"(1.2,1.8]";"1998";"high_beatch";"II-16";NA
"1306";"(1.2,1.8]";"1999";"high_beatch";"II-16";NA
"1310";"(1.2,1.8]";"2000";"high_beatch";"II-16";NA
"1314";"(1.2,1.8]";"2002";"high_beatch";"II-16";NA
"1318";"(1.2,1.8]";"2004";"high_beatch";"II-16";NA
"1322";"(1.2,1.8]";"1992";"low_beatch";"II-16";NA
"1326";"(1.2,1.8]";"1993";"low_beatch";"II-16";NA
"1330";"(1.2,1.8]";"1994";"low_beatch";"II-16";0
"1334";"(1.2,1.8]";"1995";"low_beatch";"II-16";NA
"1338";"(1.2,1.8]";"1996";"low_beatch";"II-16";NA
"1342";"(1.2,1.8]";"1997";"low_beatch";"II-16";NA
"1346";"(1.2,1.8]";"1998";"low_beatch";"II-16";180
"1350";"(1.2,1.8]";"1999";"low_beatch";"II-16";NA
"1354";"(1.2,1.8]";"2000";"low_beatch";"II-16";NA
"1358";"(1.2,1.8]";"2002";"low_beatch";"II-16";NA
"1362";"(1.2,1.8]";"2004";"low_beatch";"II-16";NA
"1366";"(1.2,1.8]";"1992";"zostera_zone";"II-16";NA
"1370";"(1.2,1.8]";"1993";"zostera_zone";"II-16";NA
"1374";"(1.2,1.8]";"1994";"zostera_zone";"II-16";NA
"1378";"(1.2,1.8]";"1995";"zostera_zone";"II-16";120
"1382";"(1.2,1.8]";"1996";"zostera_zone";"II-16";NA
"1386";"(1.2,1.8]";"1997";"zostera_zone";"II-16";NA
"1390";"(1.2,1.8]";"1998";"zostera_zone";"II-16";NA
"1394";"(1.2,1.8]";"1999";"zostera_zone";"II-16";NA
"1398";"(1.2,1.8]";"2000";"zostera_zone";"II-16";NA
"1402";"(1.2,1.8]";"2002";"zostera_zone";"II-16";NA
"1406";"(1.2,1.8]";"2004";"zostera_zone";"II-16";NA
"1410";"(1.2,1.8]";"1992";"fucus_zone";"II-17";0
"1414";"(1.2,1.8]";"1993";"fucus_zone";"II-17";NA
"1418";"(1.2,1.8]";"1994";"fucus_zone";"II-17";NA
"1422";"(1.2,1.8]";"1995";"fucus_zone";"II-17";NA
"1426";"(1.2,1.8]";"1996";"fucus_zone";"II-17";NA
"1430";"(1.2,1.8]";"1997";"fucus_zone";"II-17";NA
"1434";"(1.2,1.8]";"1998";"fucus_zone";"II-17";NA
"1438";"(1.2,1.8]";"1999";"fucus_zone";"II-17";NA
"1442";"(1.2,1.8]";"2000";"fucus_zone";"II-17";NA
"1446";"(1.2,1.8]";"2002";"fucus_zone";"II-17";NA
"1450";"(1.2,1.8]";"2004";"fucus_zone";"II-17";NA
"1454";"(1.2,1.8]";"1992";"high_beatch";"II-17";NA
"1458";"(1.2,1.8]";"1993";"high_beatch";"II-17";0
"1462";"(1.2,1.8]";"1994";"high_beatch";"II-17";NA
"1466";"(1.2,1.8]";"1995";"high_beatch";"II-17";NA
"1470";"(1.2,1.8]";"1996";"high_beatch";"II-17";0
"1474";"(1.2,1.8]";"1997";"high_beatch";"II-17";NA
"1478";"(1.2,1.8]";"1998";"high_beatch";"II-17";NA
"1482";"(1.2,1.8]";"1999";"high_beatch";"II-17";10020
"1486";"(1.2,1.8]";"2000";"high_beatch";"II-17";NA
"1490";"(1.2,1.8]";"2002";"high_beatch";"II-17";NA
"1494";"(1.2,1.8]";"2004";"high_beatch";"II-17";NA
"1498";"(1.2,1.8]";"1992";"low_beatch";"II-17";NA
"1502";"(1.2,1.8]";"1993";"low_beatch";"II-17";NA
"1506";"(1.2,1.8]";"1994";"low_beatch";"II-17";60
"1510";"(1.2,1.8]";"1995";"low_beatch";"II-17";90
"1514";"(1.2,1.8]";"1996";"low_beatch";"II-17";NA
"1518";"(1.2,1.8]";"1997";"low_beatch";"II-17";60
"1522";"(1.2,1.8]";"1998";"low_beatch";"II-17";30
"1526";"(1.2,1.8]";"1999";"low_beatch";"II-17";NA
"1530";"(1.2,1.8]";"2000";"low_beatch";"II-17";NA
"1534";"(1.2,1.8]";"2002";"low_beatch";"II-17";NA
"1538";"(1.2,1.8]";"2004";"low_beatch";"II-17";NA
"1542";"(1.2,1.8]";"1992";"zostera_zone";"II-17";NA
"1546";"(1.2,1.8]";"1993";"zostera_zone";"II-17";NA
"1550";"(1.2,1.8]";"1994";"zostera_zone";"II-17";NA
"1554";"(1.2,1.8]";"1995";"zostera_zone";"II-17";NA
"1558";"(1.2,1.8]";"1996";"zostera_zone";"II-17";NA
"1562";"(1.2,1.8]";"1997";"zostera_zone";"II-17";NA
"1566";"(1.2,1.8]";"1998";"zostera_zone";"II-17";NA
"1570";"(1.2,1.8]";"1999";"zostera_zone";"II-17";NA
"1574";"(1.2,1.8]";"2000";"zostera_zone";"II-17";NA
"1578";"(1.2,1.8]";"2002";"zostera_zone";"II-17";NA
"1582";"(1.2,1.8]";"2004";"zostera_zone";"II-17";NA
"1586";"(1.2,1.8]";"1992";"fucus_zone";"II-18";NA
"1590";"(1.2,1.8]";"1993";"fucus_zone";"II-18";0
"1594";"(1.2,1.8]";"1994";"fucus_zone";"II-18";NA
"1598";"(1.2,1.8]";"1995";"fucus_zone";"II-18";NA
"1602";"(1.2,1.8]";"1996";"fucus_zone";"II-18";0
"1606";"(1.2,1.8]";"1997";"fucus_zone";"II-18";NA
"1610";"(1.2,1.8]";"1998";"fucus_zone";"II-18";NA
"1614";"(1.2,1.8]";"1999";"fucus_zone";"II-18";NA
"1618";"(1.2,1.8]";"2000";"fucus_zone";"II-18";NA
"1622";"(1.2,1.8]";"2002";"fucus_zone";"II-18";NA
"1626";"(1.2,1.8]";"2004";"fucus_zone";"II-18";NA
"1630";"(1.2,1.8]";"1992";"high_beatch";"II-18";0
"1634";"(1.2,1.8]";"1993";"high_beatch";"II-18";NA
"1638";"(1.2,1.8]";"1994";"high_beatch";"II-18";NA
"1642";"(1.2,1.8]";"1995";"high_beatch";"II-18";NA
"1646";"(1.2,1.8]";"1996";"high_beatch";"II-18";NA
"1650";"(1.2,1.8]";"1997";"high_beatch";"II-18";NA
